Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Finland              : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;-2.6;-9.9;-2.5;4.9;11.6;19.4;22.8;19.1;13.2;8.3;-3.3;-9.3;4.7;20.4;6.1;-8.5;6.0
1902;-9.1;-7.1;-5.0;1.0;8.9;14.2;16.7;15.6;9.9;1.7;-2.1;-5.6;1.6;15.5;3.1;-4.9;3.3
1903;-6.7;-2.5;2.2;4.9;11.7;17.4;18.0;16.5;11.9;1.0;-0.5;-2.4;6.3;17.3;4.1;-4.7;5.9
1904;-2.1;-9.6;-2.4;5.3;9.4;15.8;17.3;16.1;11.7;6.0;-4.1;-7.9;4.1;16.4;4.5;-6.7;4.6
1905;-7.5;-4.7;-0.5;3.2;12.3;18.7;19.4;16.5;10.6;2.3;-1.0;-2.7;5.0;18.2;4.0;-3.4;5.6
1906;-3.4;-4.1;-4.3;6.3;14.1;17.9;20.9;15.5;10.3;4.5;-0.7;-4.2;5.4;18.1;4.7;-6.3;6.1
1907;-10.5;-4.3;0.7;4.7;8.8;17.8;19.3;15.2;10.5;7.5;0.4;-10.1;4.7;17.4;6.2;-6.9;5.0
1908;-5.9;-4.8;-2.3;4.6;10.2;16.4;19.7;17.7;10.7;6.1;-3.9;-2.1;4.2;17.9;4.3;-3.4;5.5
1909;-1.6;-6.5;-3.0;1.9;8.0;16.9;19.9;17.2;13.2;8.5;-3.3;-3.4;2.3;18.0;6.1;-3.2;5.7
1910;-5.1;-1.0;0.1;5.4;12.4;16.9;18.8;16.1;12.2;4.6;-2.0;-2.5;6.0;17.3;4.9;-4.8;6.3
1911;-3.7;-8.2;-0.3;3.3;12.7;16.0;18.3;19.3;11.9;4.2;1.4;-1.4;5.3;17.9;5.8;-7.6;6.1
1912;-9.4;-11.9;-0.8;3.4;9.7;17.9;20.3;18.5;9.9;1.6;-1.0;-3.3;4.1;18.9;3.5;-4.7;4.6
1913;-6.4;-4.6;0.2;5.6;10.5;16.0;21.4;18.3;12.3;3.2;0.7;-5.7;5.5;18.6;5.4;-5.5;6.0
1914;-7.5;-3.3;-2.0;4.9;11.0;18.3;22.7;15.5;11.3;3.5;-0.5;-1.4;4.6;18.8;4.8;-5.5;6.0
1915;-8.5;-6.6;-6.1;4.1;9.1;14.0;20.9;16.0;9.7;2.9;-4.2;-13.6;2.4;17.0;2.8;-7.7;3.1
