Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = France               : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;5.3;3.5;8.4;14.6;19.0;22.7;24.9;23.5;20.4;14.9;8.3;6.7;14.0;23.7;14.5;6.9;14.3
1902;7.4;6.5;11.4;15.3;14.2;20.6;24.3;22.7;19.9;14.1;9.2;5.9;13.6;22.5;14.4;7.6;14.3
1903;6.8;10.1;12.5;11.1;18.2;20.2;22.8;22.8;20.7;16.1;10.1;5.2;13.9;21.9;15.6;6.2;14.7
1904;5.7;7.7;9.9;15.3;18.9;22.1;26.8;24.6;18.8;15.4;9.1;7.6;14.7;24.5;14.4;6.6;15.1
1905;4.8;7.4;11.5;13.6;16.7;22.4;26.3;23.1;19.7;12.1;9.1;6.6;13.9;24.0;13.6;6.7;14.5
1906;7.3;6.3;9.9;13.7;18.0;21.6;24.1;25.0;20.9;17.2;11.0;4.6;13.9;23.5;16.3;5.0;15.0
1907;5.4;5.1;10.4;12.7;18.3;20.5;21.9;24.1;21.7;15.8;10.6;8.2;13.8;22.2;16.0;6.8;14.6
1908;4.8;7.5;9.0;11.8;19.5;22.9;23.5;22.0;19.7;16.4;9.4;6.1;13.4;22.8;15.2;5.4;14.4
1909;4.8;5.3;8.4;15.9;18.1;19.5;21.3;23.6;19.2;16.5;8.2;7.9;14.1;21.4;14.6;7.8;14.1
1910;7.1;8.6;11.1;13.1;16.5;21.3;21.4;22.5;18.7;16.1;8.8;8.9;13.6;21.7;14.5;7.0;14.5
1911;3.9;8.1;10.6;13.6;18.4;21.0;27.4;27.2;22.9;15.4;11.0;9.1;14.2;25.2;16.4;8.9;15.7
1912;7.0;10.7;12.6;13.9;18.9;21.0;23.4;19.7;17.0;14.1;8.1;8.7;15.1;21.4;13.1;8.2;14.6
1913;7.7;8.3;12.5;13.4;17.9;20.7;21.0;22.4;19.9;16.6;12.1;6.8;14.6;21.4;16.2;6.8;14.9
1914;3.5;10.1;11.1;16.7;16.3;20.4;22.4;23.7;20.1;14.6;9.3;8.8;14.7;22.2;14.7;7.5;14.8
1915;6.2;7.5;9.3;13.3;19.6;23.1;22.9;22.5;19.5;13.1;7.6;10.1;14.1;22.8;13.4;9.2;14.6
