Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Greece               : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;8.5;10.8;15.0;18.0;22.0;27.1;29.7;28.8;25.9;21.1;15.2;13.8;18.3;28.5;20.8;12.9;19.7
1902;11.7;13.0;13.6;17.5;20.9;26.2;29.0;29.4;26.1;21.2;14.1;9.9;17.3;28.2;20.5;10.8;19.4
1903;10.6;11.8;14.4;16.8;22.3;25.9;28.6;28.7;25.8;20.9;16.2;13.0;17.8;27.7;21.0;12.0;19.6
1904;9.8;13.1;13.3;17.5;22.3;26.9;29.8;28.9;25.1;21.0;14.4;11.6;17.7;28.5;20.2;9.9;19.5
1905;8.2;9.8;13.4;17.2;22.5;26.6;30.0;30.1;26.9;19.7;17.6;12.1;17.7;28.9;21.4;11.3;19.5
1906;10.5;11.3;14.5;17.8;22.2;26.5;29.4;28.6;25.2;20.1;17.0;11.6;18.2;28.2;20.7;10.0;19.6
1907;9.0;9.4;11.1;16.4;23.7;26.8;29.0;29.1;25.5;22.6;15.5;12.9;17.1;28.3;21.2;11.5;19.2
1908;10.1;11.4;13.5;17.0;24.1;27.4;29.1;28.9;25.1;19.9;13.7;11.1;18.2;28.4;19.6;9.5;19.3
1909;8.9;8.6;14.0;17.6;22.4;26.6;29.1;29.5;26.6;21.3;15.6;13.8;18.0;28.4;21.2;12.6;19.5
1910;11.2;12.9;13.3;17.6;22.0;26.7;28.7;28.9;25.2;20.6;15.9;13.4;17.6;28.1;20.6;10.9;19.7
1911;10.3;9.0;13.3;17.1;22.2;26.6;29.3;29.5;25.9;21.2;17.3;12.9;17.5;28.5;21.4;11.7;19.6
1912;9.4;12.8;15.2;16.6;21.7;27.1;29.1;28.5;24.2;19.8;15.1;12.6;17.8;28.2;19.7;11.2;19.3
1913;10.6;10.3;14.9;17.9;21.8;26.4;27.9;28.2;26.4;21.1;16.7;12.3;18.2;27.5;21.4;10.6;19.5
