Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Luxembourg           : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;1.1;0.1;6.1;13.3;18.8;21.7;24.0;21.7;18.5;12.8;5.2;3.7;12.7;22.5;12.2;3.8;12.2
1902;4.6;3.0;8.7;13.8;13.2;20.5;22.1;20.3;17.7;11.3;5.5;2.1;11.9;20.9;11.5;4.4;11.9
1903;3.7;7.5;11.1;8.5;18.1;19.9;21.2;20.5;19.0;13.8;6.8;1.4;12.6;20.5;13.2;2.5;12.6
1904;1.6;4.5;7.3;14.2;18.2;21.1;25.6;22.8;16.5;12.5;5.7;4.9;13.2;23.2;11.5;3.5;12.9
1905;1.2;4.5;9.1;11.2;16.9;22.4;24.4;21.5;17.2;8.3;5.8;3.2;12.4;22.7;10.4;3.4;12.1
1906;3.9;3.2;7.2;13.0;17.6;19.5;22.1;22.5;18.3;15.5;8.5;1.5;12.6;21.4;14.1;1.7;12.7
1907;2.1;1.5;7.8;11.5;18.6;19.6;19.6;21.7;19.6;14.5;7.7;5.0;12.6;20.3;13.9;3.4;12.4
1908;0.9;4.4;6.6;10.0;18.6;22.7;22.2;19.4;17.8;14.3;6.0;2.3;11.7;21.4;12.7;2.0;12.1
1909;1.6;2.1;6.3;14.4;17.6;18.8;19.0;21.6;17.3;14.6;4.8;4.9;12.7;19.8;12.2;4.8;11.9
1910;3.9;5.8;9.3;12.3;17.0;21.1;19.6;20.9;16.7;14.2;5.3;6.4;12.9;20.5;12.1;3.9;12.7
1911;0.3;5.1;8.9;12.5;18.6;20.4;26.1;26.2;21.1;13.8;7.8;6.5;13.3;24.2;14.2;6.0;13.9
1912;3.3;8.1;10.6;12.8;18.4;20.8;23.1;17.7;14.1;11.7;5.1;6.5;13.9;20.5;10.3;5.5;12.6
1913;4.0;5.9;10.9;12.9;17.8;19.5;18.8;20.4;18.1;14.9;9.6;4.0;13.9;19.5;14.2;4.0;13.0
1914;-0.3;8.2;8.8;16.0;15.6;19.7;21.6;22.6;17.8;12.0;6.1;6.6;13.4;21.3;12.0;4.9;12.9
1915;3.1;5.1;6.6;12.2;19.6;23.3;21.4;20.1;17.5;10.2;4.2;7.6;12.8;21.6;10.6;6.6;12.6
1916;6.7;5.4;8.7;13.3;18.9;17.5;20.7;21.2;17.0;12.7;7.4;4.4;13.6;19.8;12.3;1.8;12.8
1917;-0.2;1.1;5.0;8.6;21.7;24.3;22.3;20.6;20.5;11.2;7.6;0.4;11.7;22.4;13.1;3.5;11.9
1918;4.3;5.9;9.6;12.4;20.0;18.9;21.9;21.5;18.0;11.5;6.2;7.1;14.0;20.7;11.9;4.5;13.1
1919;3.0;3.4;7.4;9.8;19.0;21.6;18.7;23.0;20.6;9.9;4.2;5.3;12.1;21.1;11.5;6.4;12.1
1920;5.7;8.1;11.7;13.2;19.6;20.8;22.2;19.5;17.8;13.0;5.6;3.7;14.8;20.8;12.1;5.3;13.4
1921;7.1;5.1;11.5;13.6;19.4;20.8;25.6;22.8;20.4;17.5;3.3;4.2;14.8;23.1;13.7;3.8;14.3
1922;2.3;4.9;8.1;10.2;20.3;21.2;20.3;20.5;15.6;9.6;5.4;4.8;12.8;20.6;10.2;4.8;11.9
1923;3.6;6.1;9.5;12.7;16.2;16.1;24.6;22.2;18.4;14.3;5.2;2.5;12.8;21.0;12.6;2.2;12.6
