Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Macedonia            : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;-0.7;3.2;10.9;14.9;20.0;24.4;27.3;26.3;22.5;17.5;8.3;7.2;15.3;26.0;16.1;6.6;15.2
1902;5.2;7.4;9.3;14.4;17.3;23.0;26.0;27.0;22.9;17.1;6.7;1.0;13.7;25.3;15.6;3.5;14.8
1903;2.9;6.8;11.1;13.1;19.8;22.8;26.0;26.2;22.9;17.2;10.6;5.9;14.7;25.0;16.9;5.3;15.4
1904;1.9;7.9;9.4;14.9;19.9;24.0;27.7;26.9;21.6;17.2;7.6;4.3;14.7;26.2;15.5;2.6;15.3
1905;-0.4;3.8;9.8;13.8;20.2;24.0;28.0;28.2;24.2;14.6;11.7;4.8;14.6;26.7;16.8;4.5;15.2
1906;2.9;5.8;10.5;15.4;20.1;23.4;26.9;26.0;21.7;16.2;11.6;3.4;15.3;25.4;16.5;2.2;15.3
1907;0.9;2.4;6.2;12.7;22.2;24.2;26.1;26.8;22.4;19.9;9.0;5.8;13.7;25.7;17.1;4.6;14.9
1908;2.2;5.7;9.2;13.8;22.5;25.4;26.6;26.2;21.6;15.5;5.9;3.1;15.2;26.1;14.3;1.6;14.8
1909;0.5;1.2;9.8;15.1;19.7;23.6;26.5;27.6;23.8;17.9;9.0;7.2;14.9;25.9;16.9;6.6;15.2
1910;4.3;8.2;9.6;14.6;19.7;24.1;26.0;26.7;22.2;16.5;9.4;7.0;14.6;25.6;16.0;4.2;15.7
1911;3.1;2.6;9.6;14.3;20.0;23.6;27.0;27.5;23.1;17.2;11.9;5.9;14.6;26.0;17.4;4.8;15.5
1912;0.9;7.7;12.1;13.2;19.2;24.5;26.4;25.6;20.2;15.0;8.4;5.6;14.8;25.5;14.5;4.0;14.9
1913;2.7;3.7;11.7;15.1;19.2;23.3;24.4;25.1;23.0;17.0;10.7;4.9;15.3;24.2;16.9;3.0;15.1
1914;0.0;4.0;11.0;15.8;19.5;23.0;26.1;26.5;21.4;15.6;8.4;6.3;15.4;25.2;15.1;6.1;14.8
1915;5.7;6.2;9.0;14.5;20.2;25.0;26.6;25.3;20.8;16.2;8.5;8.1;14.6;25.6;15.2;6.3;15.5
1916;5.1;5.6;12.4;14.9;20.1;24.3;27.0;25.9;21.5;16.8;11.4;7.7;15.8;25.7;16.6;4.5;16.1
1917;4.2;1.6;8.9;13.9;19.8;24.8;26.9;28.2;23.8;17.6;10.4;2.6;14.2;26.6;17.3;3.6;15.2
1918;4.0;4.4;9.3;15.6;20.1;22.4;26.3;26.3;24.1;17.4;9.0;5.3;15.0;25.0;16.8;5.4;15.3
1919;5.6;5.4;10.9;14.7;17.1;23.1;25.4;26.2;23.9;16.1;9.4;4.9;14.2;24.9;16.4;4.8;15.2
1920;5.2;4.4;11.1;17.2;21.5;23.1;27.4;26.3;22.9;14.2;5.8;5.1;16.6;25.6;14.3;5.3;15.3
1921;6.3;4.4;10.5;14.2;21.3;22.4;27.5;28.0;22.0;16.4;7.8;3.7;15.3;25.9;15.4;2.9;15.4
1922;1.9;3.1;11.8;14.6;20.2;24.3;27.4;27.5;22.3;15.9;7.4;3.6;15.5;26.4;15.2;4.4;15.0
1923;3.9;5.6;10.6;14.3;21.7;22.0;26.9;26.9;23.7;19.2;13.1;5.3;15.5;25.3;18.7;3.1;16.1
1924;-0.3;4.2;8.9;15.1;22.0;24.7;26.8;25.9;24.7;16.8;8.0;3.9;15.3;25.8;16.5;5.5;15.1
1925;3.6;9.0;9.6;15.3;20.5;22.3;26.7;26.4;22.2;16.9;11.4;3.0;15.1;25.1;16.8;5.1;15.6
1926;4.0;8.3;9.4;16.4;19.6;23.2;26.0;25.1;23.5;18.1;14.9;4.9;15.1;24.8;18.9;4.6;16.1
1927;4.9;3.9;12.5;15.5;20.1;25.7;28.1;28.2;24.6;17.1;11.3;2.5;16.0;27.4;17.7;3.3;16.2
1928;3.0;4.3;8.0;16.0;18.2;23.8;29.0;28.2;24.0;16.8;12.0;3.7;14.1;27.0;17.6;1.4;15.6
1929;0.5;0.0;6.9;12.8;21.9;24.0;27.0;28.6;22.1;17.8;11.7;5.8;13.9;26.6;17.2;5.0;14.9
1930;4.0;5.2;11.6;15.9;19.4;24.9;27.3;26.9;24.2;17.0;11.6;5.3;15.6;26.4;17.6;4.9;16.1
1931;4.0;5.4;8.7;13.4;21.8;25.5;28.7;28.0;21.0;16.7;9.4;3.2;14.6;27.4;15.7;2.0;15.5
1932;1.6;1.3;6.7;15.2;21.2;23.9;28.5;27.9;26.0;19.8;9.1;5.1;14.3;26.8;18.3;4.0;15.5
1933;1.4;5.6;9.4;13.1;18.4;21.8;26.2;26.6;21.8;17.8;11.3;1.7;13.6;24.8;17.0;2.9;14.6
1934;2.3;4.6;12.8;18.7;22.2;24.6;27.6;27.8;23.6;17.2;11.8;6.9;17.9;26.7;17.5;4.4;16.7
1935;1.0;5.3;8.5;15.5;20.0;26.1;27.3;27.4;23.5;19.7;9.1;5.9;14.7;26.9;17.4;6.6;15.8
1936;7.6;6.4;12.4;15.9;20.0;23.2;28.5;26.0;22.7;14.7;9.4;4.0;16.1;25.9;15.6;4.2;15.9
1937;1.7;7.0;12.7;14.4;22.1;25.9;27.8;27.0;24.1;16.7;10.3;5.2;16.4;26.9;17.1;4.1;16.2
1938;2.5;4.6;11.5;12.7;19.6;26.1;28.3;27.6;22.5;18.7;11.0;3.6;14.6;27.3;17.4;5.3;15.7
1939;5.5;6.8;7.8;17.1;19.8;23.4;28.0;26.9;22.8;17.2;9.9;4.1;14.9;26.1;16.6;1.7;15.8
1940;-2.0;2.9;8.4;14.2;17.8;22.6;26.6;24.8;22.8;17.3;11.5;0.9;13.5;24.7;17.2;3.6;14.0
1941;2.7;7.2;10.3;15.4;18.5;23.6;26.3;26.6;20.0;15.8;6.9;4.1;14.7;25.5;14.2;1.5;14.8
1942;-2.6;3.0;7.9;13.8;21.3;25.0;26.9;27.1;25.5;17.6;8.7;5.0;14.3;26.3;17.3;4.2;14.9
1943;0.6;6.9;9.5;15.8;18.6;22.9;27.2;29.1;24.9;17.8;10.4;5.5;14.7;26.4;17.7;4.7;15.8
1944;3.9;4.6;7.5;15.3;18.6;24.4;26.5;27.4;23.0;17.3;9.8;3.1;13.8;26.1;16.7;2.8;15.1
1945;0.5;4.7;10.1;15.2;23.2;25.4;28.3;28.1;23.4;16.2;9.0;4.4;16.2;27.3;16.2;3.7;15.7
1946;1.0;5.8;10.0;17.2;21.9;25.9;29.0;29.4;25.5;14.4;10.3;2.8;16.4;28.1;16.7;1.9;16.1
1947;-2.0;5.0;12.8;18.0;21.5;25.3;28.0;27.2;24.1;15.2;10.4;5.6;17.4;26.8;16.6;5.8;15.9
1948;7.3;4.4;10.0;16.2;20.5;22.6;25.8;27.5;23.2;18.2;9.1;1.1;15.6;25.3;16.8;3.8;15.5
1949;4.6;5.8;7.4;15.9;21.7;22.6;26.2;26.1;22.9;17.0;11.9;6.7;15.0;25.0;17.2;5.3;15.7
1950;1.6;7.7;10.7;17.1;21.3;25.6;29.7;28.7;24.8;16.7;10.7;7.3;16.3;28.0;17.4;7.0;16.8
1951;5.7;7.9;10.9;16.0;20.9;24.8;27.2;28.6;24.0;13.7;11.7;5.7;15.9;26.9;16.5;5.4;16.4
1952;5.2;5.3;9.3;18.1;19.4;24.6;28.1;30.3;24.6;17.4;10.0;5.8;15.6;27.7;17.3;5.3;16.5
1953;4.0;6.1;8.7;16.0;18.7;24.2;28.0;26.4;23.7;16.4;7.5;2.9;14.5;26.2;15.9;0.4;15.2
