Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Moldova              : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;-2.1;1.0;7.3;15.3;22.6;28.6;28.7;28.2;21.2;15.9;6.8;5.0;15.1;28.5;14.6;3.7;14.9
1902;4.3;2.0;6.8;13.0;19.5;26.0;26.0;27.1;21.6;13.9;3.4;-2.1;13.1;26.4;13.0;1.1;13.5
1903;0.3;5.1;9.5;15.7;22.4;25.9;28.0;27.4;24.5;15.6;8.5;1.2;15.9;27.1;16.2;1.2;15.3
1904;-2.2;4.6;4.7;15.5;20.5;25.7;28.3;27.5;20.8;15.4;6.0;3.4;13.6;27.2;14.0;0.9;14.2
1905;-2.1;1.4;5.5;13.7;22.6;26.8;28.8;29.2;23.3;14.3;9.4;1.8;14.0;28.3;15.6;1.6;14.6
1906;1.1;1.7;9.4;17.3;24.4;26.8;27.8;26.0;20.7;13.5;8.7;1.8;17.0;26.9;14.3;-0.7;14.9
1907;-2.1;-1.7;3.8;11.6;24.5;25.5;26.9;26.9;22.8;17.9;4.4;1.3;13.3;26.5;15.0;1.5;13.5
1908;0.7;2.7;5.4;13.2;22.8;25.9;27.4;26.3;21.4;13.8;3.2;-0.9;13.8;26.5;12.8;-2.1;13.5
1909;-2.8;-2.4;5.5;13.5;21.1;25.3;27.2;27.8;25.7;18.1;7.2;4.2;13.4;26.7;17.0;3.4;14.2
1910;2.1;3.8;8.4;16.2;22.7;26.4;26.8;25.6;21.9;13.3;8.2;3.8;15.8;26.3;14.5;0.1;14.9
1911;-1.0;-2.6;4.7;14.8;23.6;24.3;27.0;27.1;21.8;15.5;9.5;1.2;14.3;26.2;15.6;-0.0;13.8
1912;-2.9;1.6;8.5;13.3;19.4;25.9;25.5;25.4;19.8;11.1;6.2;4.0;13.7;25.6;12.4;1.5;13.1
1913;-0.8;1.4;10.5;17.3;20.2;23.8;25.4;26.6;22.5;15.1;9.4;4.6;16.0;25.3;15.7;2.5;14.7
1914;-0.9;3.9;10.0;16.5;22.5;25.5;28.0;25.7;19.5;12.9;4.1;2.9;16.3;26.4;12.2;2.8;14.2
