Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Montenegro           : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;-0.5;0.5;8.1;12.5;17.8;22.1;24.9;24.1;19.8;15.5;7.3;6.5;12.8;23.7;14.2;5.9;13.2
1902;5.6;5.7;7.7;12.6;14.2;20.0;23.6;24.1;20.0;14.5;6.2;1.5;11.5;22.6;13.6;3.4;13.0
1903;2.5;6.3;9.8;9.9;17.6;20.3;23.6;24.0;20.3;15.3;9.6;5.3;12.4;22.6;15.0;4.7;13.7
1904;2.5;6.4;8.5;13.1;17.9;21.8;25.8;24.7;18.7;14.8;7.3;4.7;13.2;24.1;13.6;2.7;13.8
1905;0.0;3.5;8.8;11.3;17.5;21.6;25.9;25.4;21.3;11.3;9.8;5.0;12.5;24.3;14.2;4.1;13.4
1906;2.9;4.4;8.0;12.8;18.0;20.6;24.3;24.1;18.8;14.7;11.0;2.6;12.9;23.0;14.8;1.9;13.5
1907;1.5;1.8;5.3;10.2;19.4;21.7;23.1;24.5;20.3;18.0;8.4;5.5;11.6;23.1;15.6;4.2;13.3
1908;2.1;4.8;7.1;11.0;20.2;23.0;24.2;23.2;18.8;14.0;5.2;3.0;12.8;23.5;12.6;1.5;13.1
1909;0.8;0.6;7.3;13.0;17.0;20.5;23.2;24.7;20.5;16.1;7.7;6.8;12.4;22.8;14.8;6.0;13.2
1910;4.4;6.9;8.6;12.0;17.2;21.5;23.0;24.0;18.8;15.0;7.9;7.3;12.6;22.8;13.9;4.4;13.9
1911;2.8;2.9;8.3;11.9;17.6;20.7;25.3;25.6;20.8;14.9;11.2;6.4;12.6;23.8;15.7;5.2;14.0
1912;2.1;7.0;10.5;10.6;17.3;21.6;24.2;22.6;16.9;12.9;6.4;5.5;12.8;22.8;12.1;3.8;13.1
1913;2.8;3.1;10.2;12.4;17.1;20.9;21.5;22.6;20.0;15.3;10.3;4.9;13.3;21.6;15.2;2.6;13.4
1914;-0.4;3.2;9.0;13.7;17.1;20.2;23.2;24.2;18.8;13.7;7.8;6.4;13.3;22.5;13.4;5.3;13.1
1915;4.7;4.9;6.9;11.9;18.6;22.4;23.7;22.6;18.0;13.0;6.9;8.0;12.5;22.9;12.6;6.3;13.5
1916;6.0;4.8;10.6;12.4;18.1;20.5;24.0;23.7;18.5;14.4;10.4;7.3;13.7;22.7;14.4;3.7;14.2
1917;3.4;0.5;6.3;10.3;18.8;23.1;24.6;25.4;21.6;14.8;9.0;2.5;11.8;24.4;15.1;3.8;13.4
1918;4.3;4.4;8.4;13.9;18.2;19.1;23.5;23.5;21.0;14.2;7.6;5.9;13.5;22.0;14.3;5.1;13.7
1919;5.5;4.0;8.8;11.1;14.6;20.7;22.2;24.3;21.4;13.1;7.6;4.7;11.5;22.4;14.1;5.4;13.2
1920;6.0;5.6;10.1;14.8;19.9;20.1;24.9;23.2;20.5;12.8;5.8;5.4;14.9;22.7;13.0;5.6;14.1
1921;6.9;4.5;9.5;11.6;19.1;20.1;25.4;25.4;20.1;15.6;6.7;3.6;13.4;23.6;14.1;2.6;14.0
1922;1.9;2.2;9.6;11.5;18.3;21.8;24.3;24.9;18.8;13.0;6.4;4.2;13.1;23.7;12.7;4.4;13.1
1923;4.2;4.8;8.8;11.7;19.1;18.5;25.0;24.9;20.3;17.1;10.8;4.2;13.2;22.8;16.1;2.5;14.1
1924;0.8;2.7;7.1;12.1;19.6;21.5;24.1;22.6;21.3;14.8;7.6;4.4;12.9;22.7;14.6;5.5;13.2
1925;4.3;7.7;7.1;12.8;18.5;20.2;24.0;24.0;18.7;14.8;9.2;2.4;12.8;22.7;14.3;4.7;13.7
1926;3.4;8.2;7.9;13.8;16.9;19.8;23.4;23.1;21.2;15.6;14.3;4.5;12.8;22.1;17.0;4.5;14.3
1927;5.3;3.7;10.4;12.6;17.4;22.4;25.3;25.2;21.2;14.7;9.9;2.1;13.5;24.3;15.3;3.5;14.2
1928;3.5;4.9;6.8;13.2;15.4;20.8;26.8;25.6;20.5;14.9;10.9;3.8;11.8;24.4;15.4;0.5;13.9
1929;-0.4;-1.9;6.0;9.7;19.0;21.1;24.7;25.8;20.8;15.8;10.6;6.2;11.5;23.9;15.7;5.0;13.1
1930;4.6;4.2;9.8;13.3;17.1;23.2;24.1;23.9;21.1;14.6;11.0;4.9;13.4;23.7;15.6;4.4;14.3
1931;3.9;4.2;5.4;10.6;20.0;23.1;25.5;24.1;16.9;13.8;9.0;3.1;12.0;24.2;13.2;2.1;13.3
1932;3.4;-0.2;4.3;11.8;18.1;20.3;25.3;26.2;23.4;15.6;9.0;5.0;11.4;24.0;16.0;3.5;13.5
1933;1.4;4.2;8.5;10.9;16.2;18.9;24.4;24.4;19.7;14.9;8.8;0.4;11.9;22.5;14.5;2.6;12.7
1934;3.0;4.3;10.5;15.3;19.5;20.9;24.9;24.4;21.3;14.6;10.2;8.4;15.1;23.4;15.4;4.6;14.8
1935;1.2;4.2;6.8;12.0;16.3;23.2;24.6;24.2;20.4;16.6;9.1;4.7;11.7;24.0;15.4;5.8;13.6
1936;7.3;5.3;10.5;12.7;18.2;20.8;25.2;23.3;20.0;11.2;8.6;4.4;13.8;23.1;13.3;4.1;14.0
1937;2.1;5.7;9.5;11.6;19.7;22.5;24.3;23.8;20.4;15.1;8.8;4.1;13.6;23.6;14.8;3.8;14.0
1938;3.0;4.3;10.6;9.5;16.5;23.1;24.8;24.3;19.8;15.9;10.8;3.2;12.2;24.1;15.5;5.0;13.8
1939;5.5;6.2;5.7;14.8;16.2;21.5;24.8;24.7;19.8;13.7;9.7;3.1;12.3;23.7;14.4;0.3;13.8
1940;-2.5;0.4;6.3;12.4;16.2;20.8;23.6;22.1;20.2;14.5;10.8;-0.0;11.7;22.1;15.1;2.3;12.1
1941;1.6;5.2;8.5;11.6;15.3;21.1;23.9;23.4;18.2;13.6;6.4;4.2;11.8;22.8;12.7;0.8;12.7
1942;-3.2;1.2;6.9;11.1;18.1;21.2;23.8;24.9;23.3;16.5;8.0;5.7;12.0;23.3;15.9;4.4;13.1
1943;0.8;6.6;9.4;13.7;17.0;19.9;24.2;26.7;21.9;16.3;8.0;5.3;13.4;23.6;15.4;4.5;14.2
1944;5.3;3.0;5.1;13.0;16.5;20.3;23.8;26.3;20.0;15.2;8.6;3.4;11.5;23.5;14.6;2.9;13.4
1945;-0.3;5.6;9.4;13.2;19.7;22.6;25.5;24.7;20.5;14.4;8.4;4.9;14.1;24.3;14.4;4.0;14.0
1946;1.4;5.7;9.4;15.1;20.0;22.2;26.0;26.1;22.3;12.2;9.2;2.7;14.8;24.8;14.6;1.0;14.4
1947;-1.7;2.2;9.4;15.0;19.3;22.7;25.8;25.0;22.9;13.7;10.3;5.2;14.6;24.5;15.6;5.5;14.1
1948;7.1;4.1;9.5;14.2;19.0;20.3;22.6;24.6;21.0;15.5;8.7;2.6;14.3;22.5;15.1;4.5;14.1
1949;5.4;5.5;6.1;14.6;18.3;19.7;23.9;23.8;21.6;15.7;10.2;6.4;13.0;22.5;15.8;5.1;14.3
1950;2.1;6.7;9.8;13.0;19.5;23.2;27.0;26.2;20.8;13.8;9.4;5.6;14.1;25.5;14.7;6.3;14.8
1951;6.1;7.2;8.6;13.0;18.0;22.3;24.9;26.3;21.9;12.7;11.1;6.1;13.2;24.5;15.2;4.7;14.8
1952;4.3;3.7;7.2;16.1;17.2;22.6;26.8;28.0;20.2;14.7;8.4;5.0;13.5;25.8;14.4;4.4;14.5
1953;3.5;4.6;8.3;14.1;17.1;21.4;25.8;24.1;21.4;15.0;8.2;4.4;13.1;23.8;14.8;0.9;14.0
1954;-1.1;-0.7;8.6;10.4;16.4;23.2;23.5;24.6;22.4;14.5;8.4;6.3;11.8;23.7;15.1;5.6;13.0
1955;4.5;6.0;7.0;10.1;17.9;21.2;24.1;22.8;19.3;14.0;8.3;6.9;11.7;22.7;13.8;3.0;13.5
1956;5.1;-3.0;4.8;12.3;17.7;20.1;25.0;25.9;22.1;14.8;6.5;4.4;11.6;23.7;14.5;5.0;13.0
1957;2.6;7.9;10.4;13.2;15.2;23.6;25.2;24.6;19.9;14.6;9.9;4.5;12.9;24.5;14.8;5.2;14.3
1958;3.4;7.8;4.6;9.9;21.3;20.8;25.4;25.8;20.2;15.3;9.4;6.8;11.9;24.0;15.0;5.1;14.2
1959;3.9;4.7;10.7;12.9;17.3;20.3;25.2;23.7;18.6;14.1;8.8;7.5;13.7;23.1;13.8;5.3;14.0
1960;3.4;4.8;8.1;12.4;16.8;22.1;23.4;25.3;18.8;16.2;11.6;7.5;12.4;23.6;15.5;5.8;14.2
1961;3.3;6.5;11.4;15.9;16.6;21.9;23.7;25.2;23.5;16.7;10.4;4.4;14.6;23.6;16.9;4.2;15.0
1962;4.5;3.7;4.7;13.6;18.1;20.2;23.8;27.3;20.7;15.1;8.9;1.6;12.1;23.8;14.9;0.3;13.5
1963;-1.4;0.8;6.7;13.5;17.8;22.0;25.6;25.9;21.6;14.1;13.3;2.1;12.7;24.5;16.3;1.8;13.5
1964;-0.3;3.8;6.5;13.6;17.4;23.2;24.3;23.6;19.9;14.5;10.1;4.6;12.5;23.7;14.8;2.9;13.4
1965;4.1;0.0;8.5;10.6;16.7;21.5;24.9;22.9;20.5;15.4;8.9;6.5;11.9;23.1;14.9;5.6;13.4
1966;0.8;9.5;7.4;14.2;17.8;21.4;23.6;24.0;20.6;17.8;8.4;4.7;13.1;23.0;15.6;4.0;14.2
1967;2.3;5.0;9.8;11.6;18.2;20.7;25.4;25.3;21.1;17.1;10.4;3.8;13.2;23.8;16.2;3.9;14.2
1968;1.8;6.1;9.3;15.8;19.3;20.9;24.1;22.1;19.4;15.4;9.9;2.1;14.8;22.3;14.9;2.4;13.9
1969;1.4;3.7;5.9;11.8;20.2;19.6;23.4;23.3;19.9;15.6;11.7;1.3;12.6;22.1;15.7;2.9;13.2
1970;3.5;3.8;6.9;11.8;15.2;21.8;23.7;24.3;20.2;13.7;11.4;4.7;11.3;23.3;15.1;4.4;13.4
1971;3.4;4.9;4.4;12.9;19.8;21.0;24.1;26.1;17.7;13.8;8.3;5.7;12.4;23.7;13.3;4.7;13.5
1972;2.4;6.1;10.8;12.8;17.7;22.5;23.7;23.0;16.3;12.2;9.5;4.0;13.8;23.1;12.7;4.0;13.4
1973;3.0;4.8;6.8;9.8;18.9;21.2;24.1;24.6;21.1;14.0;8.0;3.7;11.8;23.3;14.4;5.5;13.3
1974;5.2;7.5;9.6;10.8;15.7;19.3;24.1;25.9;20.8;12.1;8.8;6.6;12.0;23.1;13.9;5.8;13.9
