Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Norway               : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;-1.8;-6.2;-1.7;3.7;9.0;13.5;18.3;15.3;11.4;7.8;-1.4;-5.0;3.7;15.7;5.9;-4.0;5.2
1902;-2.6;-4.4;-2.8;1.7;5.8;11.4;12.1;12.0;8.1;2.6;-0.3;-3.0;1.5;11.8;3.5;-1.9;3.4
1903;-3.6;0.9;2.8;2.2;8.0;12.0;13.6;12.9;10.0;1.6;-0.3;-1.0;4.3;12.8;3.8;-2.4;4.9
1904;0.2;-6.5;-1.6;3.7;6.8;12.0;14.2;13.4;10.1;5.3;-2.5;-4.0;3.0;13.2;4.3;-3.0;4.3
1905;-3.3;-1.6;0.4;1.2;8.4;14.5;15.3;13.5;9.2;1.1;-0.6;0.5;3.3;14.4;3.2;-0.8;4.9
1906;-1.0;-1.9;-2.4;4.1;8.5;13.1;15.1;13.2;9.8;5.1;1.7;-2.3;3.4;13.8;5.5;-2.5;5.2
1907;-3.7;-1.4;1.6;3.6;6.5;12.3;13.5;11.6;8.8;7.3;2.0;-3.6;3.9;12.5;6.0;-1.8;4.9
1908;-1.0;-0.7;-1.6;2.9;7.2;12.0;15.5;14.3;9.3;6.5;-2.0;-0.0;2.8;13.9;4.6;-0.8;5.2
1909;0.6;-3.0;-3.2;1.5;5.5;12.2;14.4;13.3;9.8;6.7;-2.2;-1.8;1.3;13.3;4.8;-1.1;4.5
1910;-2.7;1.0;1.1;3.2;9.1;13.1;14.4;14.1;10.0;4.8;-1.3;-0.8;4.5;13.9;4.5;-1.1;5.5
1911;-0.7;-2.0;0.3;2.9;10.2;12.0;14.6;15.9;10.5;3.4;0.1;1.3;4.5;14.1;4.7;-3.3;5.7
1912;-5.7;-5.6;1.0;3.0;7.3;13.1;16.6;14.2;8.2;3.1;-0.1;-0.1;3.7;14.6;3.8;-1.8;4.6
1913;-4.6;-0.6;1.1;4.2;8.7;12.4;15.9;13.9;10.2;4.2;2.8;-2.6;4.7;14.1;5.7;-1.7;5.5
1914;-3.0;0.6;-0.5;4.6;7.4;13.3;18.0;14.5;10.1;4.1;0.2;-0.0;3.8;15.3;4.8;-2.5;5.8
1915;-4.6;-2.7;-3.2;3.2;6.3;10.7;14.9;13.6;8.4;2.7;-2.3;-9.3;2.1;13.1;3.0;-4.1;3.1
1916;-1.2;-1.9;-2.9;3.4;7.0;11.7;16.7;12.8;8.6;2.4;2.4;-1.7;2.5;13.7;4.5;-4.5;4.8
1917;-7.2;-4.5;-4.2;0.3;6.9;14.7;14.2;16.7;9.6;4.6;0.3;-3.4;1.0;15.2;4.8;-3.8;4.0
1918;-6.3;-1.7;1.2;3.8;9.0;11.3;15.7;13.7;8.6;5.7;3.1;-1.9;4.7;13.6;5.8;-2.8;5.2
1919;-1.7;-4.9;-1.6;2.0;10.5;12.7;16.4;12.2;10.2;3.6;-3.5;-4.8;3.7;13.8;3.4;-2.2;4.3
1920;-2.5;0.8;3.5;3.8;9.4;12.7;15.1;13.4;10.7;4.7;2.0;-1.5;5.6;13.7;5.8;-1.7;6.0
1921;-2.2;-1.3;2.6;6.6;10.1;11.5;13.9;13.5;9.4;5.0;-1.9;-0.7;6.4;13.0;4.2;-3.2;5.6
1922;-4.9;-4.1;-1.3;2.3;8.2;12.8;14.9;13.4;9.9;3.9;0.8;-1.2;3.1;13.7;4.9;-2.0;4.6
1923;0.5;-5.3;0.9;1.9;6.0;8.5;14.9;12.0;9.1;4.6;-1.0;-3.6;3.0;11.8;4.3;-3.9;4.0
1924;-3.0;-5.0;-3.1;1.2;6.7;10.3;15.7;15.4;11.1;6.4;1.9;2.1;1.6;13.8;6.5;1.3;5.0
1925;2.2;-0.5;-2.6;4.6;8.4;12.3;18.5;14.8;9.9;2.7;-2.8;-4.6;3.5;15.2;3.3;-4.4;5.2
1926;-3.9;-4.6;0.5;3.8;6.7;12.5;16.0;14.8;9.6;1.2;1.5;-2.7;3.7;14.4;4.1;-2.1;4.6
1927;-2.3;-1.3;0.7;1.5;5.3;10.6;17.4;15.3;9.3;3.1;-3.3;-5.0;2.5;14.4;3.0;-3.0;4.3
1928;-2.5;-1.5;0.2;3.7;7.5;9.8;12.2;13.3;9.4;4.1;0.1;-2.1;3.8;11.8;4.5;-4.2;4.5
1929;-3.8;-6.7;1.8;0.3;8.4;11.2;13.3;12.7;10.3;4.9;2.2;2.8;3.5;12.4;5.8;1.1;4.8
1930;1.4;-1.0;-0.0;4.3;9.3;14.1;16.9;15.6;8.7;5.3;0.7;0.0;4.5;15.5;4.9;-2.6;6.3
1931;-3.9;-3.9;-2.3;2.0;8.6;9.3;15.5;13.4;7.8;4.1;2.7;-0.3;2.8;12.7;4.9;0.9;4.4
1932;2.0;0.9;-0.9;2.7;7.6;11.5;16.2;14.5;9.2;2.6;1.2;2.3;3.1;14.1;4.3;-0.6;5.8
1933;-0.4;-3.8;-0.1;2.7;7.8;15.6;16.6;14.6;10.8;5.0;-0.7;-0.7;3.5;15.6;5.0;0.7;5.6
1934;2.1;0.7;-0.0;3.1;9.5;12.4;16.9;15.6;12.7;5.7;1.3;1.0;4.2;15.0;6.5;-0.8;6.7
1935;-1.6;-1.6;-0.3;3.0;6.2;12.6;15.1;14.7;8.8;4.6;2.7;-0.4;3.0;14.1;5.4;-3.1;5.3
1936;-3.1;-5.7;-0.9;1.9;9.7;15.4;15.8;14.8;9.9;3.5;2.2;2.7;3.6;15.3;5.2;-1.2;5.5
