Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Poland               : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;-3.6;-2.8;5.1;13.2;19.6;22.9;25.5;23.5;18.3;14.0;4.8;1.8;12.6;24.0;12.4;1.2;11.9
1902;2.9;-1.1;5.6;11.1;15.1;21.1;21.5;21.1;17.2;10.8;2.4;-3.6;10.6;21.2;10.1;-0.1;10.3
1903;-0.7;4.1;9.5;11.4;18.9;21.7;23.1;21.5;19.1;12.3;5.7;-0.4;13.2;22.1;12.4;-0.2;12.2
1904;-1.7;1.5;5.0;13.2;17.0;20.9;24.3;22.9;17.1;12.1;4.2;1.9;11.7;22.7;11.1;0.1;11.5
1905;-2.9;1.3;6.6;10.6;19.2;24.0;24.3;23.4;18.0;8.9;5.9;0.8;12.1;23.9;10.9;0.6;11.7
1906;0.2;0.7;5.7;15.1;20.7;21.3;23.9;22.1;17.0;12.4;8.3;-2.0;13.9;22.4;12.5;-2.2;12.1
1907;-2.4;-2.2;4.5;10.6;19.8;21.0;21.4;21.2;18.2;16.4;4.2;-0.6;11.6;21.2;12.9;-0.0;11.0
1908;-0.9;1.4;5.2;10.8;18.8;22.6;23.8;20.9;17.0;12.4;2.3;-1.3;11.6;22.4;10.6;-2.3;11.1
1909;-2.1;-3.3;4.5;11.8;16.3;21.0;21.5;22.7;19.0;15.2;3.8;2.3;10.9;21.7;12.7;2.2;11.0
1910;1.0;3.4;7.3;13.5;19.4;23.5;22.3;21.7;17.7;12.3;4.3;2.9;13.4;22.5;11.5;0.6;12.4
1911;-0.3;-0.8;6.6;13.0;19.7;21.1;24.4;24.8;19.6;12.8;7.2;1.8;13.1;23.4;13.2;-0.5;12.5
1912;-4.4;1.0;8.3;11.4;16.8;22.3;24.4;21.2;14.6;9.8;3.9;3.4;12.2;22.6;9.4;1.0;11.1
1913;-1.8;1.4;9.2;14.0;17.9;20.5;21.4;21.8;18.4;13.0;7.9;2.7;13.7;21.2;13.1;1.1;12.2
1914;-2.5;3.0;7.3;14.8;18.1;21.7;24.8;22.9;17.3;10.7;3.8;3.1;13.4;23.1;10.6;1.5;12.1
1915;0.1;1.1;2.9;13.1;19.3;23.4;23.4;21.0;16.8;10.1;3.5;2.8;11.8;22.6;10.1;2.1;11.5
1916;2.5;1.0;6.7;14.0;18.3;19.9;22.7;21.4;17.4;11.9;7.0;2.3;13.0;21.4;12.1;-1.4;12.1
1917;-2.5;-3.9;1.9;10.2;19.5;25.2;23.5;24.0;19.7;13.0;7.2;-1.0;10.5;24.3;13.3;0.4;11.4
1918;1.0;1.1;6.7;16.6;19.4;19.5;22.9;21.9;18.8;13.7;4.8;1.5;14.2;21.4;12.4;0.6;12.3
1919;0.1;0.1;5.5;12.1;16.3;21.1;21.8;21.6;21.0;11.1;2.1;0.3;11.3;21.5;11.4;1.1;11.1
1920;0.4;2.5;9.2;16.7;20.5;20.2;24.8;22.1;18.0;10.1;3.2;-0.1;15.5;22.4;10.4;1.3;12.3
1921;3.7;0.2;10.3;14.5;21.0;20.6;24.4;24.2;18.1;14.2;1.9;-0.2;15.2;23.1;11.4;-2.0;12.7
1922;-3.9;-1.9;6.3;11.5;18.9;21.6;22.7;21.6;16.0;8.9;3.7;1.6;12.2;21.9;9.5;0.4;10.6
1923;0.8;-1.2;6.8;11.4;18.3;17.0;23.8;21.0;18.4;14.3;6.3;-1.0;12.1;20.6;13.0;-2.9;11.3
1924;-4.5;-3.1;3.7;10.5;19.8;21.6;22.4;21.6;19.6;13.3;4.5;0.6;11.3;21.9;12.5;2.5;10.8
1925;2.1;4.7;4.7;14.1;20.9;19.6;24.1;21.7;16.3;11.8;4.6;-0.2;13.2;21.8;10.9;0.1;12.0
1926;-1.4;1.9;5.5;14.6;17.5;20.2;23.7;20.7;18.6;11.2;9.6;0.2;12.5;21.6;13.1;-0.2;11.9
1927;-0.4;-0.4;8.5;11.6;15.6;21.0;24.4;23.0;18.9;12.3;4.2;-3.9;11.9;22.8;11.8;-1.1;11.2
1928;-0.0;0.6;4.6;12.5;16.4;19.1;24.4;21.6;18.3;12.5;8.2;-1.0;11.2;21.7;13.0;-4.3;11.4
1929;-5.1;-6.8;3.3;8.6;19.8;19.8;23.2;23.7;19.4;14.6;7.2;2.9;10.6;22.3;13.7;1.4;10.9
1930;1.1;0.3;7.2;14.3;18.1;24.1;22.8;22.0;17.6;13.3;7.6;-0.6;13.2;23.0;12.8;-1.1;12.3
1931;-0.9;-1.7;3.1;10.4;21.7;21.4;23.9;21.7;15.0;11.3;4.7;0.7;11.7;22.3;10.3;-0.4;10.9
1932;0.8;-2.7;2.6;12.7;19.7;20.3;25.8;24.2;20.6;13.0;5.7;1.5;11.6;23.4;13.1;-0.9;12.0
1933;-4.7;0.3;7.1;10.4;16.9;20.1;24.1;22.1;17.8;12.9;4.2;-3.9;11.5;22.1;11.6;-1.0;10.6
1934;-0.8;1.6;8.1;16.5;20.6;22.4;24.2;23.4;20.9;14.0;7.4;2.0;15.1;23.3;14.1;0.0;13.4
1935;-3.2;1.4;5.3;12.7;16.7;23.8;22.6;22.8;18.7;14.0;5.8;0.9;11.6;23.1;12.8;0.8;11.8
1936;2.7;-1.0;8.1;12.6;19.6;22.6;25.1;21.7;17.6;9.4;5.3;1.7;13.4;23.1;10.8;-0.6;12.1
1937;-4.4;1.0;6.2;12.9;22.0;23.4;23.4;23.6;19.7;13.5;5.3;-0.7;13.7;23.5;12.8;0.1;12.2
1938;-0.6;1.6;9.9;10.4;17.6;22.4;24.3;24.8;19.6;13.5;8.3;-2.3;12.6;23.8;13.8;0.8;12.5
1939;1.2;3.4;4.4;14.8;16.8;23.2;24.9;25.3;18.5;10.0;6.3;-1.0;12.0;24.5;11.6;-5.3;12.3
1940;-8.2;-6.8;2.8;12.5;18.0;23.4;23.3;20.2;17.2;11.0;7.7;-2.7;11.1;22.3;12.0;-3.3;9.9
1941;-6.7;-0.5;4.6;9.9;15.2;21.6;24.5;21.5;16.6;10.7;1.7;0.9;9.9;22.6;9.7;-4.2;10.0
1942;-9.1;-4.5;1.6;11.7;17.8;20.3;22.5;24.6;20.7;14.3;4.1;2.1;10.4;22.5;13.1;0.6;10.5
1943;-3.6;3.3;8.7;14.7;18.0;20.8;23.0;24.2;19.2;14.3;5.3;-0.2;13.8;22.7;12.9;0.7;12.3
1944;2.3;0.1;3.6;12.3;17.3;20.6;24.5;25.7;19.0;13.3;5.7;0.1;11.0;23.6;12.7;-0.6;12.0
1945;-3.4;1.4;7.0;12.8;18.2;21.4;23.8;22.7;18.2;12.2;4.9;0.3;12.7;22.7;11.8;-0.2;11.6
1946;-1.8;1.1;5.7;15.6;20.8;22.2;25.4;23.6;19.5;9.0;4.1;-2.0;14.0;23.7;10.9;-4.7;11.9
1947;-5.2;-6.9;4.7;14.4;20.8;24.0;25.2;23.2;21.6;11.2;6.3;1.8;13.3;24.1;13.1;0.9;11.8
1948;1.7;-0.9;6.9;16.3;20.3;21.4;22.9;22.9;19.5;12.6;5.4;0.5;14.5;22.4;12.5;1.3;12.5
1949;1.2;2.1;4.6;14.8;20.5;19.8;23.2;22.5;21.1;14.7;7.0;3.3;13.3;21.8;14.3;0.4;12.9
1950;-4.2;2.3;7.4;14.5;20.3;23.1;23.7;23.6;18.3;11.3;5.8;0.9;14.1;23.5;11.8;0.5;12.2
1951;-0.3;1.1;4.4;14.4;16.9;22.5;23.9;25.3;20.5;11.5;8.2;3.3;11.9;23.9;13.4;1.3;12.6
1952;0.6;-0.1;2.3;16.5;16.8;20.7;24.5;24.5;15.9;10.7;3.7;-0.3;11.8;23.2;10.1;-0.6;11.3
1953;-1.0;-0.3;7.7;15.2;18.8;23.3;25.4;22.6;18.8;14.3;5.8;0.8;13.9;23.7;13.0;-3.2;12.6
1954;-4.9;-5.6;5.8;10.1;19.2;23.5;21.4;22.6;19.4;12.7;5.0;3.2;11.7;22.5;12.4;0.3;11.0
1955;-1.5;-0.9;3.5;10.1;16.3;20.5;23.9;24.2;19.5;13.0;5.8;2.0;10.0;22.9;12.8;-1.7;11.4
1956;0.0;-7.2;4.0;10.1;18.4;21.4;22.7;20.7;18.5;12.1;2.1;1.0;10.8;21.6;10.9;1.6;10.3
1957;0.1;3.7;7.3;13.7;16.2;23.3;24.3;21.5;16.5;13.1;6.6;0.6;12.4;23.0;12.1;0.6;12.3
1958;-0.9;2.0;1.8;9.3;20.1;20.2;23.7;22.4;18.5;13.6;5.9;2.5;10.4;22.1;12.7;1.1;11.6
1959;0.5;0.2;9.1;14.7;18.6;22.5;26.4;24.0;17.7;12.9;5.1;0.4;14.1;24.3;11.9;-0.5;12.7
1960;-1.3;-0.7;5.5;12.2;18.4;22.3;22.4;22.0;17.3;12.6;7.2;3.2;12.1;22.2;12.4;1.7;11.8
1961;-1.3;3.2;9.2;16.2;16.5;23.3;21.9;21.6;20.3;15.1;6.0;-1.0;14.0;22.3;13.8;-0.0;12.6
1962;1.1;-0.1;2.6;15.0;15.8;20.0;21.0;21.9;17.1;12.9;6.0;-2.6;11.2;21.0;12.0;-5.0;10.9
1963;-7.8;-4.6;3.4;13.3;20.1;22.5;25.7;24.2;20.1;12.3;9.1;-2.4;12.3;24.1;13.8;-1.8;11.3
1964;-2.1;-1.0;1.8;13.4;19.0;25.1;24.6;21.6;18.7;12.1;6.1;0.5;11.4;23.8;12.3;-0.6;11.6
1965;0.1;-2.4;4.9;11.5;15.7;21.2;21.3;21.2;19.6;12.5;2.3;1.8;10.7;21.3;11.4;-0.0;10.8
1966;-3.5;1.7;5.8;13.5;19.1;23.1;23.2;22.3;17.5;15.3;4.8;0.9;12.8;22.9;12.5;0.4;12.0
1967;-1.9;2.2;8.3;12.4;19.2;21.5;25.4;23.0;20.2;15.7;6.7;0.3;13.3;23.3;14.2;-0.3;12.7
1968;-2.1;0.9;7.9;15.8;17.2;23.6;22.6;23.1;18.5;12.4;5.8;-2.0;13.6;23.1;12.3;-2.5;12.0
1969;-3.4;-2.0;2.6;12.3;19.4;21.3;24.7;22.7;19.3;13.7;8.0;-5.1;11.4;22.9;13.7;-3.8;11.1
1970;-3.9;-2.3;3.7;11.3;17.2;22.7;22.7;22.8;17.4;11.7;7.0;1.1;10.8;22.7;12.0;0.6;11.0
1971;-1.1;1.6;4.1;13.3;20.8;20.2;24.6;25.5;16.4;12.9;5.2;3.6;12.7;23.4;11.5;0.2;12.3
1972;-4.5;1.4;8.4;13.1;18.0;22.3;25.2;22.3;16.5;11.0;6.4;1.8;13.2;23.3;11.3;1.1;11.8
1973;-0.7;2.1;8.2;12.0;18.6;21.8;23.6;24.1;18.4;11.4;4.6;0.5;12.9;23.2;11.5;1.7;12.1
1974;0.9;3.6;9.4;13.8;16.3;19.3;20.9;23.6;18.9;9.5;5.9;3.6;13.1;21.3;11.4;3.0;12.1
1975;3.8;1.8;8.1;12.1;19.4;21.0;24.7;24.8;22.0;11.7;4.5;2.2;13.2;23.5;12.7;0.2;13.0
1976;-0.6;-0.9;3.1;13.1;18.2;21.3;24.8;21.9;17.9;11.6;6.6;-0.0;11.5;22.7;12.0;0.4;11.4
1977;-0.7;1.8;8.8;11.2;18.1;22.3;21.6;21.3;16.0;13.5;7.2;0.7;12.7;21.7;12.3;-0.2;11.8
1978;-0.0;-1.3;7.2;11.9;17.2;20.8;21.5;21.2;15.4;12.7;6.7;-1.6;12.1;21.2;11.6;-2.5;11.0
1979;-4.0;-2.1;5.6;11.8;20.3;24.4;19.9;22.0;18.5;11.8;5.1;3.2;12.6;22.1;11.8;-0.1;11.4
1980;-3.8;0.2;3.7;11.5;15.4;20.7;21.2;21.3;17.7;12.2;4.3;1.1;10.2;21.0;11.4;-0.0;10.4
1981;-1.6;0.5;8.0;12.2;20.0;21.9;22.8;22.1;19.0;12.9;5.6;-1.6;13.4;22.3;12.5;-1.4;11.8
1982;-2.4;-0.2;7.8;11.7;19.4;21.4;24.5;24.3;21.3;13.5;7.9;2.5;12.9;23.4;14.2;1.9;12.6
1983;3.6;-0.4;7.5;15.1;20.0;22.1;25.7;24.8;19.6;13.2;5.3;1.1;14.2;24.2;12.7;0.5;13.1
1984;0.8;-0.3;5.2;14.5;18.5;19.0;21.1;23.6;17.2;14.4;5.5;-0.1;12.7;21.2;12.4;-3.7;11.6
1985;-6.1;-5.0;5.1;13.3;20.1;19.5;23.0;23.3;17.2;12.7;3.0;2.9;12.8;21.9;11.0;-1.1;10.8
1986;-0.5;-5.8;6.1;13.7;20.7;21.8;23.4;22.6;16.0;13.3;7.6;1.0;13.5;22.6;12.3;-2.1;11.7
1987;-7.6;0.2;2.0;12.7;16.4;20.4;23.3;20.4;18.4;13.1;6.2;1.9;10.4;21.4;12.6;1.7;10.6
1988;1.3;2.0;4.4;13.1;20.4;20.9;24.5;22.8;18.1;12.9;3.1;2.0;12.6;22.7;11.4;3.1;12.1
1989;2.4;4.9;9.7;14.4;19.9;20.9;24.2;21.7;19.5;14.1;4.8;2.7;14.6;22.3;12.8;3.9;13.3
1990;2.2;6.9;10.9;14.4;20.0;21.7;22.1;23.9;15.5;13.9;6.6;0.9;15.1;22.6;12.0;0.9;13.2
1991;1.0;0.9;8.0;12.9;15.0;20.0;24.7;23.2;19.5;12.1;5.9;0.5;12.0;22.7;12.5;1.2;12.0
1992;0.6;2.4;7.6;12.6;19.1;24.0;25.9;26.8;17.9;10.2;6.0;0.5;13.1;25.6;11.4;0.7;12.8
1993;1.5;0.2;5.6;14.4;22.0;20.6;21.6;21.8;16.1;12.2;1.0;2.5;14.0;21.3;9.7;1.3;11.6
1994;2.3;-0.8;7.3;14.0;17.8;20.9;27.8;24.1;18.9;11.1;6.5;2.0;13.0;24.2;12.2;2.1;12.7
1995;-0.4;4.7;6.3;13.2;17.7;21.3;26.1;24.4;17.2;14.9;3.0;-2.9;12.4;23.9;11.7;-3.5;12.1
1996;-4.4;-3.3;2.4;14.2;18.6;21.6;21.4;23.6;14.5;13.2;7.5;-3.4;11.7;22.2;11.7;-1.1;10.5
1997;-3.3;3.3;7.3;10.5;18.6;22.0;22.9;25.3;18.3;10.4;5.1;0.7;12.1;23.4;11.2;2.5;11.8
1998;1.8;5.1;6.1;14.8;19.4;22.1;22.3;21.7;17.7;11.5;1.5;-0.7;13.4;22.1;10.2;0.2;11.9
1999;0.9;0.4;8.2;15.1;18.4;22.6;25.8;23.3;21.7;12.2;4.7;1.5;13.9;23.9;12.9;1.5;12.9
2000;-0.5;3.7;6.9;17.6;21.4;22.8;21.1;23.8;17.5;16.0;8.7;2.7;15.3;22.6;14.1;1.5;13.5
2001;0.0;1.7;6.3;13.4;19.9;19.8;25.3;24.6;16.2;15.4;5.0;-1.9;13.2;23.2;12.2;1.3;12.1
2002;0.5;5.4;8.9;14.1;21.6;22.6;25.6;26.1;18.6;10.6;6.5;-3.3;14.9;24.8;11.9;-2.3;13.1
2003;-1.5;-2.1;7.0;13.2;21.0;23.9;25.1;25.2;19.7;9.5;7.3;2.2;13.8;24.7;12.2;0.3;12.5
2004;-3.0;1.7;7.1;14.9;17.1;20.8;23.0;24.4;18.6;13.8;5.9;1.9;13.0;22.7;12.8;0.6;12.2
2005;1.3;-1.3;4.5;15.0;18.7;21.4;25.0;22.1;20.6;14.5;5.4;0.4;12.7;22.8;13.5;-2.1;12.3
2006;-5.0;-1.8;3.5;14.1;18.7;22.9;28.0;21.9;21.4;15.2;8.2;4.6;12.1;24.2;15.0;3.5;12.7
2007;4.2;1.6;10.3;15.9;20.3;23.8;23.8;24.1;17.7;11.9;4.2;0.8;15.5;23.9;11.2;2.4;13.2
2008;1.9;4.4;7.2;14.1;19.2;23.6;24.3;23.7;17.2;13.6;7.3;1.9;13.5;23.9;12.7;0.1;13.2
2009;-1.8;0.1;6.1;17.9;19.3;20.4;24.7;24.6;20.5;10.8;7.7;0.1;14.5;23.2;13.0;-2.0;12.5
2010;-5.4;-0.8;7.2;14.7;17.2;22.4;27.0;23.8;16.8;11.0;7.6;-3.5;13.0;24.4;11.8;-1.7;11.5
2011;-0.2;-1.4;7.6;16.8;19.9;23.6;23.0;23.9;20.4;13.1;5.9;3.4;14.7;23.5;13.1;0.0;13.0
2012;0.1;-3.4;9.2;14.6;20.8;21.6;25.2;24.2;19.6;12.4;7.5;-1.1;14.9;23.7;13.2;-1.0;12.6
2013;-1.9;0.1;2.4;13.6;19.7;22.7;25.4;24.9;17.0;14.4;7.5;3.3;11.9;24.3;13.0;2.6;12.4
2014;-0.3;4.7;11.5;16.5;18.9;21.8;26.7;23.3;20.1;14.8;7.7;2.4;15.6;23.9;14.2;2.3;14.0
2015;2.0;2.5;9.5;14.5;18.5;22.5;25.8;28.1;19.7;12.3;8.6;5.7;14.2;25.4;13.5;3.1;14.1
2016;-1.2;4.8;7.8;14.7;21.0;24.2;24.9;23.9;22.0;11.1;5.6;2.2;14.5;24.4;12.9;0.6;13.4
2017;-2.4;1.9;10.4;12.9;20.0;23.5;24.1;25.2;18.0;13.5;6.8;3.2;14.4;24.3;12.8;1.3;13.1
2018;2.1;-1.3;4.5;19.1;23.6;24.5;26.2;26.9;21.5;16.1;7.1;2.4;15.7;25.9;14.9;2.3;14.4
2019;-0.4;4.8;10.1;16.8;17.8;26.5;24.7;26.4;19.8;15.3;8.7;4.4;14.9;25.9;14.6;4.4;14.6
2020;3.1;5.8;9.5;16.2;17.3;23.7;24.4;26.6;21.2;14.4;7.8;2.9;14.3;24.9;14.4;1.3;14.4
2021;-0.2;1.2;7.7;12.3;17.4;26.1;26.9;22.5;19.2;14.3;7.5;1.1;12.5;25.1;13.7;2.7;13.0
2022;2.1;4.9;8.7;12.7;20.1;25.5;25.5;27.2;17.6;15.9;6.8;1.6;13.8;26.1;13.4;2.7;14.0
2023;3.3;3.1;9.0;13.6;19.7;24.2;25.9;25.6;23.6;15.4;6.9;3.1;14.1;25.2;15.3;3.7;14.5
2024;0.9;7.1;11.3;16.6;22.6;24.3;26.6;27.1;22.1;14.7;6.4;3.2;16.8;26.0;14.4;-999.0;15.2
