Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Romania              : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;-2.7;0.9;9.0;14.7;21.0;25.8;26.8;25.7;20.6;16.2;7.1;5.6;14.9;26.1;14.6;4.7;14.2
1902;4.5;4.0;7.8;13.2;17.4;23.6;24.7;25.8;21.0;14.8;4.1;-2.3;12.8;24.7;13.3;1.5;13.2
1903;0.9;5.9;10.6;13.7;20.8;23.3;26.1;25.7;23.2;16.5;9.5;2.7;15.0;25.1;16.4;2.6;14.9
1904;-1.2;6.3;7.1;15.6;19.8;24.5;27.4;26.3;19.8;15.7;6.3;3.3;14.2;26.0;14.0;1.0;14.2
1905;-2.4;2.0;7.6;13.3;20.9;24.7;27.5;27.6;22.7;13.3;10.2;2.3;13.9;26.6;15.4;2.1;14.1
1906;0.8;3.1;10.0;16.3;21.7;24.1;26.2;24.7;20.0;14.0;10.0;1.4;16.0;25.0;14.7;-0.3;14.4
1907;-1.4;-0.9;4.7;11.8;23.1;23.9;25.0;25.3;21.2;18.8;6.0;2.9;13.2;24.8;15.3;2.3;13.4
1908;0.4;3.5;7.4;13.3;22.6;25.0;25.7;24.6;20.2;14.1;3.3;0.0;14.4;25.1;12.5;-1.3;13.3
1909;-2.2;-1.7;7.4;14.2;20.0;23.4;25.5;26.4;23.4;17.6;7.3;5.1;13.8;25.1;16.1;4.5;13.9
1910;2.7;5.8;9.4;15.1;20.8;24.5;25.0;24.8;20.9;14.3;8.2;4.8;15.1;24.8;14.5;1.7;14.7
1911;0.8;-0.6;7.2;14.2;21.5;23.1;26.1;26.0;21.3;16.0;10.6;2.9;14.3;25.1;16.0;1.6;14.1
1912;-2.3;4.3;10.6;12.6;18.6;24.5;24.9;24.0;18.2;12.2;6.4;4.2;14.0;24.5;12.3;2.1;13.2
1913;-0.1;2.2;11.6;15.8;19.0;22.7;23.5;24.1;21.6;15.6;9.6;4.3;15.5;23.4;15.6;1.8;14.2
1914;-2.0;3.1;10.7;16.4;20.5;23.3;25.9;24.6;18.9;13.4;5.3;4.0;15.8;24.6;12.5;3.8;13.7
