Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Serbia               : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;-1.8;1.1;10.7;15.9;21.3;25.2;27.4;26.0;22.0;17.8;7.6;7.1;16.0;26.2;15.8;6.4;15.0
1902;5.8;6.2;9.8;15.0;17.2;23.1;25.4;26.4;22.3;16.3;5.5;-0.1;14.0;25.0;14.7;3.2;14.4
1903;2.2;7.4;12.6;13.3;20.9;23.2;25.8;25.9;22.9;17.4;10.2;5.1;15.6;24.9;16.8;4.6;15.6
1904;1.3;7.4;10.3;16.2;20.7;24.5;28.0;27.0;21.1;16.9;7.3;4.6;15.8;26.5;15.1;2.5;15.4
1905;-1.0;4.1;10.8;14.1;21.0;24.8;28.1;27.9;23.9;13.2;10.8;4.6;15.3;26.9;16.0;4.1;15.2
1906;2.6;5.3;10.7;16.7;21.6;23.4;26.5;25.7;20.9;16.2;11.6;2.4;16.3;25.2;16.3;1.6;15.3
1907;0.8;1.5;7.1;13.1;23.4;24.6;25.3;26.4;22.5;20.6;8.1;5.6;14.5;25.4;17.0;4.1;14.9
1908;1.3;5.5;9.7;14.4;23.7;26.0;26.4;25.1;21.1;15.4;4.3;2.3;15.9;25.9;13.6;1.0;14.6
1909;0.2;0.6;9.7;16.1;20.0;23.5;25.4;27.0;23.2;18.2;7.9;7.1;15.3;25.3;16.4;6.6;14.9
1910;4.4;8.3;10.9;15.4;20.7;24.6;25.2;25.9;21.2;16.4;8.5;7.4;15.7;25.2;15.4;4.3;15.7
1911;2.9;2.7;10.4;15.1;20.9;23.5;27.4;27.5;23.0;16.9;11.8;6.1;15.5;26.1;17.2;4.6;15.7
1912;0.3;7.4;13.0;13.5;19.9;24.7;26.2;24.5;18.8;14.2;6.8;5.5;15.5;25.1;13.3;3.7;14.5
1913;1.8;3.7;12.9;15.8;19.9;23.4;23.3;24.2;22.3;16.8;10.6;5.2;16.2;23.6;16.6;2.1;15.0
1914;-1.7;2.7;11.5;17.1;20.3;23.1;25.6;26.0;20.9;15.4;7.4;6.3;16.3;24.9;14.6;5.8;14.6
1915;5.3;5.8;8.7;15.3;21.5;25.4;26.0;24.3;20.1;15.2;7.1;8.4;15.2;25.2;14.1;6.5;15.3
1916;6.1;5.0;13.4;15.7;20.9;23.4;26.1;25.5;20.9;16.3;10.9;7.7;16.7;25.0;16.0;3.6;16.0
1917;3.4;-0.4;8.4;14.0;21.5;25.9;26.8;27.8;23.9;17.4;9.9;2.2;14.6;26.8;17.1;3.5;15.1
1918;4.2;4.1;10.5;17.5;21.1;22.2;25.5;25.8;23.5;16.9;7.8;5.2;16.4;24.5;16.1;5.0;15.4
1919;5.2;4.7;11.1;14.6;17.2;23.3;24.3;25.8;24.1;15.3;7.8;4.5;14.3;24.4;15.7;5.2;14.8
1920;5.7;5.3;12.4;19.0;22.7;22.6;27.1;25.2;22.5;13.5;4.7;4.9;18.0;25.0;13.6;5.5;15.5
1921;7.2;4.5;12.2;15.2;22.5;22.7;27.4;27.5;21.8;16.9;6.3;3.1;16.6;25.9;15.0;1.8;15.6
1922;0.9;1.4;12.0;14.7;21.2;24.5;26.7;26.6;21.0;14.3;6.5;3.9;16.0;25.9;13.9;4.4;14.5
1923;4.3;4.9;11.2;14.7;22.7;21.3;26.9;26.5;23.1;19.5;11.8;4.3;16.2;24.9;18.1;2.1;15.9
1924;-0.8;2.7;9.0;14.9;22.9;24.4;25.9;24.6;24.0;16.8;7.1;3.2;15.6;25.0;15.9;5.4;14.6
1925;3.8;9.3;9.6;16.3;21.9;22.4;26.1;25.6;21.0;16.5;9.8;1.9;15.9;24.7;15.7;4.4;15.3
1926;3.1;8.4;9.7;17.4;20.2;22.7;25.3;24.5;23.2;17.7;14.9;4.3;15.7;24.2;18.6;4.3;15.9
1927;4.8;3.9;13.2;15.9;20.3;25.5;27.6;27.4;23.9;16.5;10.1;0.8;16.4;26.8;16.9;2.7;15.8
1928;2.6;4.7;8.5;16.5;18.4;23.4;29.1;27.5;23.1;16.6;11.5;3.5;14.5;26.7;17.1;0.3;15.5
1929;-1.1;-1.4;7.1;12.5;22.3;23.6;26.7;28.0;22.7;18.2;11.2;6.0;14.0;26.1;17.4;4.9;14.6
1930;3.7;4.9;12.2;16.8;20.3;25.9;26.5;26.0;23.9;16.8;11.7;4.5;16.4;26.1;17.5;4.3;16.1
1931;3.6;4.8;7.4;13.7;23.6;26.0;28.1;26.3;19.1;15.7;8.6;2.8;14.9;26.8;14.5;1.5;15.0
1932;1.8;-0.2;5.8;15.6;21.8;23.4;28.2;28.1;26.0;18.6;8.6;4.2;14.4;26.5;17.7;3.1;15.2
1933;0.2;4.9;10.6;13.5;19.3;21.7;26.4;26.1;21.6;17.2;9.4;-0.5;14.5;24.7;16.1;2.1;14.2
1934;2.1;4.8;13.6;19.5;23.3;24.1;27.2;26.7;23.6;17.0;11.0;7.8;18.8;26.0;17.2;4.3;16.7
1935;0.5;4.6;9.1;15.6;19.7;26.3;26.7;26.3;22.9;19.3;8.6;5.0;14.8;26.5;17.0;6.0;15.4
1936;7.5;5.5;13.0;16.0;21.6;23.5;27.8;24.9;22.1;13.0;8.6;3.9;16.8;25.4;14.6;3.5;15.6
1937;0.5;6.1;12.5;14.6;23.3;25.9;26.6;25.9;23.3;16.7;9.2;4.3;16.8;26.1;16.4;3.8;15.7
1938;2.3;4.8;12.9;12.8;19.7;26.2;27.4;26.4;22.0;18.0;10.8;2.5;15.2;26.7;16.9;4.9;15.5
1939;5.3;6.9;8.0;18.3;19.8;24.4;27.3;26.8;22.1;15.7;9.5;3.0;15.4;26.2;15.7;-0.6;15.6
1940;-4.3;-0.4;7.9;15.5;18.9;23.6;25.8;23.7;22.5;16.3;11.5;-0.6;14.1;24.4;16.7;2.1;13.4
1941;0.8;6.2;10.4;15.0;18.3;23.8;25.7;25.6;19.7;15.3;5.7;4.3;14.6;25.0;13.6;0.1;14.2
1942;-5.1;1.2;7.5;14.0;21.5;24.3;26.3;27.2;26.1;18.2;7.8;5.2;14.3;25.9;17.4;4.0;14.5
1943;-0.6;7.2;11.5;17.2;19.6;22.7;26.5;29.4;24.6;18.0;8.7;4.9;16.1;26.2;17.1;4.5;15.8
1944;4.9;3.8;7.4;16.0;19.4;23.9;26.2;28.2;22.7;17.7;9.2;3.3;14.3;26.1;16.5;2.7;15.2
1945;-0.4;5.4;11.3;16.2;23.3;25.6;27.8;27.0;23.1;16.2;8.6;4.4;17.0;26.8;16.0;3.5;15.7
1946;0.0;6.0;11.1;18.9;23.7;26.1;29.1;29.3;25.5;13.1;9.4;2.4;17.9;28.1;16.0;0.4;16.2
1947;-3.2;2.0;11.9;18.7;22.8;25.8;28.1;26.8;25.7;15.0;10.4;5.6;17.8;26.9;17.1;5.8;15.8
1948;7.4;4.4;11.4;18.2;22.5;22.9;25.0;27.0;23.7;17.6;8.2;1.1;17.4;25.0;16.5;4.0;15.8
1949;5.0;5.9;8.1;17.8;22.4;22.2;25.8;25.8;23.8;18.0;11.3;6.4;16.1;24.6;17.7;4.3;16.0
1950;0.2;6.3;11.9;17.4;23.2;26.3;29.2;28.2;23.8;15.4;10.0;6.5;17.5;27.9;16.4;6.7;16.5
1951;5.8;7.9;11.1;16.5;21.0;24.9;26.8;28.2;24.7;15.2;12.1;5.3;16.2;26.6;17.3;4.5;16.6
1952;4.2;4.1;8.1;19.5;20.0;24.9;29.0;30.3;22.3;16.5;8.9;4.9;15.8;28.1;15.9;4.4;16.0
1953;3.8;4.5;10.0;17.2;20.2;25.0;28.1;25.7;23.8;17.9;7.5;3.6;15.8;26.3;16.4;-0.0;15.6
1954;-2.5;-1.2;11.0;12.8;20.4;25.8;25.1;26.8;24.2;16.2;9.0;6.7;14.7;25.9;16.5;5.5;14.5
1955;3.6;6.3;8.6;12.6;20.4;23.6;25.6;25.0;22.6;16.9;8.8;6.6;13.9;24.7;16.1;3.0;15.1
1956;5.1;-2.6;6.4;15.8;20.6;23.5;27.1;27.4;23.7;16.4;5.8;3.7;14.3;26.0;15.3;4.5;14.4
1957;1.4;8.4;12.2;16.7;18.0;26.7;27.4;26.3;22.1;16.5;10.3;4.2;15.6;26.8;16.3;5.0;15.9
1958;2.7;8.2;6.6;12.8;25.2;23.4;27.8;27.4;22.6;16.8;9.8;7.1;14.9;26.2;16.4;4.6;15.9
1959;3.6;3.1;13.1;16.3;20.7;23.5;27.9;25.8;20.8;15.7;9.3;7.5;16.7;25.7;15.3;4.9;15.6
1960;2.4;4.8;10.9;15.5;19.9;24.7;25.3;26.4;21.3;18.3;11.9;8.3;15.4;25.5;17.2;5.5;15.8
1961;2.7;5.6;12.9;19.3;18.7;25.3;25.8;26.9;25.5;18.9;10.7;3.5;17.0;26.0;18.3;3.5;16.3
1962;3.6;3.4;6.3;17.0;20.7;22.7;24.8;28.8;22.7;17.5;10.1;1.2;14.7;25.4;16.8;-0.5;14.9
1963;-3.2;0.6;7.7;16.6;22.0;25.3;28.8;28.5;24.4;15.9;14.8;0.3;15.4;27.5;18.4;0.1;15.1
1964;-3.4;3.5;7.4;16.7;19.6;27.6;26.4;25.1;21.7;17.0;10.3;4.2;14.6;26.4;16.3;3.0;14.7
