Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Slovakia             : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;-4.0;-2.3;6.3;13.0;18.6;22.3;24.1;22.2;17.9;14.4;4.5;3.0;12.6;22.9;12.3;2.4;11.7
1902;3.2;1.0;6.1;11.8;13.8;20.0;21.6;21.7;17.7;11.9;2.2;-3.4;10.6;21.1;10.6;0.2;10.6
1903;-0.7;4.8;9.5;10.3;18.1;20.4;22.3;21.7;18.9;13.7;6.4;0.5;12.7;21.5;13.0;0.8;12.2
1904;-1.5;3.2;6.4;13.3;17.1;21.1;24.5;23.1;16.8;12.7;4.1;1.5;12.3;22.9;11.2;0.0;11.9
1905;-3.1;1.6;7.3;10.7;17.9;22.6;24.5;23.5;18.8;9.0;6.6;1.1;12.0;23.5;11.5;1.0;11.7
1906;0.2;1.7;6.5;14.2;18.8;19.9;22.8;21.7;16.6;12.8;8.5;-1.7;13.2;21.5;12.6;-1.7;11.8
1907;-1.8;-1.6;4.0;10.0;19.8;21.0;21.0;21.8;18.1;17.0;4.5;1.1;11.3;21.2;13.2;0.7;11.2
1908;-1.3;2.2;5.7;10.8;19.8;22.6;22.9;20.4;16.7;12.4;1.4;-1.5;12.1;22.0;10.2;-2.1;11.0
1909;-2.3;-2.6;5.3;12.8;16.2;20.2;21.1;22.5;18.7;14.9;4.1;2.8;11.4;21.3;12.5;2.9;11.1
1910;1.3;4.5;7.3;12.4;17.7;21.9;21.3;21.2;16.6;12.8;4.6;3.4;12.5;21.5;11.4;1.1;12.1
1911;-0.2;-0.0;6.8;12.2;17.9;20.4;24.1;24.0;19.1;13.0;7.8;2.3;12.3;22.8;13.3;0.9;12.3
1912;-3.1;3.4;9.0;10.6;16.5;21.4;22.8;20.0;13.9;10.3;3.2;2.6;12.1;21.4;9.1;0.8;10.9
1913;-1.4;1.3;9.5;12.9;16.6;19.8;19.7;20.2;17.8;13.2;7.5;2.3;13.0;19.9;12.8;0.1;11.6
1914;-3.5;1.5;7.8;14.4;16.8;19.9;22.3;22.0;16.6;11.5;3.9;2.8;13.0;21.4;10.7;2.1;11.3
1915;1.5;2.1;4.1;12.3;18.6;22.8;22.3;20.0;16.0;10.7;3.4;4.3;11.7;21.7;10.0;3.2;11.5
1916;3.5;1.9;8.9;13.0;17.9;19.5;22.1;21.1;16.6;12.3;7.2;3.5;13.2;20.9;12.0;-0.3;12.3
1917;-0.9;-3.4;3.5;9.8;19.0;23.9;23.2;23.5;19.9;13.4;6.7;-1.3;10.8;23.5;13.3;0.7;11.4
1918;1.6;1.7;7.3;15.5;18.2;18.7;21.9;21.4;19.2;13.4;4.4;1.9;13.7;20.6;12.3;1.5;12.1
1919;1.5;1.1;6.7;11.0;14.1;20.0;20.3;21.7;20.4;11.2;3.4;0.8;10.6;20.7;11.7;2.1;11.0
1920;2.2;3.1;9.3;16.1;19.7;19.0;23.9;21.0;17.9;10.3;2.1;0.7;15.0;21.3;10.1;2.2;12.1
1921;4.7;1.1;9.5;12.4;19.6;19.5;24.2;23.7;18.0;14.1;2.4;-0.0;13.8;22.5;11.5;-1.3;12.4
1922;-2.6;-1.4;7.6;11.2;18.1;21.2;22.5;21.8;15.8;9.7;3.3;1.0;12.3;21.9;9.6;1.1;10.7
1923;1.3;1.1;7.3;11.3;18.9;17.0;23.4;22.0;18.5;15.4;7.2;-0.1;12.5;20.8;13.7;-1.7;11.9
1924;-3.4;-1.6;4.8;11.0;19.5;20.8;22.1;20.4;19.4;13.3;4.0;-0.0;11.8;21.1;12.3;2.4;10.9
1925;1.6;5.8;5.2;13.1;19.2;19.1;22.6;21.2;16.2;12.6;5.3;-0.9;12.5;21.0;11.4;1.1;11.7
1926;-0.3;4.6;6.0;14.4;16.7;19.0;21.9;20.3;18.8;13.0;10.8;0.3;12.4;20.4;14.2;0.8;12.1
1927;1.3;0.8;9.3;12.0;16.4;21.7;23.6;22.6;19.1;12.7;5.6;-3.5;12.6;22.6;12.5;-0.4;11.8
1928;0.3;1.9;4.9;12.9;15.1;19.8;25.4;22.6;18.4;13.1;8.3;-0.5;11.0;22.6;13.3;-3.6;11.9
1929;-4.5;-5.8;3.3;8.9;18.9;19.8;23.2;23.4;19.2;14.8;7.6;2.9;10.4;22.1;13.9;1.8;11.0
1930;1.1;1.3;8.2;13.6;17.1;23.5;22.6;21.5;18.7;13.2;8.3;0.2;13.0;22.5;13.4;0.3;12.5
1931;0.3;0.5;3.4;10.3;21.1;22.4;23.9;21.4;14.6;11.9;5.0;-0.1;11.6;22.6;10.5;-0.8;11.2
1932;0.6;-3.0;2.3;12.5;18.7;20.0;24.6;24.0;21.4;14.0;5.8;1.1;11.2;22.8;13.7;-0.4;11.8
1933;-3.6;1.5;7.5;10.3;16.1;18.8;23.2;22.1;17.6;13.4;5.0;-4.4;11.3;21.4;12.0;-1.0;10.6
1934;-0.5;2.0;9.4;16.3;20.1;21.2;23.8;22.6;20.1;13.7;7.6;4.0;15.3;22.6;13.8;1.0;13.4
1935;-2.7;1.7;5.4;12.2;16.2;23.4;23.0;22.5;18.8;14.8;5.9;1.2;11.3;22.9;13.2;2.2;11.9
1936;4.1;1.3;9.0;12.6;18.6;20.6;24.0;20.7;17.5;9.1;5.3;0.9;13.4;21.8;10.6;0.1;12.0
1937;-3.2;2.7;7.6;11.4;20.4;22.8;22.8;22.2;19.2;13.5;5.6;0.1;13.2;22.6;12.8;0.5;12.1
1938;-0.3;1.9;9.8;9.1;16.5;22.5;23.5;22.6;18.4;14.0;8.0;-1.7;11.8;22.9;13.4;1.4;12.0
1939;2.1;3.9;4.1;15.2;15.8;21.9;24.1;23.4;17.7;11.2;6.6;-0.9;11.7;23.1;11.8;-4.5;12.1
1940;-7.6;-5.0;3.8;12.7;16.0;21.5;22.1;19.3;17.9;11.9;8.2;-3.6;10.9;21.0;12.7;-2.1;9.8
1941;-4.5;1.8;6.0;10.5;14.4;20.8;22.6;21.0;16.1;11.4;2.3;1.0;10.3;21.5;9.9;-3.3;10.3
1942;-8.3;-2.7;3.5;11.1;17.9;20.5;22.3;23.8;21.9;15.3;4.4;2.4;10.8;22.2;13.9;1.2;11.0
1943;-3.1;4.4;8.9;14.3;17.1;19.6;23.0;25.1;19.8;14.9;5.3;0.3;13.4;22.6;13.3;1.1;12.5
1944;2.8;0.3;3.2;12.7;16.6;20.2;22.9;25.0;18.8;13.9;5.7;0.1;10.8;22.7;12.8;-0.2;11.8
1945;-3.3;2.5;7.7;13.0;19.0;22.0;23.7;22.5;18.5;12.7;5.2;1.0;13.2;22.7;12.1;0.7;12.0
1946;-2.0;2.9;7.1;16.1;20.9;22.3;25.3;24.3;20.6;9.2;5.1;-1.5;14.7;23.9;11.6;-3.4;12.5
1947;-5.3;-3.5;6.9;15.4;20.1;23.0;24.9;22.9;22.3;11.9;7.3;2.1;14.1;23.6;13.8;2.1;12.3
1948;3.5;0.7;8.0;15.7;19.8;19.9;21.4;22.4;19.7;13.6;5.4;-0.8;14.5;21.2;12.9;1.3;12.5
1949;1.9;2.9;4.7;15.3;19.1;19.1;22.5;22.1;20.4;15.2;7.4;3.2;13.0;21.2;14.3;1.2;12.8
1950;-2.8;3.2;8.3;13.9;20.3;23.4;24.8;23.7;18.8;11.4;6.1;1.5;14.2;24.0;12.1;2.2;12.7
1951;1.7;3.4;5.9;13.7;16.8;21.5;23.4;24.1;20.6;11.9;9.0;2.8;12.1;23.0;13.8;1.3;12.9
1952;0.7;0.4;3.7;16.8;16.3;20.9;25.2;25.8;16.3;11.5;4.4;-0.2;12.3;24.0;10.7;0.2;11.8
1953;-0.4;1.2;8.3;14.6;18.0;21.9;24.7;21.8;19.5;15.0;5.5;1.2;13.6;22.8;13.3;-2.5;12.6
1954;-4.8;-3.9;6.9;9.5;17.7;22.2;20.4;22.5;20.1;13.0;5.6;3.3;11.4;21.7;12.9;1.4;11.1
1955;-0.2;1.0;4.6;10.6;16.7;19.7;22.2;21.3;18.8;13.3;5.7;2.7;10.6;21.1;12.6;-0.4;11.4
1956;1.8;-5.6;4.2;11.4;17.6;19.9;22.6;21.6;19.7;12.8;2.0;0.7;11.1;21.4;11.5;1.7;10.7
1957;-0.4;4.9;8.9;13.6;14.9;23.7;23.7;21.4;17.2;13.6;7.0;1.0;12.4;22.9;12.6;1.7;12.5
1958;-0.2;4.2;2.4;8.9;21.7;19.8;23.8;22.6;18.6;13.3;5.8;3.0;11.0;22.0;12.5;1.7;12.0
1959;1.0;1.0;9.7;14.1;17.5;20.7;24.8;22.1;17.4;13.0;5.2;1.8;13.8;22.6;11.9;0.9;12.4
1960;-0.5;1.3;6.8;11.8;17.3;20.9;21.4;21.7;17.0;13.6;7.5;3.5;12.0;21.3;12.7;2.1;11.9
1961;-0.7;3.6;9.8;16.4;15.5;22.4;21.9;22.4;21.4;15.2;6.5;0.1;13.9;22.2;14.4;0.6;12.9
1962;1.3;0.6;2.8;14.7;15.9;19.6;20.9;23.5;18.1;13.8;6.0;-2.6;11.2;21.3;12.6;-4.1;11.2
1963;-6.6;-3.2;4.1;14.0;18.7;22.1;25.1;23.7;20.4;12.6;10.2;-2.8;12.3;23.6;14.4;-1.8;11.5
1964;-3.3;0.7;2.7;13.6;17.8;24.4;24.1;21.4;18.4;12.3;6.3;-0.0;11.4;23.3;12.3;-0.5;11.5
1965;0.3;-1.8;5.6;10.6;15.2;20.6;21.3;20.5;19.1;13.0;3.5;2.1;10.5;20.8;11.9;1.5;10.8
1966;-2.8;5.2;6.2;14.7;18.2;21.4;22.0;21.3;17.7;16.9;5.0;0.8;13.0;21.6;13.2;0.8;12.2
1967;-1.5;3.0;7.9;12.2;17.9;21.0;24.9;22.5;19.7;16.0;6.6;-0.0;12.6;22.8;14.1;0.4;12.5
1968;-1.4;2.6;8.4;16.4;18.0;22.7;22.2;20.9;17.6;12.7;6.7;-2.2;14.3;22.0;12.3;-1.6;12.0
1969;-2.4;-0.2;3.1;12.7;20.4;19.4;23.3;21.0;19.0;14.3;9.1;-4.5;12.1;21.2;14.2;-2.3;11.3
1970;-2.0;-0.5;4.3;11.6;15.6;21.5;22.1;21.7;17.7;11.9;7.8;0.8;10.5;21.8;12.5;1.2;11.0
1971;-0.2;2.8;4.9;13.6;19.5;19.3;23.8;24.7;15.8;13.2;5.5;3.1;12.7;22.6;11.5;1.5;12.2
1972;-2.1;3.6;10.2;12.7;17.0;21.4;23.9;21.3;15.5;10.7;6.3;1.4;13.3;22.2;10.8;1.2;11.8
1973;-0.3;2.5;7.5;11.1;18.7;20.6;22.0;23.3;19.8;12.4;4.5;0.7;12.4;22.0;12.2;2.3;11.9
1974;1.2;5.1;10.8;12.6;15.7;18.1;20.9;23.7;18.5;8.7;5.7;3.2;13.0;20.9;11.0;3.1;12.0
