Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Slovenia             : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;-2.2;-0.8;7.3;13.7;18.8;22.3;24.2;22.3;18.3;14.5;5.5;4.4;13.3;22.9;12.8;4.3;12.4
1902;4.5;3.8;8.1;13.6;13.9;20.1;22.9;22.2;18.8;12.6;4.4;0.1;11.9;21.7;11.9;2.5;12.1
1903;0.6;6.8;11.2;10.2;18.8;21.0;22.7;22.3;19.3;14.7;7.9;2.4;13.4;22.0;14.0;2.7;13.2
1904;0.7;5.1;8.7;14.5;18.6;22.4;26.1;23.8;17.2;13.4;5.8;3.2;13.9;24.1;12.1;1.7;13.3
1905;-1.2;3.2;9.0;11.8;17.9;22.6;25.6;23.6;19.8;9.1;7.6;3.1;12.9;23.9;12.2;2.8;12.7
1906;1.9;3.2;8.2;13.9;18.4;20.1;23.2;22.8;17.6;14.4;9.8;0.2;13.5;22.0;13.9;0.6;12.8
1907;0.4;1.3;6.1;10.3;20.2;21.9;21.7;23.1;19.4;17.7;6.5;3.6;12.2;22.2;14.5;2.8;12.7
1908;0.5;4.1;7.0;10.9;21.2;23.6;23.7;20.9;17.4;13.8;3.5;0.5;13.0;22.7;11.6;-0.1;12.3
1909;-0.9;0.1;6.5;14.3;17.3;20.7;21.8;23.0;18.9;15.2;5.3;4.5;12.7;21.8;13.2;4.3;12.2
1910;2.5;5.9;9.1;12.6;17.5;21.8;21.6;21.8;16.7;14.2;5.7;5.4;13.0;21.7;12.2;3.0;12.9
1911;0.5;3.1;8.5;12.8;17.6;20.9;25.5;25.0;20.4;13.8;9.5;4.2;13.0;23.8;14.6;3.7;13.5
1912;0.3;6.5;10.7;11.3;17.9;21.9;23.3;20.1;14.3;11.3;3.9;3.7;13.3;21.7;9.8;2.5;12.1
1913;0.5;3.2;11.0;13.1;17.4;20.8;19.7;20.6;18.4;14.5;8.8;3.1;13.8;20.4;13.9;1.2;12.6
1914;-2.4;2.7;9.1;15.2;16.7;20.1;21.9;22.7;17.7;12.5;5.9;4.3;13.6;21.6;12.1;3.6;12.2
1915;2.5;3.8;6.6;12.9;19.4;23.5;22.8;20.6;17.1;10.6;4.8;6.2;13.0;22.3;10.8;5.2;12.6
1916;5.3;4.2;10.9;13.5;19.2;20.1;23.1;22.1;17.1;13.1;8.7;5.5;14.5;21.7;13.0;2.0;13.6
1917;1.1;-0.6;5.8;9.9;20.7;24.6;24.4;23.9;21.4;13.5;7.2;0.4;12.1;24.3;14.0;2.4;12.7
1918;3.0;3.8;9.3;14.8;19.3;19.3;22.5;21.9;19.9;13.0;6.0;4.0;14.4;21.2;13.0;3.6;13.1
1919;3.9;2.9;8.7;10.6;15.4;21.0;20.5;23.2;20.9;11.3;5.1;3.3;11.6;21.6;12.4;4.8;12.2
1920;4.8;6.2;11.3;15.5;20.8;19.9;24.3;20.9;18.9;11.8;3.8;2.7;15.9;21.7;11.5;4.1;13.4
1921;6.0;3.7;11.0;12.3;20.3;20.6;25.8;24.5;19.8;15.8;4.5;2.0;14.5;23.6;13.4;1.3;13.9
1922;0.3;1.5;9.8;11.7;19.4;22.4;23.3;23.1;16.6;10.4;5.1;3.1;13.7;23.0;10.7;3.1;12.2
1923;2.5;3.7;9.0;12.3;19.9;17.8;24.7;23.8;19.1;16.2;8.4;1.7;13.7;22.1;14.6;0.8;13.3
1924;-0.2;0.9;7.2;12.3;20.1;21.2;23.1;20.1;19.9;14.0;6.0;2.0;13.2;21.4;13.3;4.0;12.2
1925;2.9;7.1;6.4;13.6;19.4;20.7;23.1;22.0;16.7;13.7;6.2;0.8;13.1;21.9;12.2;3.3;12.7
1926;1.3;7.7;8.0;15.2;16.9;19.2;21.9;21.8;20.4;14.4;12.6;2.0;13.3;20.9;15.8;2.8;13.4
1927;3.2;3.4;10.7;13.1;18.0;22.9;24.5;22.9;19.7;13.4;7.6;-0.4;13.9;23.4;13.6;2.2;13.2
1928;2.2;4.7;7.2;13.9;15.6;21.6;26.9;24.2;19.1;14.2;9.4;1.2;12.2;24.2;14.2;-1.1;13.4
1929;-2.5;-1.9;6.6;10.4;19.2;21.3;24.6;23.8;21.1;14.9;8.8;4.7;12.1;23.3;14.9;3.5;12.6
1930;2.9;3.0;10.4;13.8;17.6;24.7;23.3;22.2;19.7;13.5;9.9;2.4;14.0;23.4;14.4;2.5;13.6
1931;2.3;2.7;5.2;11.2;21.5;23.9;24.5;21.6;15.0;13.0;7.0;1.2;12.6;23.4;11.7;1.1;12.4
1932;2.5;-0.4;4.4;12.8;18.9;20.8;24.5;25.4;22.6;14.1;7.6;2.5;12.0;23.6;14.8;1.7;13.0
1933;-0.8;3.3;9.6;12.0;16.5;19.1;24.1;23.4;19.0;14.0;6.2;-2.1;12.7;22.2;13.1;1.0;12.0
1934;1.5;3.7;10.5;16.8;20.6;21.8;25.2;22.5;21.2;13.8;8.3;6.9;16.0;23.2;14.4;3.5;14.4
1935;-0.6;4.1;7.3;12.3;16.8;24.5;24.7;23.0;19.4;15.0;7.9;2.2;12.1;24.1;14.1;4.1;13.0
1936;5.5;4.5;11.1;13.6;18.3;21.2;23.7;21.7;18.8;9.7;6.6;2.5;14.3;22.2;11.7;2.6;13.1
1937;0.3;5.0;9.1;12.1;20.8;23.0;23.5;22.3;19.1;14.6;6.9;1.5;14.0;22.9;13.5;2.4;13.2
