Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Spain                : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;9.5;8.5;12.5;16.7;19.8;26.1;28.6;28.1;23.3;17.0;12.1;8.9;16.3;27.6;17.5;9.8;17.6
1902;9.6;10.8;14.4;16.5;18.4;22.9;28.1;27.7;23.8;17.6;13.5;9.8;16.4;26.2;18.3;10.4;17.8
1903;9.7;11.8;14.1;16.2;18.6;23.0;27.5;28.2;23.6;19.1;13.9;9.1;16.3;26.2;18.9;9.8;17.9
1904;9.3;10.9;12.4;17.0;21.3;24.8;28.7;28.4;23.1;19.7;13.1;10.9;16.9;27.3;18.6;9.8;18.3
1905;8.8;9.8;14.4;17.1;19.1;23.6;28.7;27.4;23.3;17.3;11.9;9.7;16.9;26.6;17.5;9.7;17.6
1906;9.9;9.3;13.1;14.6;19.5;25.2;27.9;29.0;24.6;18.9;13.2;8.9;15.7;27.4;18.9;8.9;17.8
1907;8.7;9.2;14.1;15.3;18.7;24.4;26.7;28.7;24.8;16.8;13.0;11.2;16.0;26.6;18.2;10.6;17.6
1908;9.9;10.7;12.0;14.3;21.3;23.3;27.7;27.5;24.6;19.4;14.0;10.3;15.9;26.2;19.3;9.3;17.9
1909;8.4;9.2;12.1;17.1;20.2;22.1;27.5;27.6;22.8;19.3;12.7;11.1;16.5;25.7;18.3;10.6;17.5
1910;9.5;11.3;12.4;15.1;17.6;23.6;26.7;26.8;23.2;18.5;13.0;10.7;15.0;25.7;18.2;9.8;17.4
1911;7.4;11.4;12.1;14.7;18.6;22.8;29.0;28.9;26.1;17.7;13.2;11.5;15.1;26.9;19.0;11.4;17.8
1912;9.8;12.9;14.8;15.4;21.0;23.2;25.8;25.8;22.5;17.4;12.0;9.7;17.1;25.0;17.3;10.5;17.5
1913;10.8;10.9;13.6;14.6;19.5;25.2;27.4;26.9;22.7;18.4;14.0;9.4;15.9;26.5;18.4;9.6;17.8
1914;7.7;11.6;13.6;16.7;19.4;22.3;26.4;27.1;24.9;18.4;12.6;10.3;16.6;25.3;18.6;9.6;17.6
1915;8.7;9.9;13.3;14.3;19.6;23.8;28.2;28.3;23.8;17.2;12.6;11.1;15.7;26.8;17.8;10.5;17.6
1916;10.0;10.5;12.0;15.5;19.9;23.4;27.1;27.8;23.6;19.1;13.3;10.5;15.8;26.1;18.7;9.4;17.7
1917;8.1;9.7;11.8;14.3;19.6;24.4;28.6;27.0;25.7;17.6;12.7;7.9;15.2;26.7;18.6;9.6;17.3
