Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Ukraine              : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;-3.1;-0.3;5.2;13.8;20.9;27.8;27.5;27.3;19.2;14.0;4.9;2.6;13.3;27.5;12.7;1.8;13.3
1902;2.5;0.2;4.9;10.8;18.5;24.8;24.7;25.4;19.5;11.5;1.6;-3.6;11.4;25.0;10.9;-0.4;11.7
1903;-0.9;3.5;7.1;15.1;20.8;25.1;27.0;25.7;22.1;12.8;6.3;-0.8;14.3;26.0;13.8;-0.5;13.7
1904;-3.4;2.7;2.4;12.9;18.5;23.2;26.0;25.5;18.9;13.6;4.3;1.6;11.3;24.9;12.3;-0.7;12.2
1905;-3.8;0.2;3.1;11.8;21.8;25.9;27.0;27.1;21.1;13.1;7.3;0.6;12.2;26.7;13.8;0.0;12.9
1906;-0.2;-0.2;7.2;15.6;24.0;25.7;26.9;24.3;18.5;11.6;6.5;0.3;15.6;25.6;12.2;-2.4;13.3
1907;-4.0;-3.4;2.2;9.9;22.0;24.0;25.8;24.7;20.6;15.7;1.9;-1.5;11.3;24.8;12.7;-0.8;11.5
1908;-1.5;0.6;2.7;11.0;20.0;24.5;26.1;24.7;19.6;11.5;1.3;-2.8;11.2;25.1;10.8;-3.8;11.5
1909;-4.5;-4.1;2.8;11.1;19.3;23.8;25.8;26.3;24.1;16.4;5.8;2.3;11.1;25.3;15.4;1.3;12.4
1910;0.4;1.2;5.9;14.8;21.5;25.3;25.9;24.1;20.1;11.3;6.2;2.2;14.1;25.1;12.5;-1.9;13.3
1911;-2.9;-5.2;2.6;13.1;22.1;23.1;25.5;25.7;19.7;13.1;7.4;-0.4;12.6;24.8;13.4;-2.0;12.0
1912;-4.5;-1.1;6.2;11.5;17.6;25.2;24.1;24.3;18.3;8.8;4.3;2.5;11.8;24.5;10.5;-0.1;11.4
1913;-2.2;-0.8;8.2;16.2;18.5;22.1;24.5;25.7;20.7;12.7;7.9;3.4;14.3;24.1;13.8;1.5;13.1
1914;-1.8;3.0;7.9;13.9;21.3;24.4;27.2;23.7;17.7;10.8;2.0;1.1;14.4;25.1;10.1;1.1;12.6
1915;1.8;0.6;2.8;13.9;19.8;24.4;26.9;22.9;18.3;11.3;5.0;2.4;12.2;24.7;11.6;1.1;12.5
