Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Bulgaria             : parameter = Vapour Pressure                : Units = hPa                 
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;3.4;6.0;6.2;7.2;11.4;13.0;15.8;15.4;12.9;12.5;9.5;7.3;8.3;14.8;11.6;6.1;10.1
1902;5.5;5.4;6.5;7.7;10.6;13.0;17.0;17.8;12.9;11.5;8.9;6.4;8.3;15.9;11.1;6.0;10.3
1903;4.4;7.1;6.0;7.8;10.9;12.7;16.1;17.2;12.7;10.3;7.9;5.8;8.3;15.3;10.3;5.3;9.9
1904;4.1;5.9;8.0;8.8;11.0;13.2;17.0;15.5;12.4;10.3;10.2;6.8;9.3;15.2;11.0;4.9;10.3
1905;3.4;4.6;6.3;8.0;12.2;15.1;17.3;17.6;14.3;9.1;9.2;5.5;8.8;16.7;10.9;5.1;10.2
1906;4.5;5.4;7.0;9.0;12.4;14.7;16.5;14.9;12.1;9.5;8.7;5.2;9.5;15.4;10.1;4.3;10.0
1907;3.8;4.0;5.0;7.5;14.1;15.1;15.8;15.7;12.4;11.7;7.0;6.0;8.9;15.5;10.4;5.2;9.8
1908;4.2;5.4;6.3;8.2;13.7;15.7;16.0;15.4;12.0;9.0;5.5;4.8;9.4;15.7;8.8;4.0;9.7
1909;3.7;3.6;6.5;8.7;11.7;14.6;16.4;17.0;14.6;11.2;7.5;6.8;9.0;16.0;11.1;6.2;10.2
1910;5.2;6.7;6.3;8.6;12.1;15.5;16.0;16.1;12.9;9.8;7.7;6.7;9.0;15.9;10.1;5.1;10.3
1911;4.7;3.9;6.3;8.2;12.2;14.4;16.3;16.4;13.1;10.6;9.0;6.1;8.9;15.7;10.9;5.2;10.1
1912;3.6;6.0;7.7;7.7;11.1;15.6;15.9;15.0;11.6;8.8;7.2;6.1;8.8;15.5;9.2;5.0;9.7
1913;4.5;4.4;7.3;8.8;11.3;14.1;14.3;14.5;13.6;10.1;8.1;5.7;9.1;14.3;10.6;4.8;9.7
1914;3.6;4.9;7.1;9.0;11.5;14.3;16.2;15.6;12.0;9.5;6.7;6.3;9.2;15.4;9.4;6.0;9.7
1915;6.1;5.7;6.1;8.4;11.8;15.8;16.6;14.7;11.5;10.1;7.1;7.0;8.8;15.7;9.6;6.0;10.1
1916;5.4;5.6;7.8;8.7;12.2;15.1;16.6;15.1;12.2;10.5;8.7;6.9;9.6;15.6;10.4;5.3;10.4
1917;5.2;3.6;6.0;8.5;11.1;15.4;16.3;17.3;13.5;11.2;8.4;4.7;8.5;16.3;11.0;4.9;10.1
1918;5.2;4.8;6.0;8.9;11.4;13.8;15.9;15.7;14.6;11.8;7.4;5.8;8.8;15.1;11.3;5.6;10.1
1919;5.8;5.3;6.9;9.2;10.3;13.9;15.4;14.6;14.0;10.4;7.4;5.5;8.8;14.6;10.6;5.1;9.9
1920;5.4;4.4;7.0;10.0;13.1;14.3;17.2;16.0;12.8;8.3;5.6;5.6;10.0;15.8;8.9;5.4;10.0
1921;6.0;4.5;6.7;8.5;13.2;13.6;16.6;17.1;12.1;9.4;6.7;5.0;9.4;15.8;9.4;4.5;9.9
1922;4.2;4.3;7.6;8.6;12.2;15.4;17.3;16.5;12.8;9.8;6.5;5.1;9.5;16.4;9.7;5.1;10.0
1923;5.1;5.2;7.0;8.4;13.7;13.7;16.4;15.6;14.0;12.1;10.3;6.0;9.7;15.2;12.1;4.7;10.6
1924;3.3;4.7;6.0;8.9;13.7;16.3;16.3;15.4;15.0;10.1;6.6;5.2;9.6;16.0;10.6;5.8;10.1
1925;4.9;7.2;6.7;8.9;12.6;13.2;16.3;15.5;12.7;10.1;8.8;4.9;9.4;15.0;10.5;5.4;10.2
1926;5.0;6.3;6.3;9.6;12.1;14.9;15.9;14.1;13.3;11.0;9.5;5.7;9.3;15.0;11.3;5.2;10.3
1927;5.5;4.5;8.0;9.1;12.0;16.3;17.4;17.4;14.9;10.5;8.6;4.7;9.7;17.0;11.3;4.6;10.7
1928;4.6;4.5;5.4;9.4;10.9;14.5;17.5;17.0;14.2;10.0;9.2;5.3;8.6;16.3;11.1;4.1;10.2
1929;3.7;3.2;5.0;7.1;13.5;14.9;16.2;17.6;12.3;11.2;9.1;6.2;8.5;16.2;10.9;5.5;10.0
1930;5.2;5.1;7.3;9.4;11.7;15.3;16.8;16.0;14.5;10.5;8.7;5.9;9.5;16.0;11.2;5.5;10.5
1931;5.2;5.4;6.0;7.6;13.0;16.3;17.6;16.3;12.0;9.5;6.9;4.5;8.9;16.8;9.5;4.0;10.0
1932;4.2;3.3;5.0;8.5;12.2;14.2;16.8;16.3;14.4;12.0;7.5;5.8;8.6;15.7;11.3;4.9;10.0
1933;3.9;5.1;5.8;7.2;11.0;13.1;15.5;15.3;11.7;9.9;8.7;4.1;8.0;14.6;10.1;4.2;9.3
1934;4.3;4.1;7.4;9.1;13.1;14.5;16.1;16.1;13.7;10.3;8.9;6.4;9.9;15.6;11.0;5.1;10.4
1935;4.0;4.8;5.7;8.5;11.3;15.7;15.4;15.8;12.9;11.8;7.5;6.4;8.5;15.6;10.7;6.0;10.0
1936;6.2;5.4;7.0;9.1;11.6;15.0;17.1;15.9;12.7;9.8;8.3;5.5;9.2;16.0;10.3;5.0;10.3
1937;4.2;5.4;7.4;8.8;12.8;14.6;16.4;16.7;14.7;10.7;8.5;6.4;9.7;15.9;11.3;5.5;10.6
1938;4.8;5.3;6.7;8.2;12.0;15.4;17.6;17.0;13.7;11.2;8.4;5.4;9.0;16.7;11.1;5.5;10.5
1939;5.6;5.6;6.1;9.0;12.6;15.1;16.5;16.1;13.4;10.8;7.9;5.8;9.2;15.9;10.7;4.7;10.4
1940;3.7;4.8;5.8;8.6;11.5;14.5;16.4;15.7;13.3;10.5;9.0;4.6;8.6;15.5;10.9;5.1;9.9
1941;4.6;6.1;6.5;9.2;11.7;14.7;16.7;16.0;11.5;9.3;6.5;4.3;9.1;15.8;9.1;4.0;9.7
1942;3.1;4.5;5.4;8.1;12.5;15.8;16.5;16.6;14.1;10.7;7.3;5.6;8.7;16.3;10.7;4.8;10.0
1943;3.7;5.1;5.8;8.5;11.3;14.2;16.4;17.0;14.8;11.9;9.1;5.9;8.6;15.9;11.9;5.3;10.3
1944;4.7;5.3;6.1;8.7;11.5;14.8;16.6;16.0;13.5;11.5;8.5;5.5;8.8;15.8;11.2;5.0;10.2
1945;4.4;5.0;6.5;8.3;11.6;14.3;16.1;16.5;13.1;9.7;7.5;5.3;8.8;15.6;10.1;4.9;9.8
