Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Croatia              : parameter = Vapour Pressure                : Units = hPa                 
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;4.6;5.3;6.9;8.2;11.1;14.5;17.2;17.0;15.4;10.8;8.1;7.0;8.7;16.2;11.4;6.3;10.5
1902;5.8;6.0;6.9;8.5;10.1;14.6;16.9;17.1;13.6;11.3;7.0;6.5;8.5;16.2;10.7;6.0;10.4
1903;5.1;6.4;7.0;8.3;10.8;13.9;16.7;17.6;13.7;11.0;8.3;6.5;8.7;16.1;11.0;5.9;10.4
1904;5.1;6.1;7.8;9.1;11.2;14.3;16.8;17.1;13.1;11.0;7.5;6.9;9.3;16.1;10.5;5.7;10.5
1905;4.5;5.7;7.0;8.4;11.2;14.9;17.1;16.3;14.3;9.0;7.5;6.0;8.9;16.1;10.3;5.5;10.1
1906;5.2;5.4;6.3;8.5;11.8;14.1;15.9;16.1;13.1;11.0;8.4;5.1;8.9;15.4;10.8;5.0;10.1
1907;4.9;5.1;6.2;8.1;11.9;14.5;14.6;16.0;13.9;11.5;7.9;6.2;8.8;15.1;11.1;5.5;10.1
1908;4.8;5.7;6.3;8.1;12.6;15.5;15.5;15.2;13.0;10.2;7.1;5.7;9.0;15.4;10.1;5.0;10.0
1909;4.7;4.8;6.1;8.9;11.1;14.0;14.7;16.0;13.6;11.1;7.3;6.1;8.7;14.9;10.7;5.8;9.9
1910;5.4;5.9;6.7;8.4;11.4;14.9;15.0;15.8;13.2;10.7;7.4;6.5;8.8;15.2;10.4;5.6;10.1
1911;4.8;5.6;6.8;8.4;11.9;14.3;17.2;17.6;14.4;10.4;8.2;6.4;9.0;16.3;11.0;5.9;10.5
1912;5.2;6.3;7.5;8.2;11.9;14.8;15.6;14.9;11.5;9.7;7.1;6.3;9.2;15.1;9.4;5.7;9.9
1913;5.3;5.4;7.3;8.7;11.5;14.5;14.3;15.4;13.5;10.9;8.9;6.1;9.2;14.7;11.1;5.5;10.1
1914;4.5;6.0;7.1;9.3;11.3;14.1;15.5;16.2;13.3;10.3;7.6;6.4;9.3;15.3;10.4;5.7;10.1
1915;5.2;5.6;6.4;8.4;12.6;15.7;15.3;15.3;12.7;9.7;7.0;6.9;9.2;15.4;9.8;6.3;10.1
1916;6.2;5.8;7.1;8.7;12.1;13.4;15.4;15.9;13.0;10.3;8.1;6.2;9.3;14.9;10.4;5.3;10.2
1917;4.8;4.8;6.0;7.7;12.9;15.9;15.9;16.0;14.7;9.7;7.8;5.0;8.9;15.9;10.8;5.4;10.1
1918;5.3;5.8;6.7;9.3;12.3;13.3;15.6;15.9;14.1;10.1;7.7;6.6;9.4;14.9;10.6;5.9;10.2
1919;5.6;5.4;6.8;8.0;11.0;14.7;14.3;16.4;14.6;9.5;7.1;6.0;8.6;15.1;10.4;6.0;9.9
1920;6.0;6.1;7.4;9.4;13.1;14.4;15.8;15.4;14.2;10.1;7.3;6.0;10.0;15.2;10.5;6.0;10.4
1921;6.4;5.7;7.0;8.3;12.5;14.3;16.9;16.3;14.2;11.3;7.0;5.8;9.3;15.8;10.8;5.3;10.5
1922;4.8;5.3;7.0;8.2;12.4;15.0;15.1;15.8;12.9;9.7;7.2;6.1;9.2;15.3;9.9;5.8;10.0
1923;5.4;6.1;7.1;8.5;11.8;13.0;16.9;16.2;13.6;11.5;7.8;5.5;9.1;15.4;10.9;5.1;10.3
1924;4.8;5.0;6.5;8.7;12.6;14.7;15.9;14.9;14.1;10.6;7.8;6.0;9.3;15.2;10.9;6.0;10.1
1925;5.8;6.2;6.1;8.9;12.1;14.6;15.8;16.2;12.8;10.5;7.5;5.5;9.0;15.5;10.3;5.8;10.2
1926;5.1;6.9;7.0;9.2;11.3;13.7;16.0;16.0;14.8;10.6;8.8;5.8;9.2;15.2;11.4;5.6;10.4
1927;5.6;5.5;7.2;8.9;11.8;14.6;16.1;16.1;14.1;10.3;8.0;5.5;9.3;15.6;10.8;5.7;10.3
1928;5.7;6.0;6.7;8.9;10.7;14.4;17.6;17.0;13.7;10.4;8.5;5.6;8.8;16.3;10.9;4.6;10.4
1929;4.2;3.9;6.5;7.8;12.0;14.9;16.3;16.4;14.8;10.8;8.0;6.3;8.8;15.9;11.2;5.8;10.2
1930;5.9;5.3;7.1;9.1;11.5;16.1;15.4;15.9;14.3;10.5;8.4;5.9;9.2;15.8;11.1;5.4;10.4
1931;5.2;5.1;5.8;8.1;13.0;15.6;15.6;15.6;12.0;9.6;8.2;5.5;8.9;15.6;9.9;5.2;9.9
1932;5.7;4.5;5.9;8.4;11.6;13.9;16.1;17.3;15.8;10.4;8.2;6.2;8.6;15.8;11.5;5.4;10.3
1933;4.7;5.4;6.8;8.6;11.3;13.4;16.1;16.5;14.0;10.5;7.6;4.8;8.9;15.4;10.7;5.2;10.0
1934;5.3;5.4;6.9;9.5;12.3;14.5;16.4;15.9;14.7;10.4;7.7;7.2;9.6;15.6;10.9;5.9;10.5
