Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Czech_Republic       : parameter = Vapour Pressure                : Units = hPa                 
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;3.7;4.3;5.4;7.1;9.8;12.5;14.9;14.5;12.5;9.1;6.5;5.4;7.4;14.0;9.3;5.0;8.8
1902;4.9;4.7;5.8;7.0;9.1;12.2;13.6;13.6;10.6;9.0;5.3;5.3;7.3;13.1;8.3;5.0;8.4
1903;4.3;5.5;6.2;7.1;9.9;12.3;14.0;13.9;11.2;8.8;6.4;5.3;7.7;13.4;8.8;4.8;8.7
1904;4.3;4.9;6.2;7.6;9.7;12.4;13.5;14.1;10.8;8.8;6.1;5.8;7.8;13.3;8.5;4.9;8.7
1905;3.9;4.8;5.9;7.0;10.0;13.2;14.3;13.5;11.5;6.9;5.9;5.0;7.7;13.7;8.1;4.8;8.5
1906;4.5;4.8;5.5;7.4;10.6;12.7;13.7;13.7;11.3;8.8;7.1;4.2;7.8;13.4;9.1;4.2;8.7
1907;4.1;4.3;5.4;7.0;9.9;12.2;12.8;13.1;11.1;9.6;6.2;4.9;7.5;12.7;9.0;4.6;8.4
1908;4.0;5.0;5.4;6.9;10.3;12.8;14.1;13.3;11.2;8.2;5.5;4.6;7.6;13.4;8.3;4.2;8.5
1909;4.1;4.0;5.1;7.0;9.4;12.0;13.1;13.4;11.3;9.4;5.6;5.0;7.2;12.9;8.8;4.9;8.3
1910;4.6;5.2;5.8;7.4;10.3;13.1;13.6;13.9;11.4;8.7;5.8;5.4;7.8;13.5;8.6;4.9;8.8
1911;4.4;4.8;5.7;7.3;10.7;12.5;14.0;14.9;11.8;8.3;6.6;5.4;7.9;13.8;8.9;4.6;8.9
1912;3.8;4.6;6.2;7.1;10.2;12.7;14.5;13.2;10.0;7.8;5.9;5.6;7.8;13.5;7.9;5.0;8.5
1913;4.4;4.9;6.1;7.4;10.3;12.5;13.2;13.3;11.4;8.6;7.3;5.2;7.9;13.0;9.1;4.9;8.7
1914;3.9;5.4;6.0;7.9;10.1;12.7;14.4;14.2;11.4;8.6;6.1;5.6;8.0;13.8;8.7;4.9;8.9
1915;4.2;4.8;5.2;7.2;10.1;12.6;13.5;13.5;11.0;7.8;5.6;4.9;7.5;13.2;8.1;4.9;8.4
1916;5.1;4.8;5.6;7.5;10.3;11.7;13.5;13.5;10.8;8.3;6.6;5.1;7.8;12.9;8.6;4.3;8.6
1917;3.9;3.9;4.8;6.6;10.2;13.8;14.0;14.4;12.0;8.0;6.5;4.3;7.2;14.0;8.9;4.4;8.5
1918;4.1;4.8;5.5;7.6;10.5;11.7;13.6;13.8;11.3;8.6;6.3;5.4;7.9;13.0;8.7;4.8;8.6
1919;4.6;4.4;5.4;7.1;10.0;12.5;13.1;13.1;11.6;7.6;5.2;4.6;7.5;12.9;8.1;4.8;8.3
1920;4.5;5.2;6.3;8.1;10.8;12.5;14.2;13.4;11.7;7.6;5.9;4.9;8.4;13.3;8.4;5.0;8.8
1921;5.1;4.9;6.2;7.6;10.9;12.5;13.9;13.5;11.2;8.9;5.3;4.9;8.2;13.3;8.5;4.3;8.7
1922;3.8;4.1;5.6;6.9;10.5;12.5;13.4;13.1;10.9;7.2;5.8;5.3;7.7;13.0;8.0;4.9;8.3
1923;4.8;4.7;5.8;7.0;10.0;11.2;14.4;13.2;11.3;9.2;5.9;4.3;7.6;12.9;8.8;4.0;8.5
1924;3.7;4.0;5.1;7.0;10.4;12.4;13.4;13.4;12.0;8.9;6.4;5.5;7.5;13.1;9.1;5.4;8.5
1925;5.2;5.6;5.4;7.6;10.8;12.8;14.6;14.3;11.0;8.2;5.6;4.3;7.9;13.9;8.3;4.7;8.8
1926;4.3;5.3;5.8;7.8;10.1;12.6;14.5;14.0;11.8;8.0;6.8;4.9;7.9;13.7;8.9;4.9;8.8
1927;4.9;4.8;6.4;7.5;9.8;12.0;14.4;14.4;11.8;8.5;5.8;4.0;7.9;13.6;8.7;4.5;8.7
1928;4.6;5.1;5.3;7.2;9.7;12.0;13.8;13.6;11.0;8.5;7.0;4.8;7.4;13.1;8.8;3.7;8.5
1929;3.5;2.9;5.3;6.4;10.2;12.2;13.5;13.6;11.8;8.9;6.6;5.6;7.3;13.1;9.1;5.1;8.4
1930;5.2;4.6;5.7;7.7;10.2;13.5;13.8;13.7;11.7;8.8;6.7;5.1;7.9;13.7;9.1;4.6;8.9
1931;4.3;4.4;4.6;6.9;10.9;12.5;13.7;13.3;10.2;7.9;6.6;4.8;7.5;13.2;8.2;4.7;8.3
1932;4.9;4.3;4.9;7.3;10.4;12.2;14.7;14.6;12.2;8.3;6.4;5.3;7.5;13.8;9.0;4.6;8.8
