Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Iceland              : parameter = Vapour Pressure                : Units = hPa                 
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;4.3;3.8;4.3;4.4;5.8;8.2;9.0;9.0;7.9;5.1;5.0;3.8;4.8;8.8;6.0;3.4;5.9
1902;2.8;3.8;3.3;4.5;5.3;7.2;8.3;8.9;7.8;6.1;5.5;4.2;4.4;8.1;6.5;3.7;5.6
1903;3.5;3.5;4.1;3.7;5.6;7.3;8.8;8.7;7.4;6.0;4.8;4.3;4.5;8.3;6.1;3.9;5.6
1904;3.6;3.7;3.8;4.5;5.9;8.3;8.8;9.3;8.3;5.9;4.5;4.1;4.7;8.8;6.2;3.6;5.9
1905;3.4;3.2;4.5;4.4;6.2;8.6;9.2;8.6;7.1;5.1;4.4;4.3;5.0;8.8;5.5;3.8;5.7
1906;4.0;3.2;3.6;4.2;4.9;8.4;8.6;8.3;7.6;5.6;4.4;3.1;4.2;8.4;5.9;3.3;5.5
1907;3.8;3.0;3.3;4.8;5.7;7.2;8.6;7.7;6.4;5.0;4.2;4.6;4.6;7.8;5.2;4.0;5.4
1908;3.9;3.4;4.2;5.0;5.9;7.8;9.9;8.6;7.5;6.9;4.3;4.2;5.0;8.8;6.3;4.1;6.0
1909;3.6;4.5;3.6;5.4;5.9;8.6;9.1;8.7;7.5;4.8;4.3;2.9;5.0;8.8;5.5;3.2;5.8
1910;3.2;3.3;4.2;3.8;5.8;7.5;9.2;9.0;7.3;6.3;3.4;4.0;4.6;8.6;5.7;3.7;5.6
1911;3.8;3.3;4.1;4.5;6.5;7.9;9.0;8.7;6.7;5.8;4.3;4.5;5.0;8.6;5.6;4.0;5.8
1912;4.2;3.2;3.9;5.0;6.6;8.4;9.5;7.9;7.6;5.8;3.9;3.6;5.2;8.6;5.8;3.9;5.8
1913;4.1;4.0;3.3;5.1;6.3;7.8;9.8;8.9;7.5;5.4;4.2;3.7;4.9;8.8;5.7;3.8;5.8
1914;4.3;3.3;3.2;4.2;5.0;7.8;9.0;9.4;6.9;6.2;3.7;3.7;4.1;8.7;5.6;3.6;5.6
1915;3.9;3.4;3.2;4.7;5.9;7.9;8.6;8.9;7.2;7.1;4.8;3.4;4.6;8.5;6.4;3.7;5.7
1916;4.0;3.9;3.4;4.1;5.7;8.2;9.9;9.3;7.4;5.8;4.4;3.1;4.4;9.1;5.9;3.7;5.8
1917;4.0;4.1;4.1;3.5;5.9;7.5;10.1;9.1;6.6;4.0;3.6;2.9;4.5;8.9;4.8;3.1;5.5
1918;3.1;3.4;4.4;4.5;6.7;7.8;8.6;8.6;5.9;5.3;4.5;3.8;5.2;8.4;5.2;3.6;5.6
1919;3.8;3.2;2.6;4.0;6.5;8.2;9.9;8.3;6.5;5.3;3.3;3.7;4.4;8.8;5.0;3.3;5.4
1920;2.9;3.2;3.6;3.9;5.6;8.5;9.1;8.8;7.5;7.0;5.0;4.2;4.3;8.8;6.5;4.0;5.8
1921;3.3;4.7;3.4;4.8;5.4;8.0;8.8;8.0;6.6;5.1;4.4;3.9;4.5;8.3;5.4;4.1;5.5
1922;4.2;4.3;4.3;4.2;5.6;7.4;8.5;8.5;6.3;5.8;4.4;4.5;4.7;8.1;5.5;4.1;5.7
1923;3.4;4.5;5.4;5.4;5.6;7.8;8.9;8.4;6.2;5.2;3.5;3.5;5.5;8.4;4.9;4.0;5.7
1924;4.3;4.0;3.5;4.2;5.4;7.6;9.2;8.8;6.4;5.6;4.9;4.4;4.4;8.5;5.6;4.0;5.7
1925;4.1;3.5;4.0;4.7;6.0;8.4;9.3;9.0;7.2;5.3;4.6;3.3;4.9;8.9;5.7;4.1;5.8
1926;4.2;4.7;3.9;6.0;6.2;8.4;9.9;9.2;6.8;4.4;4.3;4.1;5.4;9.2;5.2;3.9;6.0
1927;3.4;4.4;4.6;4.3;6.3;8.2;9.9;9.1;7.0;5.3;4.6;4.3;5.1;9.1;5.6;4.0;5.9
1928;3.7;4.0;4.5;5.7;7.2;7.8;9.4;9.1;8.0;6.1;4.7;4.2;5.8;8.8;6.3;4.5;6.2
1929;4.5;4.9;5.9;5.3;6.1;7.9;9.8;8.6;6.7;4.7;4.3;4.4;5.8;8.8;5.2;4.2;6.1
1930;3.6;4.4;3.2;5.6;6.8;8.4;9.3;9.0;8.0;5.1;3.6;4.4;5.2;8.9;5.6;3.6;6.0
1931;3.5;3.0;3.8;5.0;6.2;7.6;9.3;9.5;8.1;5.5;5.1;4.0;5.0;8.8;6.2;4.4;5.9
