Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Moldova              : parameter = Vapour Pressure                : Units = hPa                 
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;3.0;5.2;5.1;6.5;10.5;12.6;16.4;16.3;12.1;11.8;8.8;7.0;7.4;15.1;10.9;5.7;9.6
1902;5.1;4.9;5.9;6.7;9.5;12.3;17.1;17.4;11.7;9.7;6.3;5.9;7.4;15.6;9.2;5.5;9.4
1903;3.9;6.6;5.4;7.3;10.2;12.4;16.4;17.8;11.6;9.4;6.8;6.6;7.6;15.5;9.3;5.0;9.5
1904;3.6;5.0;7.4;8.2;10.5;12.9;17.5;15.2;11.7;9.4;8.8;6.5;8.7;15.2;10.0;4.5;9.7
1905;2.8;4.0;5.7;7.6;12.2;15.8;17.5;17.2;13.2;7.9;8.1;4.9;8.5;16.8;9.7;4.5;9.7
1906;4.0;4.7;6.4;9.0;13.1;15.2;17.2;14.8;11.3;8.5;7.9;4.6;9.5;15.7;9.2;3.7;9.7
1907;3.2;3.2;4.3;7.4;13.8;15.3;16.0;15.2;11.6;11.1;5.8;5.2;8.5;15.5;9.5;4.6;9.4
1908;3.7;4.8;5.7;7.9;13.0;15.3;16.4;15.0;11.4;8.0;4.5;4.2;8.9;15.6;7.9;3.4;9.2
1909;3.1;2.8;5.9;8.2;11.1;14.6;16.7;16.8;14.1;10.4;6.4;6.2;8.4;16.0;10.3;5.7;9.7
1910;4.7;6.1;5.8;8.5;12.3;16.2;16.5;15.9;12.3;8.5;6.7;6.2;8.9;16.2;9.2;4.6;10.0
1911;4.3;3.3;5.7;8.1;12.3;14.3;16.5;16.2;12.3;9.5;8.0;5.6;8.7;15.6;9.9;4.5;9.7
1912;2.9;4.9;7.2;7.4;10.7;15.9;16.3;14.7;10.8;7.5;6.3;5.8;8.4;15.6;8.2;4.6;9.2
1913;4.0;3.8;6.8;8.7;11.1;14.1;14.9;14.7;12.9;8.9;7.2;5.4;8.9;14.6;9.7;4.3;9.4
