Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Montenegro           : parameter = Vapour Pressure                : Units = hPa                 
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;4.1;4.5;5.5;6.8;9.4;12.3;13.4;13.5;11.7;9.2;6.6;5.7;7.2;13.1;9.2;5.4;8.6
1902;5.3;5.1;5.7;7.1;8.1;11.6;13.1;13.4;11.2;8.9;6.1;5.4;7.0;12.7;8.7;5.0;8.4
1903;4.3;5.3;5.7;6.6;9.5;11.5;12.9;13.5;11.2;9.1;7.1;5.5;7.3;12.6;9.1;5.1;8.5
1904;4.6;5.1;6.1;7.3;9.6;12.1;13.6;13.1;10.8;9.0;6.6;5.6;7.7;12.9;8.8;4.9;8.6
1905;4.2;4.9;5.9;6.8;9.6;12.2;14.0;13.5;12.1;7.0;6.8;5.4;7.4;13.2;8.6;5.0;8.5
1906;4.7;4.8;5.5;7.0;9.8;11.8;13.2;13.0;11.0;9.0;7.2;4.9;7.4;12.6;9.1;4.7;8.5
1907;4.6;4.6;5.2;6.6;10.0;12.2;12.5;13.2;11.4;9.9;6.6;5.4;7.3;12.6;9.3;4.9;8.5
1908;4.4;5.0;5.3;6.8;10.6;12.8;12.8;12.6;10.8;8.5;6.2;5.1;7.6;12.7;8.5;4.6;8.4
1909;4.3;4.3;5.3;7.2;9.3;11.8;12.7;13.3;11.6;9.5;6.6;5.5;7.2;12.6;9.2;5.2;8.4
1910;4.9;5.1;5.6;7.0;9.6;12.3;12.6;13.1;11.1;9.1;6.6;5.8;7.4;12.7;8.9;5.0;8.6
1911;4.5;4.8;5.7;6.9;9.9;11.8;13.7;13.7;11.7;8.9;7.1;5.7;7.5;13.1;9.2;5.2;8.7
1912;4.5;5.2;6.2;6.8;9.9;12.4;13.0;12.6;9.3;8.4;6.3;5.6;7.6;12.6;8.0;5.0;8.3
1913;4.6;4.7;6.0;7.1;9.6;12.0;11.8;12.6;11.3;9.2;7.3;5.5;7.6;12.1;9.3;4.8;8.5
1914;4.2;4.8;5.9;7.3;9.7;11.7;12.7;13.2;11.1;9.0;6.8;5.6;7.7;12.6;8.9;5.1;8.5
1915;4.9;4.9;5.5;7.1;10.2;12.6;12.8;12.6;10.7;8.6;6.3;5.9;7.6;12.6;8.5;5.4;8.5
1916;5.5;5.0;6.2;7.1;9.9;11.5;13.0;13.0;10.9;8.9;7.1;5.8;7.8;12.5;9.0;4.9;8.7
1917;4.5;4.3;5.3;6.5;10.3;12.8;13.3;13.5;12.0;8.7;6.9;4.9;7.3;13.2;9.2;4.9;8.6
1918;4.7;4.9;5.7;7.8;10.0;11.2;12.9;13.1;11.9;8.9;6.7;5.8;7.8;12.4;9.1;5.2;8.6
1919;5.2;4.7;5.8;6.8;8.8;12.0;12.2;13.2;11.8;8.4;6.4;5.4;7.1;12.5;8.9;5.3;8.4
1920;5.3;5.2;6.1;7.9;10.7;11.8;13.2;12.8;12.0;8.5;6.2;5.5;8.2;12.6;8.9;5.4;8.8
1921;5.5;5.0;5.7;6.8;10.3;11.7;13.5;13.4;11.4;9.2;6.3;5.2;7.6;12.9;9.0;4.7;8.7
1922;4.4;4.6;6.0;6.9;10.0;12.4;12.9;13.3;11.2;8.5;6.4;5.4;7.6;12.9;8.7;5.2;8.5
1923;5.0;5.1;5.8;7.0;10.1;11.0;13.7;13.2;11.4;9.7;7.0;5.1;7.6;12.6;9.3;4.7;8.7
1924;4.4;4.5;5.4;7.1;10.4;12.1;13.1;12.5;11.9;8.9;6.7;5.3;7.6;12.5;9.1;5.2;8.5
1925;5.0;5.3;5.3;7.2;10.1;11.8;13.1;13.4;11.1;9.0;6.8;5.0;7.6;12.8;8.9;5.1;8.6
1926;4.6;5.7;5.8;7.4;9.7;11.6;13.1;12.9;12.0;9.1;7.7;5.4;7.6;12.6;9.6;5.1;8.8
1927;5.1;4.7;6.0;7.3;9.7;12.4;13.5;13.6;11.9;8.9;7.0;5.0;7.7;13.2;9.3;5.0;8.8
1928;5.0;5.1;5.4;7.3;9.1;11.9;14.2;13.8;11.4;9.0;7.5;5.1;7.3;13.3;9.3;4.1;8.7
1929;4.0;3.1;5.4;6.6;10.2;12.3;13.5;13.6;11.7;9.3;7.2;5.6;7.4;13.1;9.4;5.1;8.5
1930;5.0;4.6;6.0;7.5;9.7;13.1;13.1;13.1;11.9;9.0;7.2;5.3;7.7;13.1;9.3;4.9;8.8
1931;4.8;4.7;5.1;6.8;10.8;13.0;13.5;13.2;10.1;8.4;6.9;5.1;7.5;13.2;8.5;4.8;8.5
1932;5.0;4.2;5.1;7.0;10.0;11.8;13.8;14.1;13.1;9.1;7.0;5.5;7.4;13.2;9.7;4.9;8.8
1933;4.4;4.8;5.6;7.0;9.5;11.4;13.2;13.4;11.4;8.9;6.8;4.7;7.4;12.7;9.0;4.8;8.4
1934;4.8;4.9;6.0;7.7;10.3;11.9;13.5;13.5;12.0;9.1;7.0;6.3;8.0;13.0;9.4;5.2;8.9
1935;4.4;4.9;5.2;7.2;9.2;12.8;13.2;13.0;11.6;9.5;7.0;5.2;7.2;13.0;9.4;5.1;8.6
1936;5.2;4.9;6.0;7.3;10.2;12.2;13.6;12.9;11.6;8.3;6.8;5.4;7.8;12.9;8.9;5.0;8.7
1937;4.5;5.2;5.9;7.3;10.5;12.8;13.4;13.2;11.5;9.3;6.9;5.1;7.9;13.1;9.2;5.0;8.8
1938;4.8;4.9;6.2;6.5;9.3;12.8;13.3;13.7;11.2;9.4;7.4;5.0;7.3;13.3;9.3;5.0;8.7
1939;4.9;5.1;5.3;7.9;9.7;12.2;13.2;13.4;11.6;8.8;7.1;4.9;7.6;13.0;9.1;4.3;8.7
1940;3.8;4.2;5.4;7.1;9.6;12.1;12.9;12.6;11.6;9.1;7.1;4.6;7.4;12.5;9.3;4.6;8.3
1941;4.2;4.9;5.7;6.9;9.0;12.1;13.3;12.9;10.8;8.9;6.4;5.3;7.2;12.8;8.7;4.4;8.4
