Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Romania              : parameter = Vapour Pressure                : Units = hPa                 
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;3.1;4.9;5.7;7.5;11.5;13.7;16.7;16.7;13.1;11.4;8.1;6.6;8.2;15.7;10.9;5.6;9.9
1902;5.2;5.0;6.2;7.7;9.9;13.3;16.8;17.4;12.6;9.9;6.6;5.5;7.9;15.8;9.7;5.2;9.7
1903;3.9;6.3;6.0;7.7;11.1;13.1;16.3;17.5;12.5;9.8;7.3;5.9;8.3;15.7;9.9;5.0;9.8
1904;3.8;5.2;7.3;8.7;11.1;13.7;17.4;16.2;12.4;9.8;8.4;6.1;9.1;15.8;10.2;4.6;10.0
1905;3.2;4.5;6.3;7.9;12.1;15.5;17.7;17.5;14.2;8.0;7.8;5.1;8.8;16.9;10.0;4.7;10.0
1906;4.1;4.8;6.4;8.9;12.7;14.9;16.9;15.5;12.2;9.2;8.0;4.6;9.3;15.7;9.8;4.0;9.8
1907;3.6;3.7;5.0;7.6;13.6;15.3;15.8;16.0;12.6;11.4;6.3;5.4;8.7;15.7;10.1;4.7;9.7
1908;3.7;5.0;5.9;8.2;13.6;15.9;16.3;15.5;12.1;8.6;5.1;4.5;9.2;15.9;8.6;3.8;9.5
1909;3.4;3.4;6.0;8.6;11.4;14.7;16.3;17.1;14.2;10.8;6.6;6.0;8.7;16.0;10.6;5.6;9.9
1910;4.8;5.9;6.2;8.6;12.2;15.8;16.1;16.3;12.9;9.4;6.8;6.2;9.0;16.1;9.7;4.8;10.1
1911;4.3;3.9;6.2;8.3;12.4;14.5;17.0;17.0;13.3;9.8;8.0;5.8;9.0;16.2;10.3;4.8;10.0
1912;3.4;5.3;7.3;7.8;11.5;15.8;16.4;15.2;11.3;8.3;6.3;5.7;8.9;15.8;8.6;4.6;9.5
1913;4.0;4.2;7.0;8.8;11.5;14.5;14.8;15.1;13.3;9.6;7.6;5.5;9.1;14.8;10.2;4.4;9.7
1914;3.2;4.4;6.8;9.1;11.8;14.6;16.6;16.0;12.2;9.2;6.3;5.9;9.2;15.7;9.2;5.4;9.7
1915;5.2;5.0;5.7;8.5;12.2;15.9;16.5;15.1;11.7;9.3;6.2;6.3;8.8;15.8;9.1;5.5;9.8
1916;5.3;5.0;7.3;8.7;12.1;14.6;16.5;15.7;12.3;9.6;7.8;6.2;9.4;15.6;9.9;4.6;10.1
1917;4.4;3.2;5.5;8.1;11.8;16.1;16.8;17.4;13.7;10.2;7.6;4.5;8.5;16.8;10.5;4.6;9.9
1918;4.7;4.6;6.0;9.4;11.7;13.7;16.2;16.1;14.1;10.7;6.7;5.5;9.0;15.3;10.5;5.1;9.9
1919;5.1;4.6;6.5;8.8;10.2;14.4;15.5;15.3;14.1;9.3;6.3;5.1;8.5;15.1;9.9;4.9;9.6
1920;5.0;4.6;6.9;10.2;13.3;14.3;17.4;16.1;13.3;7.9;5.4;5.3;10.1;15.9;8.9;5.1;10.0
1921;5.7;4.4;6.6;8.6;13.2;14.0;17.0;17.1;12.4;9.3;5.9;4.6;9.4;16.0;9.2;4.0;9.9
1922;3.6;3.8;6.9;8.4;12.3;15.5;17.1;16.5;12.6;8.9;6.1;5.0;9.2;16.4;9.2;4.8;9.7
1923;4.8;4.7;6.7;8.2;13.4;13.7;16.9;15.9;13.6;11.3;8.5;5.2;9.4;15.5;11.2;4.1;10.3
1924;3.2;4.0;5.6;8.5;13.6;15.9;16.5;15.5;14.6;9.6;6.2;4.9;9.3;16.0;10.1;5.3;9.8
1925;4.7;6.3;6.2;8.9;12.9;13.7;16.6;16.0;12.5;9.5;7.4;4.4;9.3;15.5;9.8;4.9;9.9
1926;4.4;5.8;6.1;9.4;12.1;14.8;16.6;14.9;13.4;10.1;8.9;5.2;9.2;15.4;10.8;4.8;10.1
1927;5.0;4.2;7.4;9.0;11.7;15.9;17.5;17.5;14.4;9.6;7.4;4.0;9.3;17.0;10.5;4.3;10.3
1928;4.3;4.4;5.3;9.0;10.9;14.3;17.8;16.9;13.6;9.6;8.3;4.9;8.4;16.4;10.5;3.5;10.0
1929;3.2;2.5;4.9;7.2;13.2;14.9;16.6;17.7;12.8;10.6;8.1;5.7;8.4;16.4;10.5;5.0;9.8
1930;4.7;4.5;6.8;9.4;11.9;15.9;16.9;16.2;14.3;9.9;7.9;5.3;9.4;16.3;10.7;4.8;10.3
1931;4.5;4.7;5.3;7.7;13.7;16.4;17.7;16.5;11.7;8.9;6.5;4.5;8.9;16.9;9.1;4.0;9.8
1932;4.2;3.2;4.8;8.6;12.7;14.5;17.8;17.2;15.0;11.0;6.9;5.4;8.7;16.5;11.0;4.5;10.1
1933;3.5;4.6;5.9;7.6;11.4;13.6;16.5;16.0;12.4;9.7;7.3;3.7;8.3;15.4;9.8;4.0;9.4
1934;4.1;4.3;7.2;9.4;13.2;14.7;16.8;16.9;14.0;10.0;8.0;6.2;9.9;16.1;10.6;4.8;10.4
1935;3.6;4.4;5.5;8.7;11.1;16.1;16.2;16.2;13.2;11.2;6.9;5.5;8.4;16.2;10.4;5.4;9.9
1936;6.0;4.8;6.8;9.0;11.1;15.7;17.3;16.3;12.9;9.2;7.8;5.3;9.0;16.4;10.0;4.6;10.2
1937;3.7;4.9;7.3;8.8;13.3;14.4;16.6;17.6;14.5;10.3;7.8;6.1;9.8;16.2;10.9;5.2;10.4
1938;4.4;5.0;6.7;8.3;12.3;15.6;18.5;17.5;14.1;11.1;8.2;4.8;9.1;17.2;11.1;5.1;10.5
1939;5.2;5.3;6.0;8.8;13.0;15.5;16.5;16.2;13.2;9.9;7.1;5.3;9.3;16.1;10.1;4.3;10.2
1940;3.5;4.2;5.5;8.5;11.5;14.4;16.8;16.8;13.6;9.7;8.5;4.0;8.5;16.0;10.6;4.4;9.7
1941;3.8;5.5;6.0;9.4;11.7;14.9;17.8;16.9;11.9;9.1;5.7;4.7;9.1;16.5;8.9;3.7;9.8
1942;2.5;3.9;5.1;8.0;12.2;15.2;16.6;16.6;14.2;10.0;6.6;5.3;8.4;16.1;10.3;4.6;9.7
1943;3.6;4.9;5.9;8.5;11.6;14.4;16.4;16.4;14.5;10.6;7.3;5.2;8.7;15.7;10.8;5.1;10.0
1944;4.8;5.3;6.3;8.5;11.5;14.8;17.4;16.6;13.5;11.0;8.0;4.9;8.8;16.2;10.9;4.5;10.2
1945;3.9;4.5;6.3;8.1;11.3;14.0;16.5;17.3;13.2;9.1;6.7;4.7;8.6;15.9;9.7;4.4;9.6
1946;3.7;4.8;6.3;8.7;12.9;15.7;16.0;16.8;14.1;7.7;7.3;4.5;9.3;16.1;9.7;3.9;9.9
1947;2.9;4.3;7.4;8.5;11.1;16.0;17.3;16.7;14.4;7.4;7.1;6.1;9.0;16.7;9.6;5.6;9.9
1948;6.2;4.6;5.6;8.5;13.5;16.9;16.6;16.9;12.5;9.9;6.7;3.7;9.2;16.8;9.7;4.4;10.1
1949;4.8;4.7;5.3;7.7;12.2;14.3;17.7;15.8;13.3;8.3;8.7;6.3;8.4;16.0;10.1;4.8;9.9
1950;2.9;5.4;6.3;10.7;12.0;13.2;15.9;16.3;13.8;9.2;7.3;7.0;9.7;15.1;10.1;5.6;10.0
1951;4.8;5.1;7.2;10.0;12.7;15.2;15.7;17.7;14.4;7.2;8.1;5.5;10.0;16.2;9.9;5.4;10.3
1952;5.4;5.1;4.5;8.8;11.2;14.1;15.7;17.2;14.1;11.0;7.2;5.5;8.1;15.7;10.8;4.9;10.0
1953;4.6;4.5;5.7;8.6;11.8;17.7;17.1;16.2;13.2;9.4;5.0;4.4;8.7;17.0;9.2;3.2;9.9
1954;2.5;2.6;6.3;7.4;12.4;17.5;17.8;17.1;15.0;10.0;7.8;5.8;8.7;17.5;10.9;5.3;10.2
1955;4.9;5.3;6.2;7.4;11.5;15.1;18.3;17.5;14.4;11.3;6.4;5.4;8.3;17.0;10.7;4.4;10.3
1956;4.9;2.9;4.8;8.8;10.9;16.0;16.0;16.9;12.5;9.7;5.0;5.1;8.2;16.3;9.1;5.2;9.5
1957;4.4;6.2;5.6;8.6;12.0;15.1;17.3;16.6;13.8;9.4;7.7;4.6;8.7;16.3;10.3;5.1;10.1
1958;4.6;6.1;5.8;8.4;13.2;14.8;16.7;16.9;12.9;9.8;7.5;6.1;9.1;16.1;10.1;5.1;10.2
1959;4.9;4.4;6.2;8.0;11.8;14.6;17.7;16.7;11.1;7.6;7.2;5.5;8.6;16.3;8.6;5.0;9.6
1960;4.7;4.8;5.7;7.7;12.0;15.5;17.3;16.5;11.8;11.8;9.4;7.2;8.5;16.4;11.0;5.6;10.4
1961;4.4;5.2;6.8;9.4;11.9;15.7;15.7;16.1;12.4;9.4;8.3;5.0;9.4;15.8;10.0;4.9;10.0
1962;5.1;4.6;5.9;9.0;12.4;14.3;16.0;17.3;13.2;9.6;8.9;4.4;9.1;15.9;10.6;3.8;10.0
1963;2.6;4.5;5.1;8.6;12.3;15.2;16.8;17.1;13.5;9.6;7.9;3.8;8.7;16.4;10.4;3.7;9.8
1964;3.1;4.1;5.5;8.5;11.0;16.4;16.6;15.3;13.2;10.8;7.1;5.9;8.3;16.1;10.4;4.7;9.8
1965;4.7;3.6;6.3;8.0;11.6;15.6;16.9;15.1;14.0;8.3;6.1;6.0;8.6;15.9;9.5;5.7;9.7
1966;4.4;6.7;6.9;10.5;11.6;14.1;17.6;17.5;13.0;12.6;7.8;5.2;9.6;16.4;11.1;4.4;10.7
1967;3.4;4.6;6.8;8.7;12.7;14.7;16.1;16.5;14.0;11.5;8.3;4.8;9.4;15.8;11.3;4.7;10.2
1968;3.9;5.3;6.1;8.6;12.5;14.2;15.5;16.7;14.4;9.9;7.9;4.4;9.0;15.5;10.8;4.0;9.9
1969;3.3;4.2;5.0;8.2;12.4;15.2;16.3;16.9;12.9;8.5;7.9;4.6;8.6;16.1;9.7;4.6;9.6
1970;4.6;4.7;6.5;9.4;12.3;15.2;18.0;16.6;12.9;8.7;7.3;5.5;9.4;16.6;9.6;5.2;10.1
1971;4.8;5.3;5.8;8.5;13.7;14.5;15.8;16.5;12.6;8.6;7.1;5.9;9.3;15.6;9.4;5.1;9.9
1972;4.0;5.4;6.0;10.4;12.7;15.6;18.2;17.6;12.9;9.1;7.4;5.3;9.7;17.1;9.8;5.0;10.4
1973;4.0;5.7;5.6;8.6;12.4;14.8;17.4;15.6;13.8;9.0;5.4;4.6;8.9;15.9;9.4;4.8;9.7
1974;4.0;5.8;6.0;7.3;11.8;14.3;16.0;17.3;14.2;10.5;6.8;5.9;8.4;15.9;10.5;5.1;10.0
1975;5.2;4.2;7.1;9.1;14.3;16.5;17.2;16.3;13.8;9.8;6.1;4.9;10.2;16.7;9.9;4.2;10.4
1976;4.2;3.5;5.5;9.0;11.2;13.1;15.5;14.6;13.4;10.6;8.3;5.4;8.5;14.4;10.8;5.6;9.5
1977;4.6;6.7;7.3;8.7;12.2;15.2;16.3;16.1;12.2;9.2;8.1;4.1;9.4;15.9;9.8;4.4;10.1
