Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Slovenia             : parameter = Vapour Pressure                : Units = hPa                 
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;3.7;4.8;6.1;7.4;10.2;13.7;17.0;16.6;15.0;10.0;7.3;6.1;7.9;15.8;10.8;5.4;9.8
1902;4.9;5.3;6.3;7.7;9.3;13.9;16.6;16.5;12.7;11.1;5.7;5.7;7.8;15.7;9.9;5.3;9.6
1903;4.3;5.7;6.3;7.7;9.9;13.2;16.5;17.1;13.0;10.2;7.1;5.5;7.9;15.6;10.1;5.0;9.7
1904;4.2;5.3;7.1;8.3;10.4;13.6;16.1;17.0;12.3;10.2;6.1;6.1;8.6;15.6;9.5;4.9;9.7
1905;3.7;4.9;6.3;7.9;10.7;14.3;16.5;15.7;13.6;8.0;6.3;5.0;8.3;15.5;9.3;4.7;9.4
1906;4.4;4.7;5.6;7.9;11.2;13.5;15.6;15.6;12.7;10.1;7.2;4.0;8.2;14.9;10.0;4.1;9.4
1907;4.0;4.3;5.6;7.5;11.0;13.8;14.1;15.4;13.3;10.3;6.7;5.1;8.0;14.4;10.1;4.6;9.3
1908;3.9;4.9;5.6;7.3;11.6;14.7;15.1;14.6;12.5;9.2;5.9;4.5;8.2;14.8;9.2;4.1;9.1
1909;3.8;4.0;5.3;8.1;10.3;13.0;14.3;15.2;12.7;9.9;5.9;5.1;7.9;14.2;9.5;4.9;9.0
1910;4.6;5.1;5.8;7.7;10.5;14.2;14.6;15.0;12.4;9.7;6.0;5.4;8.0;14.6;9.4;4.7;9.3
1911;4.0;4.8;6.0;7.7;11.2;13.4;16.5;17.1;13.5;9.3;6.9;5.3;8.3;15.7;9.9;4.9;9.6
1912;4.3;5.3;6.6;7.6;11.0;13.8;15.2;14.3;11.2;8.7;5.9;5.2;8.4;14.5;8.6;4.8;9.1
1913;4.5;4.6;6.4;7.9;10.7;13.8;14.1;14.7;12.8;9.8;7.6;5.0;8.3;14.2;10.0;4.7;9.3
1914;3.6;5.3;6.3;8.5;10.4;13.5;15.4;15.4;12.5;9.3;6.4;5.4;8.4;14.8;9.4;4.8;9.3
1915;4.3;4.7;5.6;7.6;11.7;14.7;14.8;14.8;12.0;8.7;5.8;5.7;8.3;14.7;8.9;5.3;9.2
1916;5.2;4.9;6.1;8.0;11.2;12.7;14.7;15.2;12.1;9.3;6.7;5.2;8.4;14.2;9.4;4.3;9.3
1917;3.9;3.9;5.2;7.0;12.1;15.1;15.3;15.2;13.8;8.7;6.6;3.9;8.1;15.2;9.7;4.4;9.2
1918;4.3;4.9;5.8;8.4;11.5;12.5;15.1;15.0;13.1;9.0;6.3;5.6;8.6;14.2;9.5;4.9;9.3
1919;4.5;4.5;5.9;7.2;10.4;13.9;13.9;15.6;13.6;8.5;5.7;4.8;7.8;14.5;9.3;5.0;9.1
1920;5.0;5.2;6.6;8.6;12.2;13.6;15.1;14.6;13.3;9.2;6.0;4.8;9.1;14.5;9.5;5.0;9.5
1921;5.5;4.8;6.3;7.7;11.6;13.7;16.2;15.5;13.5;10.2;5.7;4.7;8.5;15.2;9.8;4.3;9.6
1922;3.8;4.4;6.1;7.4;11.7;14.1;14.6;15.0;12.2;8.7;6.0;5.0;8.4;14.6;8.9;4.9;9.1
1923;4.6;5.2;6.3;7.8;10.8;12.0;16.4;15.4;12.7;10.4;6.4;4.4;8.3;14.6;9.8;4.1;9.4
1924;3.8;4.2;5.8;7.9;11.7;14.0;15.4;14.4;13.3;9.7;6.6;5.0;8.5;14.6;9.8;5.1;9.3
1925;5.0;5.4;5.4;8.1;11.4;14.0;15.4;15.5;12.0;9.5;6.3;4.4;8.3;15.0;9.2;4.9;9.4
1926;4.2;6.0;6.2;8.5;10.4;13.1;15.7;15.4;13.9;9.5;7.4;4.7;8.4;14.7;10.3;4.7;9.6
1927;4.7;4.7;6.5;8.1;11.0;13.6;15.7;15.4;13.3;9.4;6.6;4.4;8.5;14.9;9.8;4.8;9.4
1928;4.7;5.2;6.0;8.0;10.0;13.7;16.9;16.2;12.7;9.2;7.3;4.6;8.0;15.6;9.7;3.6;9.5
1929;3.3;3.0;5.8;7.1;11.2;14.0;15.6;15.5;14.0;9.8;6.6;5.4;8.0;15.1;10.1;5.0;9.3
1930;5.0;4.7;6.1;8.4;10.6;15.0;14.8;15.2;13.4;9.4;7.1;4.9;8.4;15.0;10.0;4.5;9.5
1931;4.2;4.3;5.1;7.3;12.2;14.6;15.0;14.9;11.1;8.6;7.0;4.5;8.2;14.8;8.9;4.3;9.1
1932;4.8;3.6;5.1;7.5;10.8;13.1;15.5;16.8;14.7;9.3;6.9;5.1;7.8;15.1;10.3;4.4;9.4
1933;3.7;4.4;6.1;7.8;10.5;12.6;15.7;15.8;13.3;9.5;6.2;3.7;8.1;14.7;9.6;4.2;9.1
1934;4.3;4.7;6.1;8.5;11.4;13.7;15.6;15.1;13.7;9.3;6.3;5.6;8.6;14.8;9.8;4.8;9.5
1935;3.9;5.0;5.5;7.9;9.9;14.8;15.7;15.1;13.2;9.7;7.0;4.6;7.8;15.2;9.9;4.8;9.3
1936;5.2;4.7;6.4;7.8;11.3;13.9;15.1;15.3;13.1;8.1;6.8;5.0;8.5;14.8;9.3;4.9;9.4
1937;4.3;5.3;5.8;8.1;11.8;14.5;15.5;15.8;13.1;9.8;6.4;4.4;8.6;15.3;9.8;4.5;9.6
1938;4.5;4.8;6.8;6.9;10.1;14.4;15.1;15.9;13.2;9.6;7.6;4.2;7.9;15.1;10.1;4.7;9.4
1939;4.9;5.1;5.3;8.6;10.3;14.1;15.0;16.0;13.1;9.0;7.2;4.3;8.0;15.0;9.8;3.7;9.4
1940;2.8;4.0;5.7;8.2;10.9;13.8;14.6;14.7;13.0;9.4;6.9;3.8;8.3;14.4;9.8;3.9;9.0
1941;3.4;4.6;6.0;7.5;9.2;14.1;16.1;14.8;12.4;9.0;6.2;4.8;7.5;15.0;9.2;3.8;9.0
1942;2.9;3.7;5.9;8.0;10.8;13.6;15.2;15.8;14.4;10.6;6.3;5.0;8.3;14.9;10.4;4.8;9.4
1943;4.2;5.2;6.4;8.5;11.2;13.5;15.3;16.6;13.7;10.3;6.1;4.9;8.7;15.1;10.0;4.7;9.7
1944;4.9;4.4;5.3;8.5;10.7;13.5;15.6;17.3;13.1;9.5;6.5;4.4;8.2;15.5;9.7;4.3;9.5
1945;3.2;5.3;6.5;8.4;11.5;14.6;16.1;15.7;13.6;9.4;6.5;4.8;8.8;15.5;9.8;4.7;9.6
1946;3.9;5.3;6.4;8.6;11.8;14.4;16.0;15.7;13.6;8.6;6.9;4.5;8.9;15.4;9.7;4.0;9.6
1947;3.4;4.2;6.5;8.7;11.3;14.9;16.6;16.4;14.5;8.8;6.9;5.2;8.8;16.0;10.1;5.2;9.8
1948;5.5;4.8;6.3;8.4;11.7;14.3;15.1;16.2;13.3;9.8;6.7;4.4;8.8;15.2;9.9;4.6;9.7
1949;4.7;4.8;5.3;8.6;11.2;13.3;16.2;16.2;14.5;9.8;7.2;5.5;8.3;15.2;10.5;5.0;9.8
1950;3.9;5.4;6.2;8.5;11.5;14.2;16.3;16.1;13.3;9.3;6.8;5.1;8.7;15.5;9.8;5.1;9.7
1951;4.9;5.3;6.2;8.3;11.2;14.5;15.7;16.6;14.6;8.9;7.3;5.0;8.6;15.6;10.3;4.7;9.9
1952;4.6;4.6;5.5;8.9;10.9;13.9;16.0;16.3;12.7;9.7;6.4;4.9;8.4;15.4;9.6;4.6;9.5
1953;4.3;4.7;5.9;8.2;11.2;15.0;16.5;15.7;13.7;10.3;6.2;5.1;8.4;15.7;10.1;4.2;9.7
1954;3.4;3.9;6.5;7.4;10.9;15.3;15.2;15.8;13.9;9.5;6.8;5.6;8.3;15.4;10.1;4.9;9.5
1955;4.5;4.8;5.7;7.4;10.2;14.0;16.6;16.2;13.7;9.7;6.5;5.5;7.8;15.6;10.0;4.5;9.6
1956;4.9;3.0;5.4;7.8;10.6;13.7;15.5;15.1;13.3;9.3;5.6;5.0;7.9;14.8;9.4;5.0;9.1
1957;4.3;5.9;6.5;8.0;10.1;14.6;16.4;15.5;13.2;9.4;7.0;4.7;8.2;15.5;9.8;4.9;9.6
1958;4.5;5.6;5.2;7.3;12.2;13.5;16.1;16.3;13.8;10.1;7.3;5.5;8.2;15.3;10.4;4.9;9.8
1959;4.5;4.8;6.7;8.0;10.8;14.2;17.1;16.1;12.7;8.7;6.6;5.5;8.5;15.8;9.3;4.9;9.6
1960;4.3;5.0;6.4;7.8;10.9;14.8;15.4;15.8;12.4;10.1;7.7;5.5;8.4;15.3;10.1;5.2;9.7
1961;4.4;5.7;6.6;9.0;10.4;14.5;14.5;15.5;14.2;9.8;7.0;4.8;8.7;14.8;10.3;4.7;9.7
1962;4.8;4.6;5.3;8.3;10.6;13.2;15.0;16.4;12.8;9.4;6.8;4.0;8.0;14.9;9.7;3.6;9.3
1963;3.1;3.9;5.5;8.4;11.1;14.2;16.0;15.9;14.0;9.7;7.8;4.0;8.4;15.3;10.5;4.1;9.5
1964;3.7;4.7;5.7;8.4;10.9;15.0;15.9;15.1;13.4;9.5;7.1;4.8;8.4;15.3;10.0;4.4;9.5
1965;4.6;3.8;6.0;7.8;10.5;14.6;15.3;15.0;13.2;9.4;6.1;5.3;8.1;15.0;9.6;5.2;9.3
1966;3.9;6.3;6.0;9.0;10.8;13.9;15.5;15.7;13.7;11.6;6.5;4.9;8.6;15.1;10.6;4.6;9.8
1967;4.1;4.9;6.6;7.9;11.1;13.7;16.3;15.6;13.8;10.8;7.0;4.4;8.5;15.2;10.5;4.6;9.7
1968;4.1;5.3;6.0;8.3;10.8;13.9;14.9;15.6;13.6;10.4;7.3;4.4;8.4;14.8;10.4;4.4;9.5
1969;4.2;4.5;5.6;7.7;11.4;13.7;15.9;15.5;13.5;9.7;7.0;3.9;8.3;15.0;10.1;4.3;9.4
1970;4.5;4.6;5.7;7.9;10.8;14.5;15.9;16.3;13.4;9.4;7.2;5.0;8.1;15.6;10.0;4.8;9.6
1971;4.5;5.0;5.8;8.3;12.3;13.8;15.8;16.6;12.5;9.2;6.6;5.7;8.8;15.4;9.5;5.3;9.7
1972;4.3;5.9;6.2;8.9;11.5;14.7;17.6;16.1;12.8;9.0;6.7;4.9;8.9;16.1;9.5;5.0;9.9
1973;4.6;5.4;5.7;7.6;10.9;14.0;16.3;15.6;14.1;9.4;5.5;4.7;8.1;15.3;9.7;5.2;9.5
1974;5.1;6.0;6.5;7.3;11.3;13.4;15.3;17.6;14.0;9.2;6.3;5.4;8.4;15.4;9.8;5.0;9.8
1975;5.2;4.5;6.9;8.1;12.2;14.8;16.6;16.6;14.9;10.5;6.4;4.8;9.1;16.0;10.6;4.6;10.1
1976;4.5;4.5;5.2;8.0;10.5;12.3;15.2;14.0;13.9;11.2;7.6;5.0;7.9;13.8;10.9;5.3;9.3
1977;4.9;6.1;7.3;7.8;11.0;14.1;15.2;16.2;12.5;10.2;7.0;4.3;8.7;15.1;9.9;4.6;9.7
1978;4.5;4.9;6.5;8.2;10.9;13.6;15.2;15.0;12.9;10.6;6.3;5.2;8.5;14.6;9.9;4.7;9.5
1979;4.3;4.8;6.9;7.7;11.1;15.8;14.7;15.8;13.8;8.7;6.8;5.8;8.6;15.4;9.8;5.0;9.7
1980;3.9;5.1;6.0;7.5;9.7;13.9;15.9;15.8;13.2;10.2;6.3;4.7;7.7;15.2;9.9;4.5;9.4
1981;3.9;4.8;7.0;7.3;11.2;15.2;15.8;15.8;14.2;10.6;6.3;4.7;8.5;15.6;10.4;4.4;9.7
1982;4.0;4.4;5.9;6.9;11.0;14.1;16.5;16.4;15.2;10.5;6.9;5.7;7.9;15.7;10.9;5.2;9.8
1983;5.4;4.6;6.4;9.2;12.1;13.9;16.3;16.0;13.4;9.7;5.9;4.9;9.2;15.4;9.7;4.8;9.8
1984;4.6;4.8;5.6;7.9;11.4;13.1;14.7;15.8;13.9;10.7;6.6;4.5;8.3;14.5;10.4;3.9;9.5
1985;3.5;3.8;6.4;8.0;12.2;13.3;16.0;16.6;13.3;9.8;6.1;5.9;8.9;15.3;9.7;4.8;9.6
1986;4.6;4.1;6.2;8.7;12.2;14.5;15.5;16.6;13.0;9.1;6.7;4.5;9.0;15.5;9.6;4.5;9.6
1987;3.7;5.2;5.1;8.1;10.5;14.7;16.8;14.6;14.4;10.4;7.0;5.2;7.9;15.4;10.6;5.5;9.6
1988;5.6;5.5;5.8;7.7;11.6;14.2;16.8;16.2;14.0;9.6;5.1;5.2;8.3;15.7;9.6;5.2;9.8
1989;4.8;5.7;6.8;9.0;11.0;14.2;16.0;16.6;14.3;10.2;6.5;5.1;8.9;15.6;10.4;5.3;10.0
1990;5.1;5.8;6.8;8.2;10.9;13.9;15.0;15.2;12.3;9.8;7.3;4.8;8.6;14.7;9.8;4.6;9.6
1991;4.6;4.3;7.1;7.7;9.9;14.0;17.2;16.8;14.0;9.7;7.1;4.2;8.3;16.0;10.3;4.6;9.7
1992;4.6;5.0;5.8;8.1;10.3;14.6;16.0;16.8;12.8;9.5;6.6;4.7;8.1;15.8;9.6;4.6;9.6
1993;4.7;4.4;5.8;7.8;11.5;13.6;15.2;15.5;13.0;10.9;6.1;5.5;8.4;14.8;10.0;5.4;9.5
1994;5.5;5.2;6.9;8.6;11.1;13.9;16.1;16.5;15.4;9.5;6.7;5.2;8.9;15.5;10.6;5.2;10.1
1995;4.5;5.9;6.1;8.0;10.7;14.6;17.0;15.8;13.5;10.5;5.8;4.8;8.3;15.8;9.9;4.5;9.8
1996;4.4;4.3;5.3;8.0;12.7;14.8;15.4;16.7;12.8;10.5;7.6;4.1;8.6;15.6;10.3;4.6;9.7
1997;4.4;5.2;5.4;6.6;11.4;14.6;16.5;16.6;13.2;8.9;7.1;5.6;7.8;15.9;9.7;5.6;9.6
1998;5.5;5.7;5.2;9.0;11.0;15.6;16.7;16.2;13.7;10.7;5.9;4.0;8.4;16.2;10.1;4.6;9.9
1999;5.1;4.9;6.3;8.8;10.5;15.9;17.7;16.4;14.5;10.3;6.3;5.0;8.5;16.7;10.4;4.9;10.1
2000;4.2;5.5;6.4;9.6;11.1;13.7;15.6;16.3;12.9;10.7;7.8;5.7;9.0;15.2;10.5;5.3;10.0
2001;5.1;5.2;6.8;8.1;10.3;13.3;17.7;17.2;13.5;11.8;5.8;3.6;8.4;16.0;10.4;4.8;9.9
2002;4.7;6.0;6.1;7.9;12.0;14.5;17.3;17.0;13.0;9.8;7.2;4.2;8.7;16.3;10.0;4.2;10.0
2003;4.6;3.8;5.4;6.9;12.0;14.0;16.4;15.2;12.6;9.2;7.4;4.8;8.1;15.2;9.7;4.7;9.3
2004;4.2;5.1;6.3;8.0;10.1;13.5;16.1;16.5;13.1;10.8;7.0;5.2;8.1;15.4;10.3;4.8;9.7
2005;4.9;4.4;5.3;8.0;11.5;13.4;17.0;16.9;14.2;10.2;6.3;5.0;8.3;15.8;10.2;4.5;9.8
2006;3.8;4.6;5.9;8.8;10.6;14.7;16.2;16.5;13.9;10.4;7.3;5.6;8.4;15.8;10.5;5.8;9.9
2007;5.8;6.0;6.7;7.1;11.8;15.0;15.7;17.0;12.9;10.1;6.2;4.8;8.6;15.9;9.7;5.2;9.9
2008;5.2;5.6;6.3;8.7;11.3;14.7;16.0;16.5;13.0;10.8;7.2;5.5;8.8;15.7;10.3;5.1;10.1
2009;4.7;5.2;6.3;7.9;10.2;14.2;16.5;16.2;13.8;10.3;7.9;5.5;8.1;15.6;10.7;5.2;9.9
2010;4.6;5.5;6.1;8.4;12.5;15.4;18.3;17.9;13.7;8.7;8.0;4.7;9.0;17.2;10.1;4.8;10.3
2011;5.0;4.6;6.0;7.9;10.7;14.6;17.1;17.1;14.1;9.2;5.7;5.7;8.2;16.3;9.7;4.8;9.8
2012;4.8;3.8;5.7;8.6;11.4;15.6;17.3;15.6;13.7;10.6;7.6;4.7;8.5;16.2;10.6;5.0;9.9
2013;4.8;5.5;5.8;8.6;11.9;15.9;15.7;15.7;12.5;10.6;7.9;5.0;8.7;15.8;10.3;5.7;10.0
2014;5.9;6.3;7.0;9.4;11.5;13.3;17.5;16.8;14.6;11.3;7.7;5.6;9.3;15.9;11.2;5.5;10.6
2015;5.4;5.3;6.2;7.1;11.4;14.1;16.5;16.8;14.7;10.3;7.4;6.1;8.3;15.8;10.8;5.9;10.1
2016;4.7;6.8;6.7;9.0;11.0;15.7;16.8;16.2;14.5;9.9;6.6;4.5;8.9;16.2;10.4;4.6;10.2
2017;3.5;5.6;6.8;7.8;11.7;14.7;16.0;16.8;13.7;10.2;7.1;5.6;8.8;15.8;10.3;5.4;10.0
2018;5.6;4.9;6.1;9.7;12.3;15.7;17.2;17.6;13.8;10.3;7.4;5.3;9.4;16.8;10.5;5.1;10.5
2019;4.6;5.4;6.3;8.4;11.5;16.6;15.8;17.7;13.3;10.4;8.7;5.8;8.7;16.7;10.8;5.5;10.4
2020;4.9;5.8;6.1;6.4;9.6;16.3;16.8;17.4;14.6;11.5;7.2;6.1;7.4;16.8;11.1;5.6;10.2
2021;5.2;5.6;5.6;7.4;10.4;14.8;18.3;16.6;13.6;9.1;7.2;5.2;7.8;16.5;10.0;5.2;9.9
2022;4.9;5.5;4.9;7.6;10.5;14.2;15.3;17.3;13.8;11.2;7.7;5.8;7.7;15.6;10.9;5.8;9.9
2023;6.2;5.4;6.5;7.9;10.8;15.1;17.3;17.6;15.3;11.4;7.3;5.8;8.4;16.6;11.3;6.0;10.5
2024;5.2;7.0;7.5;9.3;11.3;16.5;18.1;17.6;14.1;10.6;6.3;5.6;9.4;17.4;10.3;-999.0;10.7
