Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Switzerland          : parameter = Vapour Pressure                : Units = hPa                 
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;3.2;4.1;5.0;5.5;7.5;10.2;13.5;12.9;12.3;7.7;5.7;5.6;6.0;12.2;8.6;4.8;7.8
1902;4.4;4.4;5.0;6.0;6.7;10.7;12.8;12.9;9.6;9.3;4.5;5.4;5.9;12.1;7.8;4.8;7.6
1903;3.9;5.1;4.9;6.0;6.8;9.8;12.7;13.3;10.8;8.5;5.9;5.3;5.9;12.0;8.4;4.6;7.8
1904;3.6;4.7;6.2;6.7;7.5;10.0;12.2;13.2;9.2;8.8;4.9;5.8;6.8;11.8;7.6;4.3;7.7
1905;3.1;4.0;5.2;6.1;7.6;10.7;12.8;11.5;10.3;5.7;5.0;4.2;6.3;11.7;7.0;4.0;7.2
1906;4.1;3.7;4.3;5.8;8.7;9.9;11.7;12.0;9.6;8.6;6.3;3.3;6.3;11.2;8.2;3.4;7.3
1907;3.6;3.3;4.4;5.9;8.4;10.3;10.1;11.4;10.2;8.4;5.7;4.6;6.2;10.6;8.1;3.9;7.2
1908;2.8;4.4;4.2;5.5;9.3;11.7;11.7;10.6;9.7;7.0;4.7;3.8;6.3;11.4;7.1;3.4;7.1
1909;3.2;3.2;4.1;6.5;7.4;9.4;10.4;11.6;9.8;8.5;4.7;4.6;6.0;10.5;7.7;4.6;6.9
1910;4.4;4.7;4.7;6.0;8.2;11.3;11.0;11.6;9.7;8.1;4.8;5.3;6.3;11.3;7.6;4.3;7.5
1911;3.3;4.3;4.8;5.8;9.1;10.2;13.5;13.8;11.0;7.4;5.9;5.3;6.5;12.5;8.1;4.8;7.9
1912;4.1;5.0;6.1;6.0;8.6;10.7;11.8;10.3;8.2;6.5;5.0;5.2;6.9;10.9;6.6;4.6;7.3
1913;4.5;4.1;5.7;6.4;8.6;10.5;10.2;10.9;10.0;8.3;7.1;4.6;6.9;10.5;8.4;4.1;7.6
1914;2.8;5.0;5.5;7.3;8.0;9.8;11.3;12.2;9.8;7.5;5.3;5.2;6.9;11.1;7.5;4.6;7.5
1915;4.3;4.3;4.5;5.8;9.3;11.5;11.1;11.2;9.2;6.6;4.3;5.7;6.5;11.3;6.7;5.3;7.3
1916;5.7;4.4;4.9;6.5;9.0;9.1;11.1;11.9;9.5;8.0;5.8;4.5;6.8;10.7;7.8;3.5;7.5
1917;3.3;2.7;3.8;5.1;9.6;12.4;11.9;11.8;11.1;6.5;6.2;2.9;6.2;12.0;7.9;3.8;7.3
1918;4.1;4.5;4.5;6.7;9.5;9.1;11.6;11.6;10.2;7.1;5.2;5.8;6.9;10.8;7.5;4.5;7.5
1919;4.3;3.6;4.7;5.5;8.4;10.4;9.8;11.9;10.9;5.9;4.3;4.7;6.2;10.7;7.0;4.8;7.0
1920;5.0;4.9;5.6;7.2;9.8;10.7;11.4;10.6;10.5;7.1;4.4;4.2;7.5;10.9;7.3;4.8;7.6
1921;5.9;4.3;5.1;6.1;9.2;10.6;13.4;11.8;10.8;9.1;3.8;4.2;6.8;11.9;7.9;3.8;7.9
1922;3.5;3.7;4.8;5.7;9.3;11.2;10.9;11.0;9.4;6.4;4.9;4.9;6.6;11.0;6.9;4.9;7.1
1923;4.6;5.2;5.5;6.2;8.1;8.8;13.6;11.6;9.7;8.9;4.9;3.7;6.6;11.4;7.8;3.5;7.6
1924;3.4;3.4;4.3;6.3;9.6;10.9;11.8;10.3;10.7;8.2;5.5;4.6;6.7;11.0;8.1;4.9;7.4
1925;4.8;5.2;4.2;6.5;9.2;10.6;12.0;12.0;8.8;7.6;4.7;3.8;6.6;11.6;7.1;4.6;7.5
1926;4.1;6.0;5.3;7.1;7.8;9.8;11.8;11.8;11.5;7.3;6.3;3.9;6.7;11.1;8.4;4.3;7.7
1927;4.7;4.2;5.5;6.7;8.2;10.1;12.3;12.1;10.8;7.5;5.4;3.3;6.8;11.5;7.9;4.3;7.6
1928;4.8;4.8;4.7;6.4;7.5;10.2;13.0;12.3;9.7;7.4;6.6;4.1;6.2;11.8;7.9;2.8;7.6
1929;2.6;1.8;4.3;5.1;8.5;10.4;12.1;11.6;11.7;8.0;5.7;5.3;6.0;11.3;8.4;4.7;7.2
1930;5.0;3.8;4.7;6.9;8.1;11.7;11.3;11.6;10.7;7.8;6.4;4.2;6.6;11.5;8.3;4.1;7.7
1931;4.3;3.7;3.5;5.9;9.4;11.2;11.8;11.4;8.1;6.4;6.2;4.0;6.3;11.5;6.9;4.0;7.2
1932;4.7;3.2;3.7;6.0;8.4;10.1;11.9;13.2;11.8;7.3;5.7;4.4;6.0;11.7;8.3;3.9;7.5
1933;3.2;4.1;5.2;6.3;8.3;10.1;12.4;12.5;10.6;7.7;5.0;2.4;6.6;11.7;7.8;3.5;7.3
1934;4.1;4.0;4.7;7.2;8.5;10.6;12.3;11.5;11.5;8.3;5.3;6.5;6.8;11.5;8.4;5.1;7.9
1935;4.1;4.8;4.5;6.6;7.3;11.7;12.3;11.7;10.5;7.6;6.2;4.1;6.1;11.9;8.1;4.5;7.6
1936;5.4;4.0;5.4;5.7;8.8;10.9;11.8;11.9;10.7;6.4;5.7;4.5;6.7;11.5;7.6;4.8;7.6
1937;4.5;5.4;4.5;6.8;9.4;11.0;11.8;12.2;10.0;7.9;5.1;3.8;6.9;11.6;7.7;4.2;7.7
1938;4.7;4.1;5.9;5.3;7.4;10.8;11.2;12.3;10.8;7.3;7.2;3.3;6.2;11.4;8.4;4.3;7.5
1939;5.2;4.4;4.4;7.1;8.1;10.9;11.5;12.3;10.6;6.9;6.7;3.6;6.5;11.5;8.1;2.7;7.6
1940;1.5;3.1;4.8;6.7;8.5;11.0;11.1;10.5;9.8;7.0;6.1;3.1;6.7;10.9;7.7;3.2;6.9
1941;2.5;4.0;4.9;5.9;6.6;11.2;12.6;11.1;9.7;7.5;5.1;4.6;5.8;11.7;7.4;2.8;7.1
1942;1.7;2.1;4.3;6.7;8.2;10.1;11.6;12.1;11.2;9.4;5.5;4.7;6.4;11.3;8.7;4.6;7.3
1943;4.4;4.9;5.0;6.9;8.8;10.2;11.7;12.6;10.2;8.3;5.0;4.0;6.9;11.5;7.8;4.3;7.7
1944;5.3;3.7;4.0;7.1;7.7;10.0;11.9;13.3;9.8;7.3;5.5;3.9;6.3;11.7;7.5;3.9;7.5
1945;2.3;5.5;5.8;7.1;9.5;11.3;12.5;12.0;11.1;8.2;5.4;4.4;7.5;12.0;8.2;4.3;7.9
1946;3.1;5.4;4.9;7.0;8.8;10.5;12.7;11.6;10.9;7.3;5.9;3.1;6.9;11.6;8.1;2.8;7.6
1947;2.7;2.6;4.6;7.1;9.9;12.1;13.6;13.6;12.1;7.0;6.3;4.8;7.2;13.1;8.5;4.9;8.0
1948;5.5;4.3;5.7;6.9;9.1;10.6;11.4;12.1;10.3;7.5;5.5;4.3;7.2;11.4;7.8;4.4;7.8
1949;4.4;4.3;4.0;7.4;8.1;9.9;12.3;12.3;12.4;8.5;5.3;5.0;6.5;11.5;8.8;4.6;7.8
1950;3.7;5.1;5.2;6.0;9.2;12.1;13.3;12.5;10.2;7.3;5.7;3.1;6.8;12.6;7.8;4.3;7.8
1951;4.9;4.8;4.3;5.7;8.1;10.3;11.3;11.8;11.2;6.2;6.8;4.5;6.0;11.1;8.1;4.1;7.5
1952;4.0;3.8;5.1;7.1;8.9;10.6;12.7;12.6;8.4;6.6;4.5;3.7;7.0;12.0;6.5;3.7;7.3
1953;3.4;3.9;4.5;6.5;8.9;10.9;12.1;11.5;10.0;8.5;5.8;5.3;6.6;11.5;8.1;3.8;7.6
1954;2.9;3.1;5.2;5.5;8.2;10.7;10.4;11.4;10.2;8.4;5.8;5.3;6.3;10.9;8.1;4.0;7.3
1955;3.4;3.4;3.5;6.1;7.2;10.2;12.6;12.2;10.3;6.7;5.4;5.0;5.6;11.7;7.5;3.6;7.2
1956;4.0;1.9;4.7;5.4;8.2;9.3;11.7;10.1;10.9;7.3;4.9;5.2;6.1;10.4;7.7;4.9;7.0
1957;4.1;5.5;6.3;6.2;7.1;10.9;12.6;11.3;9.8;7.5;5.9;4.0;6.5;11.6;7.7;4.2;7.6
1958;3.9;4.6;3.6;5.2;8.9;10.2;11.9;12.6;11.7;8.2;5.6;4.9;5.9;11.6;8.5;4.1;7.6
1959;3.7;3.6;5.7;7.0;8.8;10.7;13.1;12.2;10.3;7.2;5.1;5.0;7.2;12.0;7.6;4.4;7.7
1960;3.8;4.4;5.3;6.4;8.7;11.1;10.6;11.6;9.7;8.1;6.5;4.3;6.8;11.1;8.1;4.4;7.5
1961;3.9;4.8;5.2;7.0;8.3;10.7;11.7;11.9;11.3;8.1;5.5;4.2;6.8;11.4;8.3;4.2;7.7
1962;4.2;4.1;4.4;6.2;8.3;10.3;11.7;11.7;10.3;8.0;5.5;3.7;6.3;11.2;7.9;3.5;7.4
1963;3.1;3.5;4.9;6.5;8.4;11.0;12.0;11.8;10.5;8.0;6.1;3.9;6.6;11.6;8.2;4.0;7.5
1964;3.8;4.4;4.7;6.6;9.2;10.8;12.5;12.0;10.5;7.4;5.8;4.1;6.8;11.8;7.9;4.0;7.6
1965;3.9;4.0;4.9;6.4;8.7;10.9;11.8;12.0;10.2;8.1;5.2;4.4;6.7;11.5;7.8;4.4;7.5
1966;3.9;4.8;4.9;6.7;8.6;11.2;11.9;11.9;10.7;8.4;5.3;4.4;6.7;11.7;8.1;4.4;7.7
1967;4.2;4.5;5.1;6.3;8.7;10.7;12.6;12.2;10.7;8.0;5.4;4.2;6.7;11.9;8.1;4.1;7.7
1968;4.0;4.0;4.9;6.5;8.5;11.1;12.0;12.4;10.9;8.6;5.6;4.0;6.6;11.8;8.4;4.1;7.7
1969;4.4;3.9;4.7;6.2;8.8;10.7;12.6;12.4;10.9;8.7;5.4;4.1;6.6;11.9;8.3;4.1;7.7
1970;4.2;4.1;4.6;6.2;8.9;11.3;11.9;12.2;10.7;7.9;5.8;4.2;6.5;11.8;8.1;4.1;7.6
1971;3.7;4.3;4.0;6.4;9.9;10.3;13.1;12.6;9.4;7.3;5.1;4.8;6.8;12.0;7.3;4.5;7.6
1972;3.8;4.9;4.9;6.6;8.1;9.5;13.0;11.8;8.9;6.5;5.7;4.2;6.5;11.5;7.0;4.1;7.3
1973;3.9;4.3;4.2;5.7;8.8;11.2;12.2;12.9;10.8;7.1;5.2;4.0;6.3;12.1;7.7;4.7;7.5
1974;5.2;4.8;5.9;6.0;8.4;10.3;11.3;12.1;10.0;6.1;5.7;5.7;6.8;11.2;7.3;5.2;7.6
1975;5.6;4.2;4.9;6.7;7.8;9.8;12.5;13.4;10.5;7.2;5.6;4.1;6.5;11.9;7.8;4.4;7.7
1976;4.5;4.7;4.0;5.3;8.0;10.4;12.0;10.4;10.1;8.6;5.7;3.4;5.8;10.9;8.1;4.4;7.2
1977;4.2;5.5;5.8;5.7;8.0;10.6;12.1;11.8;9.2;8.7;5.8;4.8;6.5;11.5;7.9;4.3;7.7
1978;4.0;4.1;5.6;6.1;8.9;10.6;11.8;11.2;10.0;7.9;5.3;4.3;6.9;11.2;7.7;3.4;7.5
1979;2.2;3.7;5.2;6.0;8.5;11.3;11.6;11.6;10.1;8.6;5.6;5.1;6.5;11.5;8.1;4.6;7.4
1980;3.2;5.3;5.2;5.8;7.2;10.3;11.7;12.9;11.2;7.0;4.9;4.0;6.1;11.6;7.7;3.9;7.4
1981;4.0;3.6;6.9;6.9;9.2;10.4;12.4;12.9;10.7;7.3;6.0;3.7;7.6;11.9;8.0;4.0;7.8
