Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Austria              : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;11.2;12.2;17.6;16.5;12.9;16.7;15.6;14.5;14.7;11.8;12.1;15.9;47.0;46.7;38.6;45.5;171.7
1902;14.6;14.9;16.0;11.7;18.9;17.1;17.1;14.2;10.9;13.8;5.9;16.4;46.6;48.5;30.6;41.7;171.6
1903;14.4;10.9;12.2;17.8;12.6;15.9;20.2;15.5;12.9;14.4;17.1;14.6;42.6;51.6;44.5;41.8;178.7
1904;9.8;17.4;15.2;15.5;16.0;15.7;10.9;14.6;15.5;14.8;13.9;14.6;46.8;41.3;44.3;42.0;174.1
1905;13.2;14.2;16.2;15.4;16.2;14.0;14.9;17.2;11.9;14.5;18.5;9.8;47.7;46.1;44.9;37.1;175.9
1906;13.0;14.3;16.9;14.6;15.9;17.7;17.9;14.0;16.3;9.2;14.5;17.6;47.3;49.6;40.0;45.2;181.9
1907;17.3;10.3;14.3;18.5;13.9;15.5;18.6;13.5;10.6;12.4;10.3;17.3;46.7;47.6;33.3;42.5;172.6
1908;10.6;14.5;12.7;17.6;15.5;14.3;15.9;15.4;12.0;5.3;9.9;11.6;45.8;45.6;27.2;39.1;155.4
1909;12.1;15.4;15.7;13.0;15.4;16.8;17.0;16.2;12.9;11.3;11.6;18.1;44.0;49.9;35.9;52.6;175.5
1910;18.6;15.9;11.6;16.3;18.7;19.2;17.3;17.2;15.2;9.4;18.2;14.6;46.6;53.7;42.8;38.1;192.2
1911;10.9;12.6;14.1;13.4;17.8;15.5;10.9;13.0;13.2;13.2;11.7;18.3;45.3;39.5;38.1;46.5;164.6
1912;14.2;14.0;17.2;15.0;18.4;17.3;17.1;16.3;15.9;13.7;13.3;11.6;50.7;50.7;42.8;33.6;184.1
1913;13.8;8.3;12.7;14.1;15.9;16.8;19.8;15.7;14.3;9.8;17.3;17.6;42.7;52.3;41.4;40.7;176.2
1914;13.3;9.8;17.9;13.4;19.4;17.1;20.4;12.9;15.2;11.4;10.8;15.1;50.7;50.4;37.4;49.6;176.6
1915;20.3;14.2;17.2;14.5;13.3;16.7;18.7;16.2;13.8;13.6;14.0;15.4;45.0;51.6;41.4;49.2;187.9
1916;16.8;16.9;16.1;17.7;15.2;18.1;17.6;15.0;15.8;11.2;15.1;18.2;49.0;50.8;42.2;45.6;193.9
1917;18.6;8.8;15.2;18.1;9.9;10.5;15.7;14.8;9.6;16.2;13.7;14.6;43.1;41.0;39.6;36.8;165.7
1918;10.7;11.5;11.4;14.6;13.1;19.6;17.8;17.1;13.9;14.6;10.5;18.9;39.1;54.5;39.0;46.4;173.6
1919;15.8;11.7;15.8;17.8;14.9;16.9;17.3;12.4;11.7;13.6;17.4;16.2;48.5;46.6;42.7;43.3;181.5
1920;17.6;9.5;12.6;16.0;16.3;17.4;18.7;16.2;13.7;4.8;4.9;16.8;44.8;52.3;23.4;46.6;164.4
1921;17.3;12.5;6.6;18.3;14.2;16.6;12.6;13.5;9.3;11.1;12.2;12.8;39.1;42.8;32.6;43.5;157.2
1922;18.6;12.1;15.5;16.9;12.8;15.3;14.9;13.8;17.6;15.8;13.0;15.2;45.3;44.0;46.3;46.4;181.5
1923;16.7;14.5;13.7;16.3;12.6;18.4;13.6;13.5;12.7;14.4;15.4;18.1;42.6;45.4;42.5;43.0;179.9
1924;12.0;12.8;11.3;16.3;17.7;19.4;16.3;15.6;13.5;9.4;7.0;10.8;45.2;51.4;29.9;33.8;162.1
1925;8.5;14.5;13.4;17.3;16.1;16.4;17.2;17.6;13.2;10.8;16.2;14.5;46.8;51.2;40.2;41.6;175.8
1926;13.9;13.3;15.9;13.8;17.8;21.0;19.1;13.2;11.1;13.9;12.0;15.1;47.6;53.3;37.1;43.3;180.2
1927;18.3;10.0;16.2;17.7;13.7;17.6;15.8;16.5;15.3;8.8;14.4;10.8;47.6;50.0;38.5;37.7;175.1
1928;12.8;14.1;12.7;14.6;18.1;16.5;11.2;15.9;14.0;10.9;15.2;15.7;45.5;43.7;40.1;41.1;171.8
1929;15.0;10.4;7.6;14.7;15.9;16.4;14.7;14.8;8.5;13.5;13.7;16.3;38.3;45.9;35.7;37.2;161.5
1930;9.8;11.2;15.1;17.0;16.6;11.0;16.6;16.3;14.1;16.4;13.2;14.3;48.7;43.8;43.6;45.3;171.4
1931;14.7;16.3;13.6;15.2;12.0;17.0;17.3;17.3;15.6;12.1;12.4;13.1;40.7;51.6;40.1;35.0;176.5
1932;13.3;8.5;13.1;13.7;17.8;13.9;16.6;13.1;9.3;14.4;13.0;8.7;44.5;43.6;36.7;36.5;155.4
1933;13.6;14.2;10.8;14.2;19.9;18.8;16.2;14.6;12.8;15.4;14.7;14.1;44.8;49.7;42.9;38.0;179.3
1934;13.6;10.3;12.2;11.5;13.3;18.7;14.8;17.9;12.2;12.6;12.9;14.9;37.0;51.4;37.7;48.3;164.8
1935;14.4;19.0;14.5;17.7;17.9;13.0;13.4;13.5;11.9;16.8;12.4;14.9;50.0;39.9;41.0;47.3;179.3
1936;16.4;16.0;11.4;15.3;19.6;16.2;18.1;12.7;12.9;15.0;10.4;14.1;46.3;46.9;38.3;44.1;178.0
1937;14.0;16.0;18.4;16.4;12.5;17.1;17.6;17.5;17.1;12.0;13.6;17.0;47.2;52.2;42.6;43.2;189.1
1938;15.9;10.4;13.0;13.4;17.8;14.2;16.8;18.2;11.5;10.7;11.8;14.2;44.2;49.3;34.0;38.6;168.0
1939;14.9;9.5;16.1;9.9;19.9;15.5;15.8;13.8;14.1;16.8;15.0;14.8;45.8;45.2;46.0;40.9;176.2
1940;13.4;12.7;15.2;12.4;20.6;16.2;17.5;15.4;14.2;12.4;13.7;10.4;48.1;49.1;40.3;40.3;174.1
1941;14.9;15.0;15.9;16.7;16.4;15.3;19.4;16.4;10.7;14.0;13.1;12.9;49.0;51.0;37.9;37.4;180.7
1942;13.0;11.5;10.9;15.4;16.6;15.7;16.7;13.5;10.6;11.6;12.4;9.3;42.9;45.8;34.6;33.9;157.2
