Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Belarus              : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;15.7;15.6;16.2;14.9;10.7;15.9;12.7;12.8;11.8;11.7;18.5;22.8;41.9;41.4;42.0;59.6;179.3
1902;22.1;14.7;16.3;14.1;15.7;14.9;16.9;15.0;12.1;14.4;8.8;15.7;46.2;46.8;35.3;51.9;180.7
1903;18.5;17.7;12.5;15.3;15.3;17.5;18.9;13.9;8.9;17.2;17.4;13.7;43.2;50.3;43.5;45.8;186.9
1904;13.9;18.1;9.8;10.8;12.7;12.8;12.1;14.4;11.7;15.0;19.0;24.2;33.3;39.3;45.6;55.2;174.5
1905;19.1;11.9;12.6;15.0;15.0;11.2;15.9;11.9;16.0;18.9;20.5;18.2;42.6;38.9;55.4;52.6;186.1
1906;19.8;14.6;18.0;13.1;14.4;15.3;17.5;13.7;14.2;14.2;20.1;24.3;45.5;46.5;48.4;56.8;199.0
1907;18.8;13.7;12.2;14.1;11.6;14.1;17.7;13.2;8.6;8.7;14.2;24.6;37.9;45.0;31.5;66.8;171.6
1908;21.9;20.3;14.3;13.9;14.6;14.2;12.3;16.9;15.0;11.7;13.3;14.8;42.8;43.4;40.0;45.4;183.2
1909;16.0;14.6;15.3;13.7;12.7;14.4;16.9;8.9;12.6;13.0;19.7;19.1;41.7;40.3;45.4;57.6;177.0
1910;23.7;14.8;12.6;13.4;11.8;11.5;16.2;17.4;12.8;9.4;22.0;20.2;37.9;45.0;44.2;57.7;185.8
1911;19.8;17.7;11.2;12.5;10.7;14.4;13.2;12.1;12.1;14.3;14.4;14.8;34.4;39.6;40.7;51.9;166.9
1912;19.9;17.2;19.6;14.9;14.8;13.7;13.4;13.7;18.5;16.0;14.9;23.6;49.3;40.8;49.3;52.6;200.2
1913;14.5;14.5;12.9;15.5;11.8;13.8;18.9;12.8;11.2;11.3;18.9;25.3;40.2;45.5;41.4;58.8;181.3
1914;20.8;12.8;18.9;12.1;12.0;11.2;14.6;10.2;15.7;15.8;12.9;15.3;43.0;36.0;44.4;56.7;172.2
1915;25.9;15.4;18.3;12.2;12.1;9.9;14.6;13.2;14.7;7.6;19.8;26.6;42.7;37.7;42.1;67.1;190.5
1916;23.3;17.2;14.9;13.2;11.6;16.4;16.9;14.8;14.1;18.2;17.2;22.4;39.8;48.2;49.5;56.8;200.4
1917;18.5;15.9;15.2;16.1;8.6;11.7;17.9;14.2;14.7;15.7;19.5;17.6;40.0;43.8;49.9;54.5;185.8
1918;22.2;14.7;9.6;7.9;8.3;14.1;17.3;13.3;14.3;11.6;14.4;20.1;25.8;44.7;40.3;49.8;167.7
1919;15.0;14.7;14.9;11.5;10.0;16.3;15.3;13.7;12.3;12.6;16.3;20.4;36.4;45.3;41.2;53.4;173.1
1920;19.3;13.7;12.7;11.1;12.5;13.2;12.6;12.0;12.7;10.2;12.0;15.4;36.3;37.8;34.9;49.2;157.4
1921;23.3;10.5;11.3;12.6;12.8;15.5;14.0;11.1;12.8;13.8;15.6;19.9;36.7;40.7;42.3;59.5;173.4
1922;20.7;18.9;18.4;13.7;14.2;14.4;15.6;14.7;13.9;15.7;16.9;21.4;46.3;44.6;46.6;53.0;198.3
1923;18.8;12.8;11.2;12.1;14.6;14.0;14.0;15.5;14.4;18.0;22.8;18.5;37.8;43.5;55.2;52.9;186.6
1924;15.8;18.6;14.9;15.3;13.2;14.5;16.1;14.2;9.3;10.2;14.1;13.1;43.3;44.8;33.6;45.4;169.3
1925;16.9;15.4;15.8;11.2;10.9;16.8;14.2;17.3;15.3;15.3;16.8;22.4;37.9;48.3;47.4;58.3;188.3
1926;17.7;18.1;14.7;11.0;11.8;14.7;13.5;13.2;14.8;18.5;14.4;22.2;37.6;41.3;47.7;48.8;184.7
1927;14.6;11.9;15.4;14.6;16.6;15.4;14.6;14.5;16.5;15.2;20.9;14.1;46.6;44.6;52.6;45.4;184.5
1928;16.6;14.7;7.9;13.2;16.6;15.8;12.4;14.1;14.5;14.3;19.3;21.7;37.7;42.3;48.1;49.2;181.2
1929;15.7;11.8;12.6;13.3;13.3;13.3;14.5;11.6;14.1;15.1;16.3;19.7;39.1;39.4;45.5;44.5;171.2
1930;12.2;12.5;16.0;13.1;12.5;11.1;16.9;16.7;13.4;17.9;21.9;20.7;41.6;44.8;53.2;56.2;185.0
1931;20.6;14.9;14.1;12.2;11.2;13.6;13.5;15.9;16.8;16.4;16.6;21.8;37.4;42.9;49.8;49.1;187.4
1932;13.1;14.2;10.9;12.8;16.2;15.9;12.9;14.1;14.5;20.9;13.7;18.8;39.9;43.0;49.0;48.4;178.0
1933;12.1;17.5;11.5;13.8;15.8;17.3;15.1;16.7;16.9;17.2;18.3;16.2;41.2;49.0;52.3;45.0;188.3
1934;13.5;15.4;14.4;11.6;11.9;12.4;19.0;12.4;9.2;13.8;19.3;10.7;37.9;43.8;42.2;48.9;163.5
1935;19.5;18.6;12.5;14.7;13.5;14.3;17.7;12.0;15.1;16.5;10.7;21.7;40.7;44.0;42.3;60.8;186.8
1936;23.5;15.6;12.4;16.3;8.9;12.8;13.0;14.2;15.1;17.2;16.0;17.0;37.6;39.9;48.2;48.6;181.8
1937;13.7;17.9;16.3;14.6;10.3;11.1;16.6;14.3;9.9;12.1;19.0;24.4;41.3;41.9;41.0;53.8;180.2
1938;18.6;10.8;15.0;15.3;12.8;12.7;15.7;10.0;10.5;17.2;16.6;16.7;43.1;38.4;44.4;53.7;172.0
1939;20.9;16.1;14.0;13.7;14.4;12.5;12.2;6.7;13.1;16.9;16.2;18.0;42.1;31.5;46.2;50.9;174.8
1940;16.8;16.0;16.6;9.7;12.0;9.5;14.8;15.8;17.0;10.9;17.2;14.9;38.3;40.1;45.2;46.7;171.4
1941;16.2;15.6;14.7;13.5;13.5;12.6;14.6;14.1;11.6;14.0;12.5;20.3;41.7;41.2;38.1;50.4;173.1
1942;16.3;13.8;9.8;11.9;13.8;13.8;15.6;10.1;12.1;13.3;13.3;18.5;35.5;39.5;38.7;51.6;162.4
1943;18.1;15.0;11.4;12.6;14.3;13.6;19.8;12.4;13.7;9.8;17.2;16.2;38.3;45.8;40.7;49.3;174.2
1944;17.0;16.1;13.6;9.9;15.3;12.4;13.0;11.3;9.5;6.7;17.6;8.9;38.8;36.8;33.8;39.8;151.3
1945;15.8;15.1;14.4;13.0;13.7;13.7;20.0;18.1;19.0;17.9;12.5;13.9;41.1;51.8;49.4;40.1;187.1
1946;8.3;17.8;12.9;9.7;8.1;16.3;13.8;14.0;19.2;14.2;8.1;9.0;30.7;44.2;41.6;38.2;151.7
1947;17.1;12.1;15.9;16.3;6.6;13.9;14.0;17.3;9.9;10.0;20.2;21.9;38.8;45.1;40.0;51.2;175.1
1948;19.1;10.2;9.1;9.4;13.2;16.7;12.6;13.7;14.2;16.1;18.1;9.2;31.7;43.0;48.4;39.4;161.7
1949;16.3;13.9;11.2;13.1;10.0;16.7;18.9;12.7;5.5;7.3;16.9;18.9;34.3;48.3;29.7;48.0;161.4
1950;13.7;15.3;8.0;15.4;10.1;16.2;13.8;14.7;16.0;16.4;17.8;16.7;33.6;44.8;50.2;43.5;174.3
1951;15.9;10.9;17.6;11.1;14.6;10.4;13.7;7.1;9.6;6.6;15.7;16.4;43.2;31.2;31.9;50.6;149.5
1952;16.2;18.0;10.5;7.3;15.1;16.0;10.7;14.6;20.0;20.8;18.2;17.5;32.9;41.3;59.0;51.3;184.9
1953;18.2;15.6;7.5;12.0;14.3;12.9;15.0;14.9;15.1;7.5;10.0;11.7;33.7;42.8;32.6;38.4;154.6
1954;17.5;9.2;10.0;14.6;11.7;9.4;17.8;14.2;14.5;16.9;13.3;20.7;36.2;41.4;44.6;54.6;169.6
1955;17.4;16.5;12.5;13.5;16.2;9.9;13.9;7.1;13.9;10.7;14.7;21.9;42.3;30.9;39.3;53.6;168.3
1956;17.0;14.6;9.3;15.2;12.0;15.0;17.2;19.2;11.1;18.0;16.5;15.1;36.5;51.4;45.6;46.2;180.3
1957;14.7;16.3;12.2;9.0;12.6;13.8;13.7;17.8;20.3;11.4;11.5;13.2;33.8;45.3;43.2;53.4;166.6
1958;20.9;19.3;17.1;13.5;14.4;16.5;14.4;15.4;10.5;15.9;11.5;22.9;45.0;46.3;38.0;54.5;192.3
1959;19.6;12.0;7.4;11.5;10.1;12.7;8.1;12.1;16.8;11.5;15.8;16.7;29.0;32.9;44.1;48.9;154.3
1960;18.2;13.9;5.8;9.3;13.4;13.0;16.1;14.1;13.2;16.7;19.1;18.2;28.6;43.2;49.1;45.2;171.2
1961;16.7;10.3;16.8;9.6;13.3;11.1;13.2;17.9;12.2;5.1;16.2;18.4;39.7;42.2;33.5;48.8;160.8
1962;15.2;15.3;15.0;12.0;18.1;14.6;18.8;17.1;16.8;8.6;14.1;16.3;45.1;50.5;39.5;49.6;181.9
1963;19.3;14.1;11.2;7.3;12.0;11.3;8.7;13.4;10.5;14.0;18.2;15.6;30.4;33.5;42.6;43.0;155.4
1964;11.6;15.8;12.8;11.9;11.6;7.3;11.1;12.2;14.0;11.7;17.9;17.8;36.3;30.6;43.5;51.1;155.7
1965;16.7;16.7;13.2;8.4;13.1;13.9;15.0;14.1;10.3;10.4;16.9;18.7;34.7;43.1;37.6;66.3;167.4
1966;26.4;21.3;20.4;15.8;15.3;13.0;17.1;9.5;18.5;12.9;15.5;24.6;51.4;39.5;47.0;62.4;210.2
1967;21.4;16.3;19.3;16.2;14.6;14.1;8.7;16.0;8.3;14.8;20.3;25.5;50.1;38.7;43.3;64.1;195.4
1968;22.3;16.3;14.1;13.1;16.0;12.1;13.9;11.4;11.1;19.9;12.2;17.2;43.3;37.3;43.1;43.7;179.5
1969;12.7;13.8;8.4;15.1;15.7;14.8;9.9;14.7;11.0;14.8;21.6;17.7;39.1;39.4;47.4;53.8;170.1
1970;19.3;16.8;17.9;16.8;10.4;14.5;16.0;12.2;19.3;16.1;18.7;23.5;45.1;42.8;54.0;58.0;201.5
1971;14.7;19.8;16.8;10.9;7.1;13.0;9.7;9.4;16.6;17.9;16.1;22.8;34.8;32.0;50.6;39.1;174.8
1972;9.4;6.8;10.7;14.0;14.3;12.6;13.6;10.8;15.2;15.2;23.1;11.3;39.1;37.0;53.6;40.4;157.3
