Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Belgium              : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;15.8;11.9;17.9;18.6;11.4;13.4;13.2;14.4;17.9;18.3;14.5;19.4;47.9;41.0;50.8;49.1;186.8
1902;16.4;13.3;15.6;15.2;18.9;12.9;13.5;18.1;14.6;15.3;12.7;18.2;49.7;44.5;42.6;49.2;184.6
1903;18.3;12.7;17.0;21.6;14.6;13.9;16.9;17.1;17.4;20.5;18.4;11.9;53.3;47.8;56.3;46.7;200.3
1904;17.5;17.3;16.3;12.1;15.3;13.5;10.9;13.1;14.6;14.5;16.4;18.9;43.6;37.4;45.6;47.8;180.3
1905;15.9;13.0;20.9;15.8;13.7;17.1;15.3;17.7;16.9;20.2;18.6;13.4;50.4;50.0;55.7;53.8;198.4
1906;24.0;16.4;19.1;14.0;19.0;12.2;13.9;14.8;11.7;16.2;19.3;18.6;52.0;40.9;47.2;47.5;199.1
1907;16.1;12.8;15.4;15.6;16.8;16.0;13.7;13.8;11.2;18.1;14.3;18.6;47.8;43.5;43.6;50.7;182.4
1908;15.2;16.9;16.3;15.6;17.1;14.1;16.0;17.7;13.9;7.3;16.6;13.8;49.0;47.8;37.7;41.3;180.4
1909;15.0;12.5;18.5;17.9;12.8;15.0;18.7;16.1;16.1;19.1;15.0;22.8;49.3;49.8;50.3;63.8;199.6
1910;21.6;19.4;13.3;16.6;17.2;17.6;18.8;14.2;16.4;12.8;23.7;19.3;47.2;50.6;52.8;47.8;210.9
1911;14.3;14.2;17.9;13.3;13.0;16.7;9.1;8.6;13.4;18.9;19.0;21.7;44.2;34.4;51.2;56.8;179.9
1912;20.1;15.0;20.2;11.6;14.7;17.1;13.0;21.9;16.6;18.3;19.0;19.1;46.6;51.9;53.9;52.0;206.6
1913;21.5;11.5;19.3;15.6;18.4;15.6;16.6;11.8;13.8;15.4;18.8;19.6;53.3;44.0;48.0;53.0;197.9
