Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Bosnia-Herzegovinia  : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;10.7;12.2;14.8;11.3;11.7;14.5;12.7;10.6;14.6;14.7;9.8;16.5;37.8;37.8;39.1;41.6;154.1
1902;9.7;15.5;16.0;15.8;17.1;14.9;8.3;6.5;11.9;15.8;8.6;11.6;48.9;29.7;36.3;31.2;151.7
1903;10.2;9.4;11.6;16.3;12.0;13.8;12.1;6.5;7.6;12.6;15.0;16.6;39.9;32.4;35.2;42.9;143.7
1904;12.0;14.3;13.4;10.6;10.9;11.4;8.6;9.6;11.4;15.8;11.0;12.8;34.8;29.6;38.1;37.2;141.6
1905;10.8;13.6;12.9;14.6;13.3;14.8;10.4;6.9;10.0;17.5;17.5;7.5;40.9;32.2;44.9;33.8;149.8
1906;13.0;13.3;13.0;11.0;14.5;14.0;11.5;9.5;12.3;8.8;12.6;17.9;38.5;35.1;33.8;43.0;151.6
1907;12.2;12.9;8.2;18.0;12.6;12.4;10.5;6.8;7.7;11.6;11.1;17.9;38.9;29.7;30.4;44.6;142.0
1908;13.4;13.2;13.9;17.8;6.6;9.7;11.8;10.4;6.4;9.0;14.3;14.4;38.4;31.9;29.8;36.8;141.0
1909;11.2;11.3;16.3;11.8;16.1;12.2;10.1;13.2;13.4;11.3;14.5;15.4;44.3;35.4;39.2;45.5;156.7
1910;16.1;14.0;10.4;18.1;14.1;15.0;15.1;9.8;14.1;13.9;16.8;14.5;42.6;39.9;44.7;36.3;171.9
1911;11.9;9.9;7.6;14.5;17.1;12.2;9.3;7.3;11.8;11.9;11.1;14.5;39.3;28.7;34.7;41.3;139.1
1912;14.2;12.6;16.2;17.5;14.2;11.6;10.9;10.6;12.6;12.5;14.2;11.3;47.9;33.1;39.4;32.6;158.4
1913;13.0;8.4;8.1;12.7;15.5;14.5;16.9;13.7;12.5;8.5;10.9;14.8;36.3;45.1;31.9;37.3;149.4
1914;12.4;10.1;17.9;11.3;15.5;14.8;14.2;6.5;12.2;12.5;12.8;16.4;44.7;35.5;37.5;50.3;156.6
1915;18.1;15.8;15.7;14.5;12.4;17.7;16.8;12.7;12.8;17.1;14.3;15.1;42.5;47.3;44.3;35.2;183.2
1916;9.5;10.6;16.2;12.2;12.3;8.3;10.4;11.9;14.4;14.3;14.1;19.3;40.7;30.6;42.8;46.9;153.4
1917;17.3;10.3;15.2;13.8;9.0;4.9;9.7;8.7;4.9;15.2;15.1;15.0;37.9;23.4;35.2;31.6;139.1
1918;10.4;6.2;11.5;14.2;14.0;13.9;10.6;11.2;8.1;14.7;9.4;14.0;39.6;35.7;32.2;41.4;138.1
1919;14.5;12.8;13.5;15.7;12.9;11.7;12.6;8.0;10.5;14.2;17.5;11.4;42.1;32.3;42.3;34.3;155.4
1920;15.4;7.5;12.3;13.9;10.4;16.5;13.4;11.0;9.5;10.2;8.3;15.4;36.6;40.9;28.0;38.6;143.8
1921;11.3;12.0;8.0;16.6;14.2;17.5;7.8;11.5;6.0;8.2;12.1;11.7;38.8;36.8;26.3;39.4;136.9
1922;14.7;13.0;14.9;17.8;9.3;12.5;6.6;3.3;14.2;18.2;12.1;11.3;42.1;22.4;44.5;40.5;147.9
1923;14.8;14.4;11.8;15.2;10.5;15.7;9.5;10.0;9.7;11.9;18.5;16.5;37.5;35.2;40.1;46.0;158.4
1924;13.9;15.6;12.2;17.8;14.1;13.5;12.3;12.1;11.1;13.7;6.0;10.8;44.2;37.9;30.8;30.6;153.2
1925;6.0;13.9;12.0;15.0;14.6;15.6;11.4;9.7;12.7;10.2;20.2;16.2;41.6;36.6;43.1;38.8;157.3
1926;13.6;9.0;10.5;12.7;15.6;18.4;15.4;10.5;8.0;11.3;13.3;17.2;38.8;44.3;32.5;40.5;155.4
