Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Bulgaria             : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;10.4;11.0;8.1;9.5;8.1;11.1;7.8;8.1;4.6;8.6;5.8;9.0;25.6;27.0;19.1;23.0;102.2
1902;6.1;7.9;7.6;9.4;11.2;8.6;7.0;6.4;4.2;6.2;5.2;12.0;28.2;21.9;15.6;25.2;91.9
1903;7.9;5.2;6.7;11.6;10.9;10.2;6.4;5.2;3.3;6.2;7.2;7.7;29.1;21.9;16.6;21.9;88.4
1904;4.8;9.4;6.8;7.2;8.3;7.5;6.3;5.2;7.3;5.7;9.6;7.4;22.3;19.0;22.6;24.1;85.4
1905;8.7;8.1;6.5;10.0;10.0;9.3;6.8;3.5;4.8;7.9;6.4;8.0;26.5;19.6;19.2;25.9;90.0
1906;9.2;8.7;8.3;8.0;12.0;10.3;7.4;6.2;5.2;7.1;6.3;10.7;28.3;23.9;18.7;26.4;99.4
1907;8.0;7.8;9.1;8.8;7.5;10.6;6.6;4.0;3.9;2.4;8.2;8.0;25.5;21.2;14.5;24.8;84.9
1908;8.0;8.8;7.7;8.3;7.1;10.1;7.4;5.3;5.5;5.7;10.3;8.8;23.1;22.8;21.5;24.3;92.9
1909;7.4;8.1;11.0;7.4;9.0;9.1;5.5;4.1;7.6;6.2;9.3;8.2;27.4;18.7;23.2;26.9;93.1
1910;9.4;9.3;6.3;9.7;8.7;10.1;7.1;5.5;4.9;8.3;8.0;7.1;24.8;22.6;21.2;22.6;94.4
1911;8.5;6.9;7.6;8.8;10.0;9.4;6.5;5.9;6.4;4.3;5.7;11.1;26.4;21.9;16.4;28.2;91.2
1912;9.5;7.6;9.6;9.5;11.0;8.6;7.9;6.2;7.9;6.5;11.5;5.7;30.0;22.7;25.9;19.7;101.6
1913;9.1;4.9;6.6;8.0;12.0;9.6;7.7;6.1;7.6;3.0;7.2;9.0;26.6;23.4;17.8;23.9;90.8
1914;11.1;3.8;10.0;8.0;11.9;11.4;9.3;5.8;5.9;8.1;6.7;7.4;29.8;26.5;20.8;24.2;99.4
1915;10.7;6.1;11.0;9.8;13.7;9.6;9.6;6.6;4.1;8.9;8.5;5.9;34.5;25.8;21.4;20.8;104.5
1916;5.9;9.0;8.6;9.3;11.0;7.0;7.7;6.1;5.8;7.0;7.7;8.5;28.9;20.8;20.5;27.8;93.6
1917;11.7;7.6;11.4;10.6;9.3;10.5;6.0;4.6;3.0;6.6;8.4;6.8;31.3;21.0;18.1;20.4;96.4
1918;6.6;7.1;7.9;6.5;8.5;8.7;8.4;6.1;3.6;9.2;11.0;10.0;22.9;23.1;23.8;30.6;93.4
1919;10.8;9.7;10.2;9.4;13.0;9.9;8.1;6.2;3.5;10.0;9.0;9.6;32.7;24.2;22.5;25.4;109.5
1920;9.4;6.5;9.4;9.9;12.0;11.0;7.4;4.5;4.5;7.1;8.2;7.3;31.2;23.0;19.8;22.7;97.2
1921;8.1;7.3;4.8;8.4;10.8;9.9;6.5;4.4;5.0;3.6;10.2;11.4;24.1;20.7;18.7;26.3;90.3
1922;10.1;4.9;6.2;9.8;12.7;10.1;5.0;5.2;4.3;9.3;10.5;7.2;28.6;20.2;24.1;28.3;95.1
1923;10.9;10.1;10.2;9.9;9.8;10.8;7.7;3.0;2.7;4.2;4.8;11.2;29.8;21.5;11.7;25.5;95.3
1924;6.2;8.1;7.8;8.9;8.1;11.2;5.9;8.4;4.5;7.8;10.3;5.6;24.7;25.6;22.6;17.6;92.7
1925;4.1;7.9;10.2;8.8;11.8;11.6;7.8;4.8;7.1;5.1;9.1;11.7;30.7;24.2;21.3;27.8;99.9
1926;10.4;5.7;9.1;7.1;10.7;9.1;8.1;5.4;2.8;5.0;3.0;10.4;27.0;22.6;10.8;27.1;86.8
1927;9.7;7.0;5.5;10.8;10.2;8.2;6.8;6.0;5.1;7.3;8.1;11.0;26.4;21.1;20.4;27.6;95.7
1928;8.5;8.1;6.9;10.5;11.4;9.3;4.1;4.8;4.1;5.1;10.6;10.3;28.8;18.2;19.9;27.5;93.8
1929;10.4;6.8;5.5;10.4;9.1;8.9;5.1;3.9;4.2;7.9;7.6;10.8;25.0;17.8;19.8;22.1;90.6
1930;5.0;6.3;6.6;9.8;12.7;9.1;8.3;5.0;5.6;6.2;4.9;12.6;29.2;22.3;16.7;31.7;92.1
1931;10.3;8.8;9.8;10.5;8.8;10.9;6.8;4.3;6.8;7.6;8.6;9.0;29.2;22.1;23.1;23.3;102.4
1932;6.8;7.6;8.2;8.7;10.6;10.2;5.9;4.7;3.4;5.1;6.2;6.1;27.5;20.9;14.7;26.4;83.6
1933;10.6;9.7;8.3;9.3;12.6;10.2;9.1;6.7;4.2;6.7;8.2;10.3;30.2;25.9;19.1;25.0;105.8
1934;8.8;6.0;4.0;4.7;8.3;8.5;8.7;6.5;6.1;6.9;6.5;7.0;16.9;23.7;19.4;27.8;81.7
1935;11.2;9.6;7.6;10.9;8.4;10.6;5.7;5.0;4.0;5.1;8.6;11.9;26.9;21.3;17.6;27.6;98.5
1936;5.5;10.3;7.5;9.0;11.2;11.8;7.3;7.1;4.5;7.6;8.1;6.1;27.8;26.2;20.2;24.8;96.0
1937;9.2;9.5;7.0;12.5;9.5;7.2;6.5;7.7;5.3;8.0;10.8;12.0;29.0;21.5;24.2;26.9;105.4
1938;7.4;7.5;6.5;8.9;10.7;5.8;7.2;4.9;6.0;7.1;6.1;12.8;26.1;17.9;19.2;27.3;90.9
1939;8.1;6.4;11.2;7.2;10.3;10.9;6.5;7.4;5.2;8.2;8.5;11.0;28.7;24.8;21.9;27.9;101.0
1940;8.2;8.7;9.0;11.5;12.7;10.2;7.9;6.5;5.2;6.7;9.3;13.1;33.2;24.6;21.2;33.0;108.9
1941;9.8;10.2;6.3;9.4;10.7;12.6;10.3;4.0;6.0;7.8;8.1;8.0;26.3;26.9;21.9;29.0;103.0
1942;12.1;8.9;7.5;9.9;8.5;10.3;6.7;4.3;2.8;5.3;11.3;4.6;25.9;21.2;19.4;21.5;92.2
1943;10.8;6.1;4.2;8.0;13.4;10.4;6.5;3.4;5.7;6.2;9.0;11.4;25.6;20.2;21.0;30.5;95.0
1944;8.0;11.1;9.7;11.9;9.7;7.8;9.1;5.7;6.0;8.9;8.6;6.5;31.4;22.6;23.5;20.4;103.0
1945;9.4;4.5;6.0;9.0;6.0;8.0;5.7;4.5;4.6;6.9;6.3;11.1;21.1;18.3;17.9;26.9;82.2
1946;7.7;8.1;9.5;7.5;10.2;8.2;5.1;4.9;3.5;8.0;9.1;10.3;27.2;18.3;20.6;28.7;92.2
1947;9.9;8.5;6.7;3.7;7.5;9.5;6.6;7.3;3.4;6.8;9.0;11.3;18.0;23.5;19.2;27.4;90.3
1948;9.0;7.1;5.4;8.8;12.3;12.0;4.8;3.8;3.4;3.6;5.8;5.5;26.5;20.6;12.9;16.8;81.6
1949;7.1;4.3;9.5;7.1;8.3;9.3;7.9;7.1;4.7;3.3;9.9;8.7;24.9;24.3;17.9;23.9;87.2
1950;9.4;5.8;8.7;7.7;9.7;7.6;4.6;3.5;3.3;5.7;9.1;9.7;26.1;15.7;18.1;26.7;84.7
1951;9.5;7.5;8.5;9.6;9.4;7.5;8.0;7.5;4.7;6.3;7.7;6.5;27.5;23.0;18.6;25.3;92.5
1952;8.7;10.1;7.9;5.1;11.5;8.4;4.0;2.0;3.9;8.1;11.5;11.3;24.6;14.4;23.5;29.1;92.7
1953;9.9;7.8;4.7;9.2;12.2;10.4;4.9;4.9;2.8;8.4;5.6;7.0;26.1;20.2;16.8;26.7;87.9
1954;9.8;9.9;7.6;8.5;12.1;9.8;5.3;4.7;3.2;7.2;10.3;9.9;28.2;19.8;20.7;29.2;98.3
1955;10.6;8.7;9.3;10.6;8.1;9.7;9.6;8.2;5.5;7.3;10.2;7.8;27.9;27.5;23.0;29.2;105.6
1956;9.6;11.7;8.8;7.5;11.5;10.3;5.5;4.2;2.9;5.9;9.8;9.4;27.7;20.0;18.7;23.8;97.1
1957;7.4;7.0;5.6;9.7;12.2;9.0;7.0;5.0;7.2;6.6;7.0;9.2;27.5;21.0;20.7;24.3;92.9
1958;9.6;5.4;10.3;11.1;8.3;9.4;4.9;4.9;5.4;6.3;6.6;5.7;29.7;19.2;18.3;20.1;87.9
1959;9.8;4.6;7.0;8.2;10.8;12.0;8.8;6.2;5.3;5.1;9.3;10.0;26.0;27.1;19.7;28.1;97.2
1960;9.9;8.1;6.8;10.5;11.0;12.5;7.7;3.7;6.4;4.3;8.6;12.0;28.3;23.8;19.3;27.8;101.4
1961;9.8;6.0;7.1;8.3;13.0;10.0;6.4;4.5;2.8;4.3;7.9;10.3;28.4;20.9;15.0;26.9;90.4
1962;7.5;9.2;10.5;10.0;7.4;7.1;9.3;3.0;5.3;7.3;9.9;10.8;27.9;19.4;22.5;34.1;97.3
1963;12.2;11.1;9.1;9.0;10.0;9.1;6.1;3.9;4.1;6.2;5.8;10.8;28.1;19.1;16.1;23.8;97.3
1964;5.1;7.9;8.6;8.3;12.1;8.7;6.9;5.2;8.6;5.9;7.5;9.4;28.9;20.8;21.9;28.7;94.0
1965;8.5;10.8;8.4;10.1;11.3;7.6;4.5;5.0;2.3;2.0;9.0;11.6;29.8;17.1;13.4;30.9;91.2
