Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Croatia              : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;10.3;11.6;14.8;11.2;11.9;14.5;11.1;11.2;16.5;14.5;10.3;17.1;37.8;36.8;41.3;43.4;154.9
1902;10.7;15.7;15.5;14.0;17.7;15.8;10.3;7.4;11.0;16.4;9.7;11.5;47.2;33.5;37.2;30.4;155.8
1903;9.9;9.0;11.9;16.3;11.5;14.8;14.0;8.1;9.2;13.1;15.4;18.2;39.8;36.9;37.7;45.4;151.5
1904;12.1;15.1;14.1;12.2;11.6;12.1;7.4;13.4;12.7;16.0;11.7;13.1;37.9;32.9;40.5;37.9;151.6
1905;10.8;14.0;13.6;14.6;14.6;15.0;11.6;9.7;12.2;17.9;19.1;8.6;42.8;36.2;49.2;35.5;161.6
1906;13.3;13.6;13.5;12.9;15.2;14.5;13.5;10.4;13.6;10.4;14.0;18.3;41.6;38.3;38.0;43.1;163.2
1907;13.1;11.7;8.7;18.6;13.7;11.5;12.1;7.2;9.0;15.0;10.2;17.5;41.1;30.9;34.2;42.0;148.5
1908;11.4;13.1;13.5;17.5;7.6;10.1;13.2;11.9;7.4;9.2;12.9;14.6;38.6;35.2;29.5;38.8;142.3
1909;11.9;12.3;15.8;12.5;14.8;13.6;11.9;13.5;12.7;12.5;13.0;16.2;43.1;39.0;38.3;46.9;160.7
1910;16.5;14.2;10.4;16.6;14.8;15.8;14.4;10.5;14.4;14.2;17.4;15.3;41.8;40.8;46.0;35.4;174.6
1911;10.8;9.4;10.2;13.5;16.7;13.4;9.6;8.0;12.6;13.0;11.3;15.5;40.4;31.1;36.8;42.3;143.9
1912;13.5;13.4;15.8;16.1;14.7;13.7;11.7;10.7;14.0;14.0;13.7;11.2;46.6;36.0;41.7;32.5;162.4
1913;12.8;8.4;8.9;13.5;14.9;14.4;17.2;13.4;13.5;9.4;12.7;14.8;37.2;45.0;35.7;36.8;154.0
