Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Czech_Republic       : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;11.3;11.3;17.0;14.9;11.4;12.8;14.0;12.7;12.5;12.5;12.9;16.5;43.3;39.5;38.0;43.2;159.9
1902;15.0;11.7;15.3;11.9;14.5;15.2;16.4;13.2;10.8;13.2;5.4;18.5;41.6;44.8;29.4;44.5;161.0
1903;13.8;12.2;11.3;16.2;12.1;13.8;18.4;14.5;12.2;13.9;17.4;14.9;39.6;46.7;43.5;40.1;170.7
1904;9.7;15.6;12.5;14.5;13.4;10.7;9.7;10.8;12.8;14.9;16.0;14.5;40.4;31.2;43.6;39.7;155.1
1905;13.0;12.1;14.1;13.9;13.8;13.5;15.4;14.3;12.5;13.5;17.1;12.4;41.9;43.2;43.2;37.8;165.8
1906;13.4;12.0;16.8;10.5;16.1;14.2;14.4;12.5;17.4;9.9;12.7;16.8;43.3;41.2;40.0;44.3;166.8
1907;16.0;11.4;14.8;14.5;12.1;14.7;20.1;12.4;10.3;10.6;11.9;19.2;41.4;47.2;32.8;46.4;168.0
1908;12.4;14.8;13.3;15.0;16.2;12.8;16.1;13.5;11.0;3.5;11.2;11.0;44.5;42.4;25.8;40.6;150.8
1909;13.0;16.7;14.5;13.1;13.9;15.2;17.8;11.6;12.9;9.8;14.8;18.1;41.5;44.7;37.5;46.2;171.4
1910;14.6;13.5;10.9;12.8;17.3;16.2;15.8;15.6;16.1;8.3;18.0;13.9;41.0;47.6;42.3;42.8;172.9
1911;14.2;14.6;13.3;11.1;15.6;10.8;10.9;11.4;13.4;11.7;12.7;18.5;40.0;33.1;37.9;46.5;158.3
1912;14.7;13.4;14.5;13.0;15.2;16.9;14.4;15.9;13.4;12.5;14.3;14.7;42.7;47.1;40.3;36.2;172.8
1913;13.3;8.3;11.9;12.1;14.7;14.3;17.1;14.8;12.6;9.2;15.4;19.1;38.7;46.1;37.2;41.9;162.7
1914;13.4;9.3;17.0;10.8;15.8;14.4;18.4;10.7;13.8;12.8;10.7;16.8;43.6;43.5;37.3;47.9;163.9
1915;18.3;12.8;17.2;15.1;10.6;14.1;16.6;15.3;14.0;15.4;14.6;17.0;42.9;46.0;44.0;50.6;181.0
1916;18.5;15.1;14.5;13.8;14.0;17.3;16.7;14.0;12.2;11.3;13.3;17.9;42.3;48.0;36.7;45.7;178.6
1917;18.2;9.5;15.2;16.3;9.2;8.3;14.1;13.0;9.0;14.4;13.3;15.7;40.7;35.4;36.6;42.3;156.1
1918;13.8;12.8;9.1;12.9;9.0;15.4;17.9;15.0;12.3;15.0;10.9;19.7;31.1;48.3;38.2;45.6;164.0
1919;14.3;11.5;15.6;15.0;13.0;14.6;15.0;11.3;11.9;15.2;18.8;18.7;43.6;40.8;46.0;49.2;175.0
1920;18.5;12.0;12.2;15.7;16.2;14.1;17.8;14.3;12.3;4.9;5.8;17.7;44.1;46.2;23.0;50.4;161.5
1921;18.5;14.2;6.3;15.4;13.5;15.1;11.5;11.4;9.4;12.9;13.0;16.0;35.2;37.9;35.3;45.8;157.2
1922;18.8;11.0;15.1;12.9;11.4;13.8;15.1;14.0;15.9;17.3;14.2;15.6;39.4;42.9;47.3;44.6;175.2
1923;15.4;13.5;12.0;13.3;12.5;14.9;13.3;11.8;11.2;16.2;14.3;17.2;37.8;40.0;41.7;42.2;165.6
1924;11.3;13.7;11.8;13.9;16.1;16.0;13.8;13.5;14.2;10.9;10.3;11.6;41.7;43.3;35.4;35.9;157.0
1925;11.9;12.3;13.1;13.8;13.7;15.4;17.7;16.2;12.6;12.7;15.7;14.9;40.5;49.3;41.0;42.8;169.9
1926;14.5;13.4;14.3;11.3;15.0;20.0;18.6;12.4;11.4;14.4;12.8;15.6;40.6;51.0;38.5;41.5;173.5
1927;17.1;8.9;14.6;17.1;12.5;16.7;18.8;14.0;13.6;9.9;14.3;12.0;44.2;49.4;37.7;41.0;169.3
1928;14.7;14.4;11.2;13.7;16.2;12.9;10.1;12.9;11.9;10.3;15.4;16.4;41.1;35.9;37.6;42.1;160.0
1929;15.3;10.5;9.0;12.5;15.5;13.5;14.8;12.7;8.7;13.5;14.3;15.5;37.0;41.0;36.4;37.3;155.6
1930;11.5;10.3;14.6;15.4;15.2;9.9;16.0;14.1;13.5;16.6;15.7;14.7;45.1;40.1;45.8;44.0;167.4
1931;15.1;14.2;10.9;14.1;13.2;16.1;17.0;15.9;16.9;12.0;9.9;14.3;38.3;49.0;38.8;37.5;169.7
1932;14.2;9.0;9.7;12.2;16.1;13.0;15.5;13.0;10.8;13.4;12.5;8.5;38.0;41.5;36.7;36.1;147.9
1933;13.3;14.3;8.8;11.2;14.8;15.7;15.1;12.1;10.8;13.8;14.3;14.7;34.7;43.0;39.0;40.3;159.0
1934;13.5;12.1;10.5;11.0;11.4;13.8;12.8;15.2;12.3;13.5;13.9;14.5;32.9;41.7;39.7;44.0;154.4
1935;13.2;16.3;15.2;15.2;14.7;12.5;12.0;11.9;12.0;17.3;12.3;13.7;45.0;36.4;41.6;43.0;166.2
1936;14.0;15.3;11.8;12.9;16.8;12.3;17.2;12.4;11.5;16.1;12.3;13.0;41.5;42.0;39.9;40.8;165.6
1937;13.1;14.7;17.4;15.3;11.2;14.3;15.9;15.6;15.7;11.3;13.7;17.2;43.8;45.8;40.7;46.5;175.2
1938;18.8;10.5;12.5;12.0;16.4;11.0;15.0;16.7;13.8;12.9;13.1;14.5;40.9;42.7;39.8;39.8;167.2
1939;14.7;10.6;17.3;10.0;18.8;13.4;16.1;13.4;14.9;17.4;15.8;15.9;46.1;42.9;48.0;41.4;178.2
1940;13.2;12.4;14.7;10.6;16.6;14.2;15.7;14.2;13.4;11.6;15.5;13.1;41.9;44.1;40.4;45.1;165.2
1941;16.6;15.3;16.6;16.2;16.4;14.7;19.1;14.3;10.7;16.3;14.0;15.9;49.3;48.1;41.0;39.6;186.2
