Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Denmark              : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;13.6;10.2;16.3;14.5;12.1;14.6;10.3;13.0;9.2;13.0;16.7;17.7;42.8;37.8;38.9;42.4;161.1
1902;17.3;7.5;15.3;9.6;14.4;9.4;12.8;16.1;11.1;15.3;7.5;14.3;39.3;38.3;33.9;44.9;150.6
1903;16.0;14.6;13.1;14.4;10.0;10.3;13.7;16.6;13.4;22.1;14.5;12.0;37.4;40.6;50.0;43.4;170.6
1904;15.6;15.8;12.8;14.8;12.2;10.2;6.7;13.0;9.5;15.0;17.6;17.2;39.8;30.0;42.0;41.4;160.5
1905;13.0;11.2;15.9;14.4;9.0;11.4;12.7;18.1;15.5;17.1;14.3;8.8;39.3;42.3;46.8;41.9;161.4
1906;19.8;13.4;13.6;11.2;12.7;10.3;10.1;14.8;10.4;14.4;19.9;13.6;37.6;35.2;44.7;40.8;164.3
1907;14.7;12.5;12.0;10.7;12.6;14.7;13.3;15.5;7.8;14.3;13.9;18.8;35.3;43.5;36.1;48.2;160.9
1908;14.0;15.3;14.1;13.3;14.4;11.2;12.7;14.7;14.5;7.4;15.3;12.7;41.7;38.6;37.1;36.7;159.5
1909;14.8;9.2;14.6;13.6;11.4;12.4;14.1;13.2;14.5;16.6;16.5;19.8;39.5;39.7;47.6;54.3;170.6
1910;16.7;17.8;9.6;14.2;11.8;12.0;14.6;17.0;12.9;9.9;19.4;16.2;35.6;43.7;42.1;47.2;172.2
1911;13.7;17.2;13.9;12.2;9.4;12.8;10.7;10.4;10.8;18.7;21.9;17.8;35.5;33.9;51.4;44.0;169.5
1912;12.2;14.0;15.2;11.9;11.4;14.3;11.6;18.3;12.4;17.7;18.8;21.8;38.5;44.3;48.9;46.2;179.7
1913;13.6;10.8;16.8;10.5;8.5;10.8;10.2;12.3;11.7;14.4;19.5;18.5;35.8;33.3;45.6;46.4;157.6
1914;13.8;14.1;18.6;13.3;11.1;7.9;14.5;10.7;13.6;13.0;17.4;19.5;42.9;33.1;44.0;51.9;167.3
1915;19.2;13.2;12.4;10.7;11.0;5.9;16.5;12.1;12.4;8.6;16.9;21.2;34.1;34.5;37.9;56.0;160.1
1916;20.9;13.8;11.5;12.4;13.1;14.3;11.9;16.0;12.9;18.8;18.1;19.4;37.0;42.2;49.8;41.6;183.1
1917;15.0;7.2;14.6;12.5;6.0;10.6;11.8;16.2;14.5;20.2;19.7;12.5;33.2;38.6;54.4;42.4;160.8
1918;15.5;14.4;6.9;12.7;6.6;10.9;13.5;13.4;18.7;13.0;12.1;19.3;26.2;37.8;43.8;48.8;157.1
1919;17.2;12.2;14.2;13.9;6.7;11.9;13.7;12.9;13.1;12.0;14.5;18.9;34.7;38.5;39.6;52.8;161.2
1920;19.5;14.3;12.3;19.1;15.6;9.5;14.9;14.4;13.8;5.1;10.7;15.9;46.9;38.9;29.6;48.8;165.3
1921;22.7;10.2;12.8;10.1;10.3;9.3;9.6;15.9;11.1;15.1;15.0;20.1;33.1;34.9;41.3;45.6;162.3
1922;13.6;11.8;14.7;12.8;9.8;11.5;15.4;14.7;16.3;8.2;14.4;17.8;37.4;41.6;38.9;47.0;161.1
1923;16.8;12.4;9.0;13.0;14.1;10.4;13.3;17.2;14.5;19.5;22.0;13.3;36.0;40.9;56.1;37.5;175.6
1924;13.1;11.1;14.3;15.3;14.9;9.7;14.2;15.2;14.9;13.9;13.3;15.9;44.5;39.1;42.1;48.2;165.9
1925;17.9;14.4;11.9;11.0;12.7;10.1;11.9;13.1;15.9;16.2;17.0;18.1;35.6;35.1;49.2;49.8;170.3
1926;15.7;16.1;11.2;11.5;13.0;13.6;13.0;12.8;15.3;18.1;17.9;14.2;35.7;39.4;51.3;45.3;172.2
1927;20.3;10.8;17.1;16.0;12.1;15.5;15.8;17.6;15.9;19.4;15.6;11.9;45.2;48.8;50.9;45.5;187.9
1928;17.5;16.1;10.1;8.7;11.4;13.2;11.9;16.9;11.6;17.4;23.9;12.8;30.3;42.1;52.8;33.4;171.6
1929;11.6;9.0;8.5;13.3;12.5;12.6;11.4;12.8;10.5;18.7;19.1;20.8;34.3;36.8;48.3;44.2;160.7
1930;15.0;8.5;11.9;12.7;14.8;10.8;17.0;14.5;16.9;17.9;19.8;12.2;39.3;42.3;54.6;46.6;171.9
1931;20.4;13.9;11.1;14.2;14.1;10.2;16.3;14.7;14.4;13.1;12.0;14.4;39.4;41.2;39.5;35.4;168.8
1932;16.9;4.1;11.2;14.4;13.7;7.9;15.4;11.0;16.8;21.7;13.8;11.9;39.2;34.3;52.4;39.6;158.7
1933;13.3;14.5;15.0;8.1;10.5;12.7;14.3;12.0;9.5;18.5;9.7;7.4;33.7;39.1;37.7;36.4;145.7
1934;17.0;12.0;15.4;10.0;10.6;10.4;11.6;17.6;15.8;21.2;15.3;16.5;35.9;39.6;52.3;48.4;173.4
1935;13.9;17.9;10.0;14.3;9.0;14.6;11.7;11.0;19.6;20.2;15.8;16.5;33.3;37.3;55.6;50.6;174.4
1936;20.0;14.1;10.9;16.8;11.3;6.8;17.6;12.2;10.8;16.1;15.6;14.0;39.0;36.6;42.5;47.1;166.2
1937;15.8;17.3;16.7;13.0;14.3;12.1;12.2;10.2;16.3;7.7;14.6;18.0;44.0;34.6;38.6;46.3;168.4
1938;18.4;9.8;10.6;8.4;13.4;12.0;14.1;13.3;12.8;19.1;18.3;17.0;32.4;39.5;50.2;50.1;167.4
1939;21.2;11.9;11.7;12.7;8.1;10.4;16.1;14.5;11.0;13.5;18.3;14.8;32.5;41.0;42.8;37.3;164.2
1940;12.7;9.8;18.0;11.9;9.8;7.6;14.6;14.9;16.0;14.1;18.7;13.8;39.7;37.1;48.8;38.8;161.9
1941;11.0;14.1;13.1;8.9;8.1;9.7;14.4;17.7;9.7;17.7;10.6;17.0;30.1;41.8;38.0;39.0;152.0
1942;11.8;10.2;12.1;10.7;12.0;10.8;13.1;15.2;15.9;15.9;15.5;17.9;34.8;39.1;47.3;53.1;161.2
1943;20.1;15.0;10.3;11.5;8.6;12.7;11.8;18.4;13.9;13.2;17.9;12.1;30.5;42.9;45.0;41.6;165.6
1944;19.5;9.9;12.6;10.4;13.9;13.7;11.5;10.4;17.8;13.7;21.5;16.8;36.9;35.6;53.0;53.2;171.8
1945;19.3;17.0;10.9;12.5;12.4;13.8;12.4;17.8;12.9;14.7;14.5;18.1;35.8;44.0;42.1;50.4;176.4
1946;15.4;16.8;13.5;9.4;10.8;17.0;13.5;13.8;20.5;11.7;17.1;12.5;33.8;44.3;49.3;29.3;172.2
1947;10.3;6.4;17.4;13.5;4.8;10.3;13.8;6.0;11.9;8.3;20.5;15.2;35.7;30.1;40.7;51.5;138.3
1948;22.3;14.0;8.2;12.8;11.5;10.8;12.1;15.8;14.3;14.1;13.6;13.4;32.4;38.7;42.0;43.5;162.8
1949;17.1;13.1;10.3;15.8;14.7;10.0;13.1;11.5;13.5;16.0;17.6;20.2;40.7;34.6;47.1;54.7;172.8
1950;16.0;18.5;12.9;15.4;10.7;10.4;15.7;17.3;18.2;15.6;20.7;17.7;39.0;43.4;54.5;50.6;189.1
1951;18.9;14.0;16.3;13.3;9.9;10.2;11.2;15.3;14.0;7.2;20.1;16.8;39.6;36.7;41.3;42.7;167.2
1952;15.5;10.4;10.7;11.2;12.4;12.1;12.1;14.4;14.9;18.1;16.5;15.3;34.4;38.6;49.5;42.3;163.8
1953;14.9;12.0;9.4;13.1;12.4;14.8;13.4;14.7;15.1;11.8;15.4;13.6;35.0;42.9;42.2;40.8;160.6
1954;17.6;9.6;13.2;11.3;10.8;12.5;15.3;15.4;16.8;18.7;17.6;19.5;35.3;43.2;53.0;44.4;178.2
1955;13.8;11.1;11.3;10.8;13.4;10.5;9.5;10.7;15.0;17.0;11.8;19.0;35.6;30.7;43.8;47.3;154.0
1956;18.0;10.4;10.6;10.6;8.7;13.2;11.6;15.3;12.1;14.0;14.0;16.7;29.9;40.1;40.1;47.7;155.2
1957;15.2;15.8;13.7;9.1;10.6;11.7;14.1;15.1;17.7;15.8;14.4;14.1;33.4;40.9;48.0;45.3;167.3
1958;15.4;15.9;8.8;11.7;14.1;10.2;15.0;14.5;12.1;15.2;13.7;16.5;34.6;39.7;41.0;41.9;163.1
1959;18.5;7.0;11.7;15.0;9.0;9.8;11.8;11.8;8.0;15.5;15.5;16.4;35.7;33.5;39.0;48.3;150.0
1960;19.7;12.1;9.0;11.2;10.9;12.2;15.3;17.4;13.0;16.2;21.2;20.2;31.1;44.9;50.4;50.5;178.4
1961;16.6;13.7;13.6;12.2;12.5;11.6;15.4;15.1;13.7;17.0;16.8;17.2;38.3;42.1;47.5;52.7;175.5
1962;19.6;15.9;12.6;13.6;14.0;10.2;13.8;17.2;15.3;11.6;13.7;15.5;40.2;41.2;40.6;33.2;173.0
1963;9.2;8.5;12.2;12.1;12.3;10.7;12.0;17.9;13.8;16.8;22.2;10.2;36.5;40.6;52.8;33.3;157.8
1964;11.9;11.2;7.3;12.5;10.9;12.8;12.7;12.5;14.7;17.1;15.6;18.6;30.8;37.9;47.3;48.9;157.7
1965;19.5;10.8;11.4;14.9;11.7;11.8;16.1;13.1;17.2;10.5;17.3;20.7;38.0;41.0;45.0;52.8;175.0
