Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Estonia              : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;15.7;15.9;10.2;14.0;4.7;12.8;8.6;13.9;11.5;12.7;18.2;20.8;28.9;35.2;42.3;53.9;158.9
1902;21.2;11.9;15.8;6.6;14.3;15.4;15.6;16.5;16.1;16.0;13.0;17.9;36.7;47.5;45.2;52.8;180.5
1903;18.0;16.9;12.0;15.7;13.3;13.6;13.1;20.2;12.7;17.2;18.1;12.7;41.0;46.9;48.1;45.9;183.5
1904;14.0;19.2;9.3;15.0;12.5;13.5;12.4;17.8;11.2;14.7;17.5;22.6;36.7;43.7;43.3;54.2;179.5
1905;19.1;12.5;14.6;13.4;9.0;8.5;15.1;17.2;14.3;20.3;16.1;14.4;37.0;40.8;50.7;49.0;174.6
1906;18.8;15.8;15.4;12.8;11.6;13.8;12.6;18.1;12.3;11.7;19.7;19.5;39.8;44.5;43.7;49.0;182.0
1907;17.0;12.5;10.6;13.0;11.7;14.0;14.4;16.3;15.2;11.0;11.6;11.9;35.3;44.6;37.8;46.4;159.1
1908;18.0;16.6;12.4;12.5;10.7;12.7;12.8;15.7;16.0;11.4;16.1;12.9;35.6;41.1;43.5;37.8;167.7
1909;13.2;11.7;14.7;13.5;9.2;10.2;16.5;14.2;12.1;14.0;19.1;20.7;37.4;40.9;45.2;56.3;169.0
1910;20.0;15.6;12.6;10.7;11.8;10.9;14.2;15.9;14.0;11.3;17.9;21.5;35.2;41.1;43.2;56.7;176.6
1911;18.0;17.1;9.7;11.9;11.3;12.2;12.4;14.8;15.5;17.0;20.2;16.7;32.9;39.3;52.7;41.9;176.7
1912;13.6;11.5;16.1;11.3;13.4;14.0;9.5;15.9;19.0;16.7;18.2;22.1;40.8;39.4;53.8;52.3;181.3
1913;14.0;16.2;16.0;12.6;8.8;11.1;13.8;14.1;13.4;13.7;19.0;21.2;37.5;39.0;46.1;51.6;173.9
1914;17.1;13.3;17.1;10.3;13.0;9.7;9.1;11.4;18.6;11.2;14.6;23.4;40.4;30.1;44.5;58.8;168.8
1915;19.2;16.2;13.4;12.7;11.6;11.2;15.3;12.9;18.2;12.7;17.7;21.6;37.7;39.5;48.5;55.3;182.7
