Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Finland              : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;18.8;17.2;12.4;14.5;8.9;13.5;11.9;12.8;10.7;17.3;18.5;18.8;35.8;38.3;46.5;55.5;175.3
1902;21.6;15.1;17.4;6.0;11.8;14.1;18.4;17.8;19.8;15.4;16.1;15.5;35.2;50.4;51.2;54.4;189.0
1903;19.9;19.0;15.7;15.8;11.2;13.8;16.8;19.6;15.4;17.5;18.8;15.8;42.7;50.2;51.8;49.8;199.5
1904;16.8;17.2;12.0;15.8;14.3;14.2;13.9;17.8;12.8;16.9;18.5;22.5;42.0;46.0;48.2;58.5;192.6
1905;19.7;16.3;15.8;15.2;11.2;12.1;16.7;17.1;16.8;18.2;18.6;16.2;42.2;45.9;53.7;56.9;194.0
1906;21.7;18.9;17.4;13.8;13.8;12.7;13.9;16.1;12.1;13.6;20.3;20.7;45.0;42.6;46.1;57.4;195.0
1907;18.5;18.2;12.5;12.7;12.7;15.2;15.7;18.0;14.7;14.9;14.9;14.8;37.9;48.8;44.5;53.6;182.8
1908;20.0;18.7;10.9;11.9;9.8;14.8;13.4;12.6;17.7;11.4;14.9;19.1;32.6;40.8;44.0;52.4;175.2
1909;18.9;14.3;17.8;11.8;11.2;11.3;15.1;16.3;14.9;21.3;18.5;21.9;40.8;42.7;54.7;64.3;193.3
1910;23.1;19.3;14.2;15.3;10.0;13.9;16.7;10.1;15.5;14.1;21.9;21.4;39.5;40.7;51.5;58.7;195.5
1911;18.8;18.5;12.8;13.8;8.3;13.1;15.2;16.7;16.8;19.4;22.5;20.3;34.9;45.0;58.7;52.6;196.2
1912;16.8;15.5;17.9;10.2;13.7;15.9;8.3;17.6;20.3;16.3;21.0;22.3;41.8;41.9;57.6;54.4;196.0
1913;14.8;17.3;16.9;13.2;10.3;13.4;12.5;15.3;12.0;15.1;20.0;20.7;40.3;41.2;47.1;57.3;181.3
1914;19.1;17.6;15.2;11.2;14.5;12.7;13.9;13.7;16.6;10.7;17.1;24.1;41.0;40.4;44.4;62.6;186.4
1915;20.4;18.1;12.9;13.2;12.1;14.4;14.4;13.4;17.7;11.4;20.8;17.6;38.2;42.2;49.9;56.2;186.4
1916;21.8;16.8;15.2;10.5;13.2;15.3;14.0;15.0;15.1;16.2;22.0;22.0;38.8;44.3;53.3;53.9;197.1
1917;16.8;15.1;11.5;15.2;11.6;13.0;11.4;12.2;21.3;21.7;22.8;20.7;38.3;36.7;65.8;57.2;193.4
1918;20.1;16.4;10.0;9.7;9.1;15.2;11.7;14.0;21.3;18.4;16.4;22.6;28.9;40.9;56.0;56.2;184.9
1919;18.5;15.2;14.0;16.2;6.8;15.1;12.0;17.3;18.5;16.6;16.4;19.6;36.9;44.4;51.6;61.0;186.2
1920;21.3;20.1;14.5;18.7;13.9;12.9;16.4;14.5;15.5;11.7;16.3;16.5;47.1;43.9;43.5;53.6;192.3
1921;23.2;13.9;17.7;14.9;12.7;16.1;16.6;15.1;17.0;20.5;14.9;22.6;45.4;47.8;52.3;55.8;205.2
1922;18.0;15.2;16.4;14.8;15.2;15.7;14.1;17.5;14.7;14.4;19.4;20.5;46.4;47.3;48.4;54.7;195.8
1923;22.3;11.8;6.9;11.1;13.7;15.7;14.0;15.6;21.2;22.4;22.7;22.2;31.7;45.3;66.3;60.5;199.6
1924;19.3;19.0;18.1;13.0;14.4;15.4;10.0;14.2;20.3;18.3;17.4;19.9;45.6;39.6;56.0;57.6;199.4
1925;18.8;18.9;15.1;14.6;11.6;14.2;13.5;16.7;18.6;17.1;16.1;21.5;41.4;44.4;51.9;55.7;196.9
1926;17.0;17.2;17.2;13.4;13.5;14.2;11.2;15.1;15.0;18.4;20.3;19.2;44.0;40.5;53.6;60.3;191.4
1927;23.0;18.1;16.7;15.7;14.8;14.9;13.3;16.9;16.4;19.1;17.4;16.5;47.1;45.1;53.0;52.2;202.8
1928;18.4;17.3;12.8;11.4;13.7;15.3;17.8;16.6;14.7;19.8;21.8;19.2;37.8;49.7;56.3;49.1;198.8
1929;17.5;12.3;14.2;12.3;13.1;11.5;15.4;17.3;16.8;22.1;21.8;24.3;39.6;44.1;60.8;60.9;198.6
1930;22.1;14.5;16.7;12.1;11.8;10.7;11.3;18.1;15.1;18.9;23.5;15.9;40.5;40.1;57.6;55.3;190.8
1931;21.7;17.7;14.6;13.8;13.4;17.0;14.4;18.3;16.8;19.2;15.2;21.8;41.8;49.7;51.2;59.0;203.9
1932;23.1;14.1;12.2;16.7;14.6;15.3;14.3;17.4;21.5;20.5;18.2;18.8;43.4;47.0;60.1;55.2;206.6
1933;17.4;19.0;15.7;12.4;9.6;10.8;16.5;14.0;12.1;18.4;15.3;16.9;37.8;41.3;45.8;54.2;178.2
1934;19.2;18.1;17.0;15.6;13.7;12.5;17.4;15.2;15.1;22.9;22.0;18.1;46.3;45.1;59.9;60.7;206.7
1935;20.7;21.8;13.9;16.1;10.7;14.1;15.7;16.0;20.3;23.0;17.3;24.0;40.6;45.8;60.6;64.1;213.6
1936;23.5;16.7;12.2;13.5;9.6;11.8;17.8;15.9;10.7;17.7;17.1;19.7;35.3;45.5;45.5;52.8;186.2
1937;14.8;18.2;17.7;10.0;13.1;10.6;11.7;12.3;20.3;11.5;18.4;16.4;40.8;34.6;50.2;52.6;175.1
1938;22.8;13.3;16.7;11.5;13.6;15.7;13.4;13.6;14.4;19.9;21.5;17.1;41.8;42.7;55.8;54.7;193.6
1939;20.1;17.4;11.9;14.5;9.9;12.7;16.1;10.9;15.1;11.1;21.4;16.6;36.3;39.8;47.6;50.1;177.8
1940;18.5;15.0;14.7;11.2;8.7;13.0;15.1;18.0;20.5;14.4;22.8;16.4;34.6;46.1;57.8;46.5;188.4
1941;11.6;18.4;15.2;9.4;7.4;11.0;11.1;18.4;15.5;13.7;13.0;17.4;32.0;40.6;42.2;49.0;162.2
1942;17.3;14.3;13.0;10.8;12.7;12.4;13.3;14.2;17.4;21.1;17.1;20.2;36.5;40.0;55.7;60.6;184.0
1943;19.3;21.2;13.2;15.7;10.9;11.5;15.5;19.4;15.4;18.2;21.9;18.3;39.8;46.3;55.5;55.2;200.4
1944;21.5;15.4;16.3;11.5;13.1;13.2;11.9;15.7;17.2;16.9;21.9;22.7;41.0;40.7;56.0;61.5;197.3
1945;20.1;18.6;15.6;13.5;11.0;15.9;11.6;16.9;15.6;15.7;15.4;17.2;40.2;44.3;46.7;51.0;187.2
1946;15.0;18.8;11.8;14.2;10.2;15.3;12.7;14.5;17.9;12.0;18.0;14.7;36.3;42.5;48.0;43.5;175.3
1947;15.6;13.2;13.5;17.6;8.5;12.0;15.6;10.8;14.7;14.9;20.2;23.3;39.5;38.5;49.8;57.0;180.0
1948;21.8;11.9;11.7;13.3;14.5;16.1;10.6;19.0;16.8;18.1;20.6;17.4;39.5;45.7;55.5;54.3;191.8
1949;21.8;15.2;13.1;15.7;13.6;15.3;12.6;16.2;11.3;20.5;17.3;24.3;42.4;44.0;49.0;55.4;196.7
1950;13.0;18.1;14.9;18.1;11.9;12.9;14.3;9.3;18.6;17.2;20.8;20.6;44.9;36.5;56.6;55.0;189.7
1951;18.9;15.4;16.4;16.5;9.1;13.4;16.5;11.9;15.7;10.9;21.8;24.2;42.0;41.8;48.4;66.9;190.7
1952;22.0;20.8;13.7;12.6;11.8;14.8;17.0;17.2;19.2;15.0;18.2;24.2;38.1;49.0;52.4;62.2;206.6
1953;19.3;18.7;14.0;13.3;12.9;12.3;17.5;20.6;15.3;14.4;16.8;14.3;40.2;50.3;46.5;43.8;189.3
1954;20.5;9.0;16.5;11.1;9.1;15.9;18.2;17.4;21.8;19.2;18.3;25.4;36.7;51.6;59.3;66.4;202.6
1955;23.8;17.2;16.8;13.4;15.5;11.5;10.9;8.3;19.5;20.1;20.3;20.6;45.7;30.6;60.0;57.4;197.8
1956;21.3;15.6;8.3;11.0;9.7;14.3;13.7;17.4;13.3;17.5;16.4;19.7;29.0;45.5;47.2;60.9;178.2
1957;19.6;21.5;11.9;10.8;16.1;17.2;15.3;17.9;18.8;21.0;17.3;22.6;38.8;50.3;57.0;59.6;209.9
1958;18.6;18.4;12.9;11.6;16.1;13.0;16.6;12.9;11.8;17.5;18.4;20.8;40.7;42.5;47.8;61.2;188.7
1959;25.5;14.9;12.8;12.8;12.2;10.4;12.6;16.4;12.6;15.8;17.2;18.5;37.8;39.4;45.6;56.0;181.6
1960;21.3;16.2;9.5;11.1;10.7;14.9;16.7;15.8;11.8;11.8;20.5;22.3;31.3;47.4;44.1;62.9;182.7
1961;22.2;18.4;17.4;9.5;13.4;17.3;18.4;18.6;12.9;17.0;21.4;20.6;40.3;54.3;51.4;64.2;207.3
1962;24.4;19.2;12.0;16.1;14.6;15.2;16.1;17.9;17.0;17.3;19.2;17.3;42.8;49.1;53.6;50.8;206.3
1963;18.8;14.6;10.8;10.9;11.3;12.9;12.6;17.3;17.8;18.9;20.4;17.9;33.0;42.8;57.0;51.1;184.1
1964;16.5;16.8;7.4;14.7;12.7;13.5;13.0;17.0;18.3;15.3;18.3;23.5;34.7;43.5;51.9;62.4;186.8
