Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = France               : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;12.7;11.5;17.6;16.3;12.2;10.8;12.7;9.7;14.3;14.8;9.5;17.4;46.1;33.2;38.6;44.6;159.6
1902;12.9;14.3;14.2;15.3;15.1;12.8;9.3;13.1;11.0;13.1;14.1;13.0;44.6;35.1;38.2;37.1;158.0
1903;14.6;9.6;14.4;15.3;15.3;14.0;11.9;11.5;10.8;16.6;13.3;15.5;45.0;37.4;40.7;48.9;162.8
1904;16.0;17.5;13.0;12.8;13.4;12.8;8.3;10.2;12.2;10.2;10.7;15.1;39.3;31.3;33.1;39.2;152.2
1905;13.9;10.2;17.3;13.4;14.0;13.4;8.8;14.2;13.6;11.3;18.7;10.8;44.8;36.4;43.6;43.2;159.7
1906;17.4;15.1;14.2;14.4;13.7;7.0;10.3;7.8;7.6;13.6;17.9;15.8;42.3;25.0;39.1;39.9;154.7
1907;11.9;12.1;11.7;15.8;16.4;12.3;10.4;7.8;10.6;18.9;13.6;16.7;44.0;30.5;43.0;40.2;158.4
1908;10.7;12.8;14.8;14.1;14.6;13.2;11.3;12.0;11.8;8.5;12.7;15.1;43.4;36.5;33.0;37.7;151.4
1909;12.9;9.7;18.3;12.4;12.1;15.2;10.5;11.7;12.6;15.3;12.1;18.0;42.8;37.4;40.0;52.1;160.8
1910;16.9;17.2;12.7;14.7;16.3;14.3;11.9;12.5;8.5;14.5;20.0;17.6;43.7;38.7;43.1;38.9;177.1
1911;11.3;10.0;14.5;12.4;14.0;13.9;7.4;8.4;10.1;15.7;16.8;18.2;40.9;29.7;42.6;48.8;152.6
1912;16.3;14.3;17.8;10.4;13.8;14.3;12.4;15.3;9.8;14.6;13.4;13.4;41.9;41.9;37.9;42.2;165.6
1913;18.0;10.8;16.2;17.2;15.9;11.3;10.2;10.0;12.9;13.9;15.7;14.4;49.2;31.6;42.5;40.9;166.5
1914;11.6;14.8;18.6;12.0;15.8;12.7;13.6;12.3;11.5;13.5;14.1;18.9;46.4;38.6;39.1;54.9;169.4
1915;19.2;16.8;12.4;15.1;17.1;12.6;11.5;9.8;12.2;11.6;15.1;18.5;44.7;33.9;38.9;47.4;172.1
1916;10.9;18.0;16.8;14.8;14.2;11.4;10.3;11.6;12.3;14.8;16.8;18.7;45.9;33.3;43.8;44.0;170.6
1917;14.7;10.7;16.8;14.7;16.3;13.9;11.3;13.2;9.6;16.1;12.0;13.2;47.9;38.4;37.7;35.7;162.6
