Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Germany              : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;14.5;11.6;16.4;16.4;12.6;14.4;14.2;14.6;13.5;13.9;15.1;17.6;45.3;43.2;42.5;45.8;174.7
1902;16.9;11.3;16.6;12.1;17.0;13.8;15.9;16.8;12.6;13.7;7.3;17.9;45.7;46.5;33.5;46.6;171.8
1903;15.6;13.1;13.1;16.6;13.1;12.8;16.4;17.3;13.7;17.4;16.6;11.4;42.8;46.6;47.8;43.4;177.4
1904;14.6;17.4;13.2;14.9;15.5;13.6;10.2;12.9;13.0;14.1;16.0;15.6;43.6;36.6;43.1;44.0;170.9
1905;15.7;12.7;17.4;15.1;11.7;14.9;15.5;16.6;15.0;16.6;15.7;12.7;44.2;46.9;47.3;45.9;179.6
1906;18.7;14.4;17.2;12.5;16.2;13.6;14.1;14.9;13.3;11.1;15.4;17.2;45.9;42.7;39.8;47.5;178.7
1907;17.0;13.3;15.1;12.5;13.6;16.0;16.7;15.0;10.3;12.1;11.5;18.7;41.2;47.7;33.9;48.4;171.8
1908;13.8;15.9;13.9;15.8;17.9;13.3;16.1;15.9;12.7;5.3;12.9;11.8;47.6;45.2;30.9;40.0;165.3
1909;14.3;13.9;14.3;14.7;12.4;15.1;17.6;14.3;14.8;14.0;16.2;19.5;41.4;47.0;45.0;54.5;181.1
1910;18.3;16.6;11.0;14.4;15.1;17.2;17.4;17.4;13.3;8.7;18.2;15.9;40.6;52.0;40.2;45.2;183.7
1911;13.1;16.1;14.1;12.0;12.5;14.3;11.0;10.2;11.7;14.0;15.1;18.7;38.6;35.5;40.9;49.9;163.0
1912;16.9;14.3;16.4;12.8;15.4;17.1;13.7;18.7;13.3;14.7;16.9;18.0;44.6;49.4;44.9;45.0;188.2
1913;16.1;10.9;15.4;12.8;14.2;14.5;15.1;13.5;12.9;12.0;17.3;20.5;42.4;43.1;42.2;49.0;175.1
1914;15.8;12.8;20.1;12.9;16.2;14.4;18.2;12.3;14.5;13.3;14.2;17.8;49.2;44.9;42.0;51.2;182.5
1915;20.5;12.9;17.7;13.6;12.0;11.0;16.5;15.0;12.0;11.3;14.8;21.6;43.3;42.5;38.1;57.9;178.9
1916;20.2;16.1;14.4;15.0;14.5;17.1;15.9;15.6;13.1;15.0;15.1;20.0;43.9;48.5;43.2;45.7;191.9
1917;17.8;7.9;15.1;15.0;10.4;13.3;15.1;17.3;11.1;18.3;15.2;14.4;40.5;45.7;44.5;45.8;170.9
1918;18.0;13.4;10.4;15.0;9.8;14.8;16.1;15.4;16.7;13.5;11.0;21.2;35.1;46.3;41.3;48.8;175.2
1919;15.1;12.5;16.7;16.3;9.7;14.0;16.5;12.7;11.8;13.7;18.2;21.3;42.7;43.2;43.7;54.8;178.5
1920;20.5;13.0;11.8;17.8;15.9;11.9;17.7;15.2;14.2;6.4;7.0;15.9;45.5;44.8;27.6;46.7;167.3
1921;21.0;9.9;9.7;12.2;14.0;13.7;10.0;14.2;10.5;12.5;14.2;17.3;35.8;38.0;37.1;49.4;159.1
1922;18.5;13.6;15.8;16.9;12.0;14.2;17.8;16.3;16.5;13.0;15.9;18.4;44.7;48.4;45.5;50.1;189.0
1923;17.1;14.6;11.8;13.8;16.3;14.4;14.2;14.2;13.2;18.4;16.1;17.1;41.9;42.8;47.6;42.1;181.1
1924;13.1;12.0;12.3;16.9;16.5;14.3;16.6;17.5;15.4;12.3;12.1;12.8;45.6;48.4;39.8;43.2;171.7
1925;16.1;14.3;14.6;14.9;13.4;12.4;14.4;16.2;16.5;13.6;15.7;20.4;42.9;43.1;45.8;53.3;182.5
1926;17.2;15.7;15.0;12.3;15.8;17.2;17.5;13.4;12.6;17.3;15.9;15.8;43.1;48.0;45.9;46.3;185.7
1927;18.4;12.2;15.4;18.4;13.0;17.8;18.4;18.2;14.8;11.9;15.4;13.6;46.8;54.4;42.2;46.5;187.5
1928;17.0;15.9;11.4;15.1;15.0;14.6;12.6;15.8;9.9;15.3;19.6;16.3;41.5;43.0;44.7;40.7;178.4
1929;13.9;10.5;8.4;14.0;12.9;14.8;14.1;11.8;10.2;17.5;14.1;19.8;35.3;40.7;41.8;42.4;161.9
1930;13.6;9.0;13.8;15.6;17.0;12.7;19.7;15.6;16.0;17.8;18.7;13.0;46.3;48.0;52.5;47.4;182.4
1931;20.1;14.3;12.3;16.1;15.2;15.7;19.6;17.2;15.4;12.8;10.5;15.5;43.6;52.5;38.7;38.9;184.6
1932;16.1;7.3;11.3;15.3;16.8;11.9;16.7;13.3;15.7;18.4;13.7;8.8;43.4;41.9;47.8;36.4;165.3
1933;13.5;14.1;12.7;11.6;16.5;17.3;14.6;13.0;12.1;15.4;13.4;10.4;40.8;44.8;40.9;37.1;164.5
1934;16.3;10.4;13.6;11.9;11.4;13.8;12.9;16.7;13.5;15.9;14.1;16.4;36.9;43.5;43.4;50.6;166.9
1935;16.4;17.8;12.6;18.1;14.3;16.5;11.9;13.6;15.5;17.4;13.0;16.2;45.1;42.0;45.9;50.4;183.3
1936;18.4;15.8;11.5;16.8;13.2;12.8;19.2;13.8;14.4;15.0;14.1;14.8;41.4;45.7;43.5;50.4;179.7
1937;17.1;18.5;17.4;16.6;14.3;14.6;14.5;14.4;14.6;10.7;13.0;16.5;48.3;43.5;38.3;48.5;182.2
1938;20.5;11.5;11.5;11.4;15.2;12.3;16.0;15.6;12.9;15.2;14.3;15.6;38.1;43.8;42.5;45.3;172.0
1939;18.7;11.0;16.9;14.5;14.8;12.7;16.7;15.1;14.7;18.5;18.6;15.5;46.2;44.5;51.7;41.8;187.7
1940;13.7;12.6;18.0;14.2;13.3;13.3;18.4;15.1;16.0;11.1;18.1;16.8;45.4;46.9;45.2;47.4;180.6
1941;16.2;14.3;15.3;13.1;14.5;13.4;16.3;18.4;11.0;17.6;12.0;17.0;42.9;48.1;40.6;42.0;179.2
1942;14.2;10.8;12.9;12.1;15.4;13.4;18.1;13.3;13.8;14.9;14.9;13.5;40.4;44.8;43.6;42.6;167.2
