Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Greece               : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;10.4;10.8;7.8;5.8;7.0;7.6;2.9;3.9;3.1;8.0;11.7;11.2;20.7;14.4;22.8;31.9;90.2
1902;9.8;10.9;9.6;5.2;7.6;3.7;0.7;2.9;2.1;8.2;9.8;12.0;22.4;7.4;20.1;28.8;82.6
1903;7.7;9.2;10.0;9.4;7.2;4.9;3.7;1.5;1.0;5.9;8.6;14.7;26.6;10.1;15.5;38.7;83.7
1904;14.4;9.6;8.0;8.1;8.3;5.0;1.5;1.8;4.5;8.6;9.1;11.6;24.5;8.2;22.2;36.9;90.6
1905;14.8;10.4;10.8;5.5;4.4;5.5;3.3;1.9;2.2;9.6;8.8;7.6;20.7;10.7;20.7;30.3;85.0
1906;11.6;11.1;8.2;8.6;10.2;7.0;4.1;5.7;2.7;7.9;9.0;13.7;27.0;16.7;19.6;37.2;99.7
1907;12.0;11.5;9.5;10.0;2.8;5.1;0.6;5.7;1.0;3.5;8.5;11.6;22.2;11.4;13.0;31.0;81.7
1908;9.8;9.6;8.7;7.0;6.3;3.7;1.5;1.1;5.3;4.9;10.1;13.9;22.1;6.3;20.3;36.7;82.0
1909;12.2;10.7;9.4;7.6;7.2;4.4;1.8;4.3;5.2;6.0;12.0;10.5;24.2;10.6;23.2;34.5;91.4
1910;12.7;11.3;9.8;8.8;9.1;3.4;3.0;1.0;4.0;4.0;9.9;13.7;27.7;7.4;17.9;31.2;90.6
1911;8.9;8.6;9.8;10.3;8.0;3.6;2.6;4.7;4.4;5.7;11.0;12.5;28.1;10.9;21.1;33.3;90.1
1912;11.4;9.4;7.5;8.1;6.8;4.3;4.8;0.7;3.5;5.4;13.7;12.1;22.3;9.9;22.7;33.8;87.8
1913;10.9;10.8;7.1;6.4;8.4;3.7;2.7;6.4;4.8;5.5;8.6;11.8;21.8;12.8;18.9;34.5;87.0
1914;13.9;8.8;7.3;7.5;7.7;6.2;3.8;5.1;3.0;6.2;12.2;10.9;22.5;15.1;21.4;35.5;92.6
1915;13.1;11.4;8.4;10.3;6.4;4.7;5.5;2.0;4.8;7.1;8.5;8.3;25.1;12.2;20.4;28.6;90.6
1916;9.4;10.9;8.5;8.0;6.7;2.4;2.3;4.4;4.1;6.2;9.0;12.5;23.2;9.1;19.3;36.2;84.5
1917;14.0;9.7;8.8;9.0;8.5;4.0;0.9;0.6;1.2;7.7;11.1;15.0;26.3;5.5;20.0;34.8;90.6
1918;9.0;10.8;10.0;6.7;6.3;3.9;2.5;3.5;1.6;9.5;12.7;13.5;23.0;9.9;23.8;37.4;90.0
1919;14.0;9.8;9.7;9.1;9.6;4.8;2.6;2.9;3.3;8.7;9.8;12.3;28.4;10.3;21.9;33.0;96.7
1920;10.9;9.8;9.3;9.9;8.0;4.3;3.7;3.8;1.1;8.6;9.9;12.0;27.1;11.8;19.7;30.1;91.2
1921;9.3;8.8;7.9;8.8;6.7;7.7;1.1;0.8;4.0;6.2;12.8;13.0;23.4;9.6;23.0;35.1;87.2
1922;12.5;9.5;6.7;6.1;9.7;2.9;0.8;1.5;1.4;6.3;12.4;11.3;22.5;5.1;20.1;36.5;81.0
1923;13.6;11.6;9.7;9.6;6.8;7.6;1.4;3.8;1.6;4.1;8.1;13.3;26.1;12.8;13.9;36.7;91.2
1924;12.5;10.8;8.8;4.1;5.8;5.3;1.8;4.6;4.0;8.7;11.7;11.1;18.7;11.8;24.4;27.7;89.4
1925;7.3;9.3;10.6;7.2;9.5;5.5;2.1;0.9;2.0;6.7;11.5;10.0;27.3;8.4;20.3;31.4;82.6
1926;12.9;8.4;7.9;6.0;6.6;4.0;2.5;3.1;1.8;3.1;6.5;15.0;20.5;9.6;11.5;37.5;78.0
1927;11.7;10.8;8.8;9.7;4.6;1.5;2.7;2.0;3.3;9.2;6.7;13.5;23.0;6.1;19.1;37.1;84.2
1928;13.5;10.2;11.8;8.1;5.0;1.3;0.8;2.5;2.1;5.8;13.5;14.3;25.0;4.6;21.4;38.5;88.9
1929;13.1;11.1;8.8;8.3;4.4;3.3;0.6;3.7;6.3;7.8;9.3;12.4;21.5;7.7;23.3;36.4;89.1
1930;11.9;12.1;7.8;9.2;8.5;6.1;4.8;2.1;4.9;8.8;7.1;13.5;25.5;13.0;20.8;40.7;96.9
1931;14.3;12.9;8.8;11.9;8.1;3.7;1.1;1.9;3.9;6.1;8.6;12.9;28.8;6.8;18.7;31.9;94.4
1932;9.5;9.5;11.0;8.0;5.1;3.0;0.5;0.9;2.3;5.0;10.9;9.0;24.2;4.4;18.2;31.4;74.8
1933;11.7;10.7;6.4;8.0;8.1;5.9;4.7;3.6;2.8;6.1;8.7;14.3;22.6;14.2;17.5;37.6;91.0
1934;12.4;10.9;7.7;6.8;6.7;5.5;3.9;1.4;2.3;7.8;9.8;11.8;21.2;10.8;19.9;37.3;86.9
1935;15.4;10.1;9.9;4.5;4.1;3.6;1.0;1.1;3.8;7.3;10.2;13.7;18.6;5.7;21.4;35.7;84.9
1936;11.0;11.1;9.6;8.4;10.4;7.6;2.4;3.8;3.3;8.4;11.2;11.6;28.4;13.8;22.9;32.6;98.6
1937;10.6;10.5;6.3;9.0;8.2;4.1;2.7;2.5;3.7;9.6;13.7;13.7;23.6;9.4;27.0;35.6;94.7
1938;10.5;11.5;7.3;11.5;5.2;1.1;2.2;2.9;3.9;7.4;9.5;15.3;24.0;6.3;20.8;37.0;88.3
