Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Hungary              : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;12.5;10.2;13.8;11.9;9.9;12.8;13.1;11.5;10.4;11.0;11.7;14.2;35.7;37.4;33.1;40.1;143.2
1902;11.7;14.2;13.1;11.5;15.5;14.3;12.2;9.7;8.5;13.9;5.4;13.7;40.0;36.2;27.8;33.9;143.6
1903;11.1;9.1;8.4;15.1;11.1;13.9;14.1;9.1;7.8;10.3;15.3;13.6;34.6;37.0;33.3;37.6;138.6
1904;10.0;14.0;10.4;9.9;11.6;10.8;6.9;10.1;10.9;13.3;12.2;11.7;31.9;27.9;36.4;30.2;131.9
1905;9.5;9.0;10.0;13.2;14.1;13.6;9.9;9.9;10.5;14.6;16.1;9.5;37.3;33.4;41.3;30.5;139.9
1906;11.3;9.8;14.0;10.9;13.6;14.7;14.0;11.2;13.5;6.1;12.9;17.8;38.4;39.9;32.5;40.7;149.6
1907;13.7;9.2;9.5;14.6;10.4;12.3;12.4;7.5;7.5;6.9;10.5;15.6;34.5;32.2;24.9;40.6;130.2
1908;11.1;13.9;10.7;14.7;10.9;10.0;12.3;11.7;7.6;4.9;11.6;11.4;36.2;34.1;24.0;34.7;130.7
1909;11.9;11.5;12.3;10.3;14.3;12.6;12.8;10.8;10.6;8.3;10.7;16.9;36.9;36.2;29.7;42.8;143.0
1910;14.4;11.4;5.9;14.4;14.7;13.9;11.9;11.3;12.4;8.0;17.2;13.3;34.9;37.1;37.6;34.1;148.8
1911;10.3;10.5;8.7;11.7;16.0;11.6;8.5;10.5;9.4;11.1;9.5;13.3;36.3;30.6;30.0;39.7;131.0
1912;13.2;13.2;14.9;14.4;14.2;13.2;11.4;11.3;14.0;11.5;12.7;12.6;43.5;35.8;38.2;31.5;156.4
1913;12.0;6.9;8.8;11.3;14.1;12.2;16.3;13.4;11.2;7.2;12.5;13.1;34.2;41.8;30.9;29.5;138.9
