Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Ireland              : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;21.0;13.8;18.8;18.0;15.6;16.8;12.3;19.7;21.8;20.2;19.5;21.6;52.3;48.7;61.5;56.6;218.9
1902;17.3;17.7;17.8;16.7;17.9;17.0;17.1;17.5;17.6;16.9;23.0;19.3;52.4;51.6;57.5;63.5;215.8
1903;24.8;19.3;25.9;14.4;18.0;16.0;21.9;23.5;19.8;23.3;17.6;19.9;58.3;61.4;60.7;64.7;244.5
1904;22.1;22.7;18.5;16.0;18.0;15.5;19.2;20.7;18.9;16.0;17.5;18.1;52.6;55.4;52.4;51.0;223.2
1905;18.0;14.9;24.0;18.1;13.5;14.9;14.2;23.7;15.0;13.8;21.5;17.0;55.6;52.8;50.3;58.9;208.5
1906;23.5;18.4;17.7;14.6;21.1;14.3;16.2;18.4;12.0;22.2;17.0;18.9;53.4;48.9;51.2;49.7;214.4
1907;14.4;16.3;17.4;18.1;20.7;20.0;16.8;19.8;13.1;22.6;19.0;22.0;56.2;56.6;54.6;57.9;220.1
1908;19.1;16.9;21.5;16.6;18.2;14.1;18.0;19.7;23.0;15.3;16.7;21.3;56.3;51.8;54.9;53.2;220.3
1909;17.5;14.4;20.4;21.7;16.3;14.0;17.6;12.8;15.0;23.9;14.2;21.7;58.5;44.4;53.0;65.3;209.5
1910;20.4;23.2;17.0;17.3;17.7;20.1;18.1;23.1;10.3;16.8;21.3;21.3;52.0;61.3;48.4;53.4;226.6
1911;14.5;17.5;16.5;16.2;15.4;15.1;17.8;16.2;16.8;20.8;22.6;26.4;48.1;49.1;60.2;67.4;216.0
1912;21.5;19.4;22.5;12.0;14.0;22.3;20.3;22.4;10.7;17.9;16.9;22.0;48.5;65.0;45.4;62.2;221.9
1913;25.9;14.4;21.8;20.3;22.2;16.8;10.2;12.7;19.9;22.1;21.5;17.3;64.3;39.7;63.6;56.1;225.1
1914;15.7;23.1;23.1;13.7;15.7;11.5;18.9;21.5;15.9;15.7;21.2;27.6;52.5;51.9;52.8;71.8;223.6
1915;21.0;23.1;12.1;15.1;14.6;14.2;22.9;17.5;14.8;21.8;19.7;25.5;41.7;54.6;56.2;65.6;222.1
1916;18.2;21.9;16.6;18.6;22.0;16.0;15.0;19.1;16.1;27.1;25.1;19.7;57.2;50.0;68.3;51.0;235.3
1917;16.2;15.1;19.5;13.8;20.1;15.3;16.5;26.3;15.0;22.6;18.8;17.4;53.4;58.2;56.3;58.7;216.5
1918;20.1;21.3;16.2;13.2;17.4;13.5;20.0;17.0;24.9;21.2;20.0;23.7;46.8;50.4;66.0;61.5;228.3
1919;22.3;15.4;19.6;14.4;18.9;15.9;12.6;17.9;16.8;12.8;17.2;24.3;52.8;46.5;46.8;65.3;208.1
1920;24.3;16.7;21.6;20.3;21.2;15.4;22.1;16.6;15.9;22.7;20.7;20.4;63.1;54.2;59.3;55.8;238.0
1921;21.6;13.8;21.2;11.1;17.6;6.0;20.0;21.3;13.3;18.1;20.5;19.0;49.9;47.4;51.9;62.0;203.6
1922;22.4;20.6;16.3;17.9;14.9;13.4;19.2;20.8;19.0;12.3;14.6;21.0;49.1;53.4;45.9;64.8;212.3
1923;18.6;25.2;18.0;19.7;15.2;11.0;17.9;24.2;19.7;21.6;19.6;19.8;52.9;53.1;61.0;58.1;230.5
1924;24.4;13.9;13.1;18.3;22.0;19.3;20.6;21.2;24.5;19.8;20.9;25.1;53.3;61.1;65.3;69.6;243.1
1925;21.8;22.6;11.0;20.3;23.9;7.8;18.7;17.3;17.6;19.8;17.7;18.2;55.1;43.9;55.1;63.4;216.7
1926;26.5;18.7;13.9;16.4;19.5;17.4;17.6;18.4;14.4;18.6;23.7;11.8;49.7;53.4;56.7;52.0;216.8
1927;22.8;17.3;22.0;14.2;14.5;18.9;19.6;22.8;21.2;18.2;20.3;19.5;50.7;61.2;59.8;64.0;231.4
1928;24.7;19.9;23.2;15.7;15.0;22.7;14.1;23.5;15.4;25.2;23.4;21.6;53.9;60.3;64.0;58.2;244.4
1929;15.4;21.3;10.4;12.6;19.0;15.7;19.5;21.5;11.6;21.7;25.5;28.1;42.0;56.7;58.9;64.9;222.3
1930;25.3;11.5;23.3;15.4;16.7;15.7;19.2;24.4;21.5;24.3;21.5;21.8;55.3;59.3;67.3;55.4;240.5
1931;18.1;15.6;17.9;16.9;21.4;20.0;17.7;17.7;15.5;14.4;25.6;18.0;56.3;55.5;55.4;46.4;218.8
1932;22.5;5.9;17.1;17.6;20.0;13.8;19.9;15.3;16.9;19.2;14.7;23.9;54.7;49.1;50.7;60.1;206.9
1933;19.4;16.8;20.0;13.9;18.7;15.6;17.1;15.4;11.7;17.4;14.0;16.0;52.6;48.1;43.1;39.4;196.0
1934;17.0;6.4;20.1;17.1;16.8;14.1;14.1;20.7;22.3;20.6;13.8;26.5;54.0;48.9;56.7;58.1;209.4
1935;12.5;19.1;14.5;17.7;12.5;21.6;10.6;16.1;21.4;20.0;22.7;18.5;44.6;48.3;64.1;59.8;207.1
1936;24.3;17.1;17.6;13.7;13.4;16.3;21.4;12.7;18.7;15.6;19.7;21.7;44.8;50.4;53.9;69.7;212.2
1937;25.7;22.3;20.3;17.5;16.0;13.6;20.6;15.8;18.6;16.3;16.3;19.0;53.8;50.1;51.1;56.3;221.9
1938;22.9;14.5;14.4;4.6;20.8;18.8;20.5;19.0;17.6;23.9;23.1;21.0;39.8;58.3;64.6;63.0;221.1
1939;23.3;18.7;18.6;14.2;12.3;15.2;21.0;14.2;14.2;17.4;25.0;18.7;45.0;50.4;56.6;60.4;212.7
1940;21.1;20.6;19.5;17.9;14.0;12.3;17.3;7.7;15.0;24.1;23.1;20.5;51.4;37.3;62.2;60.9;213.1
