Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Italy                : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;9.8;12.7;13.6;9.4;11.5;9.6;6.8;6.4;10.8;13.6;11.4;13.8;34.5;22.7;35.8;39.5;129.4
1902;10.8;14.9;12.4;12.8;12.5;8.2;4.6;5.0;7.4;13.4;12.8;11.2;37.7;17.8;33.7;30.1;126.1
1903;10.4;8.5;11.7;12.8;9.0;11.2;6.8;3.7;6.6;11.0;13.5;16.0;33.5;21.6;31.1;41.5;121.1
1904;13.2;12.3;14.2;11.1;8.0;9.3;5.8;7.7;9.8;11.6;11.5;12.1;33.3;22.8;32.8;36.5;126.6
1905;11.8;12.6;12.8;11.3;14.1;10.3;7.7;7.4;8.5;12.1;14.4;10.5;38.3;25.4;35.0;37.3;133.6
1906;13.1;13.7;11.6;11.6;11.4;9.4;7.0;4.8;8.2;10.6;12.8;14.4;34.6;21.1;31.6;39.1;128.5
1907;12.8;11.9;9.3;14.2;9.1;7.9;5.4;4.7;7.9;12.7;11.4;12.9;32.7;18.1;32.0;32.9;120.3
1908;10.4;9.6;13.6;13.9;6.5;6.9;7.9;6.1;6.4;8.7;13.3;14.1;33.9;20.8;28.5;37.3;117.4
1909;11.5;11.7;14.3;11.0;10.4;9.2;6.5;7.7;9.0;11.0;12.7;12.7;35.7;23.3;32.7;38.9;127.6
1910;13.1;13.1;10.5;13.3;11.2;10.2;6.1;5.7;9.4;10.8;13.7;14.7;34.9;22.1;33.9;34.2;131.8
1911;11.7;7.9;12.4;12.2;12.9;9.0;5.9;6.0;9.3;10.3;13.5;13.2;37.5;21.0;33.2;38.1;124.4
1912;14.0;11.0;11.9;12.7;11.1;9.2;5.3;5.8;9.3;11.5;12.5;10.3;35.7;20.3;33.3;33.1;124.6
1913;12.7;10.1;10.6;13.3;11.2;9.2;7.8;6.4;8.1;9.3;11.0;11.8;35.1;23.4;28.4;35.9;121.4
1914;12.9;11.2;13.2;8.3;12.4;8.8;6.7;7.3;6.9;11.7;13.0;14.2;33.9;22.7;31.6;45.6;126.6
1915;16.9;14.4;13.7;12.5;10.4;11.7;6.3;6.1;9.8;11.3;14.4;12.3;36.6;24.0;35.5;33.8;139.7
1916;9.1;12.4;13.3;13.2;9.0;6.2;6.3;7.5;11.1;10.7;15.2;15.4;35.4;20.0;37.1;42.8;129.5
1917;16.5;10.8;13.9;11.6;9.6;6.3;6.3;5.5;5.3;12.0;13.5;12.5;35.1;18.0;30.9;28.8;123.9
1918;9.2;7.1;12.2;14.3;11.1;9.7;5.6;6.1;6.7;13.7;11.4;12.2;37.6;21.4;31.9;39.0;119.4
1919;14.9;11.9;11.8;13.1;9.8;7.4;5.7;4.9;7.6;10.8;13.4;11.0;34.6;17.9;31.8;33.0;122.2
1920;12.6;9.4;11.8;12.4;6.9;10.3;4.6;7.4;7.7;11.1;11.7;12.5;31.2;22.3;30.5;34.1;118.4
1921;10.7;10.9;12.2;14.4;10.6;10.5;5.3;7.1;6.3;7.8;11.3;11.5;37.2;22.9;25.4;35.8;118.6
1922;14.0;10.2;12.2;12.8;7.2;8.0;5.3;4.8;9.0;11.3;10.4;12.2;32.2;18.1;30.8;38.9;117.5
1923;12.7;14.1;10.3;14.3;6.8;8.8;3.9;5.9;8.1;7.2;14.6;14.9;31.4;18.6;29.9;41.1;121.5
1924;13.5;12.7;13.1;13.0;8.7;9.3;7.0;6.9;6.4;11.2;8.3;13.0;34.9;23.1;25.8;32.5;123.0
1925;7.8;11.7;13.4;13.1;11.3;6.7;5.9;6.1;8.0;9.9;14.9;10.5;37.8;18.7;32.9;32.8;119.5
1926;12.2;10.0;12.3;10.6;11.9;10.3;7.6;5.1;7.8;9.1;14.4;12.7;34.8;22.9;31.3;38.3;123.9
1927;14.9;10.7;13.3;9.2;10.8;7.0;3.6;4.7;8.7;9.6;12.6;16.0;33.3;15.3;31.0;37.6;121.2
1928;12.7;8.9;16.7;14.1;11.0;5.1;3.0;4.8;10.4;11.7;14.2;13.4;41.8;13.0;36.4;37.4;126.1
1929;13.1;10.9;9.3;11.5;9.1;8.4;3.3;8.2;6.4;10.7;14.4;12.2;29.8;19.9;31.5;38.3;117.4
1930;13.5;12.6;11.5;13.0;12.3;7.6;7.4;6.2;8.3;11.3;10.1;14.4;36.8;21.3;29.7;41.8;128.2
1931;13.1;14.4;12.2;13.3;11.3;4.9;4.2;5.7;8.0;10.7;14.4;10.9;36.7;14.8;33.1;29.5;123.0
1932;8.9;9.7;13.8;12.3;10.0;8.7;8.8;4.8;7.5;12.0;12.9;11.3;36.1;22.3;32.4;37.3;120.7
1933;14.0;11.9;10.1;10.0;11.5;11.2;5.0;4.9;8.8;10.3;14.5;14.9;31.6;21.1;33.6;35.5;127.2
1934;11.6;9.1;14.3;11.8;10.4;10.0;5.8;8.0;8.3;10.3;14.0;13.8;36.5;23.8;32.7;38.5;127.4
1935;13.0;11.7;10.7;9.6;9.6;4.8;5.5;7.3;6.5;13.2;14.2;14.4;29.9;17.6;34.0;39.8;120.7
1936;12.5;12.8;11.9;13.9;12.1;9.9;5.8;5.0;8.8;11.3;11.2;11.3;37.9;20.6;31.3;35.7;126.6
1937;12.0;12.4;14.3;13.2;9.9;8.8;5.7;7.8;11.0;11.4;13.0;14.7;37.4;22.3;35.5;37.8;134.4
1938;12.1;11.1;6.2;10.8;12.3;6.2;5.6;9.1;8.3;10.6;11.4;13.5;29.4;20.9;30.3;36.1;117.1
1939;13.4;9.3;14.0;10.3;13.6;8.7;3.5;7.0;11.5;12.0;11.2;13.4;37.8;19.3;34.6;37.7;127.8
1940;13.9;10.5;9.2;11.7;13.2;10.6;6.7;6.4;6.7;13.7;12.7;10.7;34.2;23.7;33.2;37.6;126.1
1941;13.6;13.3;11.2;13.9;12.6;8.8;5.1;5.6;7.2;11.4;15.0;9.5;37.7;19.5;33.6;36.3;127.2
1942;13.5;13.3;11.0;11.4;8.9;8.4;5.9;5.5;7.3;8.6;12.3;13.7;31.3;19.8;28.2;37.2;119.8
1943;12.1;11.3;11.7;8.6;11.0;7.7;4.9;4.9;7.8;10.0;14.0;13.9;31.3;17.6;31.7;33.6;117.8
1944;8.3;11.5;10.7;10.5;7.4;8.7;6.1;6.1;9.1;12.5;11.7;12.3;28.6;21.0;33.2;32.5;114.9
1945;13.3;7.0;9.5;9.2;8.4;4.3;4.5;6.0;7.3;8.4;12.6;13.2;27.1;14.7;28.3;32.4;103.5
1946;12.0;7.3;12.4;9.7;9.7;7.2;6.3;5.8;4.5;11.5;14.2;14.1;31.8;19.4;30.2;38.8;114.8
1947;12.0;12.6;10.2;7.9;9.2;6.6;4.2;7.2;7.9;10.7;10.1;13.1;27.3;18.1;28.6;37.3;111.8
1948;13.7;10.4;4.4;12.0;11.3;9.5;7.6;6.2;8.0;11.7;10.2;10.4;27.7;23.3;29.9;28.4;115.5
1949;11.5;6.4;10.4;7.4;12.6;8.2;5.0;5.3;6.8;11.2;15.9;10.5;30.4;18.6;34.0;34.9;111.4
1950;13.5;10.9;10.6;13.9;6.8;6.7;3.6;6.1;8.1;10.6;12.4;14.9;31.3;16.4;31.1;43.1;118.1
1951;15.1;13.2;14.3;8.5;12.5;7.0;5.6;5.9;10.0;11.1;13.4;11.0;35.4;18.5;34.6;34.9;127.7
1952;12.9;11.0;9.4;10.5;10.3;5.0;7.6;6.3;9.6;10.4;12.9;14.1;30.2;18.8;32.9;36.4;120.0
1953;12.2;10.1;6.2;11.9;12.5;12.7;6.8;8.2;7.7;12.7;9.5;10.6;30.6;27.7;29.8;36.6;121.0
1954;13.6;12.4;12.4;13.3;13.0;8.2;6.4;6.5;6.6;9.5;12.5;11.9;38.7;21.1;28.6;37.4;126.3
1955;12.9;12.6;12.4;8.6;7.4;8.9;7.6;7.2;10.9;10.8;11.1;11.2;28.4;23.7;32.9;35.8;121.8
1956;12.0;12.5;13.7;13.0;9.2;9.7;5.7;4.8;7.6;10.7;13.7;10.4;35.8;20.2;32.1;32.3;123.0
1957;12.8;9.1;8.3;12.2;12.5;8.4;6.7;7.4;6.7;11.0;14.0;13.3;32.9;22.6;31.7;35.7;122.4
1958;12.1;10.3;12.6;13.7;9.6;9.7;7.9;5.6;6.9;11.5;15.3;14.8;35.9;23.2;33.7;32.1;130.1
1959;10.9;6.4;12.3;13.8;12.8;10.5;5.7;7.6;9.2;10.9;13.9;15.1;38.9;23.7;34.0;39.8;129.0
1960;12.8;12.0;15.3;11.5;10.1;7.4;6.7;5.6;10.0;12.3;12.7;15.9;36.9;19.7;34.9;38.9;132.3
1961;14.9;8.0;7.9;10.9;10.8;8.7;6.0;4.2;5.4;11.8;14.2;11.8;29.6;18.9;31.3;34.7;114.5
1962;11.6;11.4;14.3;11.5;10.4;7.3;4.7;2.8;7.0;10.5;14.9;13.5;36.2;14.8;32.4;40.7;119.8
1963;13.7;13.6;11.5;11.8;10.4;10.0;7.1;9.2;9.7;10.1;12.2;12.5;33.7;26.3;32.1;30.9;131.9
1964;7.3;11.1;14.1;11.0;9.8;8.7;5.3;8.5;6.1;13.9;11.3;15.6;34.9;22.6;31.3;40.1;122.8
1965;14.2;10.3;12.1;11.8;9.3;7.0;4.4;8.4;11.3;6.5;12.2;11.9;33.2;19.8;30.0;35.3;119.5
1966;12.7;10.6;10.5;12.2;11.4;7.6;8.1;8.1;7.9;12.9;15.2;11.9;34.1;23.9;36.0;32.8;129.3
1967;10.3;10.6;9.8;10.9;9.3;9.1;5.4;6.2;9.0;6.7;12.6;13.1;30.0;20.7;28.3;38.0;112.9
1968;11.8;13.2;8.4;9.4;10.7;10.8;5.6;9.0;6.8;7.8;14.2;14.2;28.6;25.4;28.8;40.2;121.8
1969;13.0;13.0;14.0;10.6;9.8;8.9;6.8;7.5;10.8;6.3;11.6;14.5;34.4;23.3;28.7;39.6;126.9
1970;14.6;10.5;13.0;9.0;9.8;6.6;4.5;7.3;5.9;9.2;9.1;13.4;31.8;18.3;24.3;38.7;112.8
1971;13.6;11.7;13.4;10.3;10.8;7.7;5.5;4.3;9.0;7.9;13.7;10.7;34.6;17.4;30.7;41.1;118.7
1972;16.1;14.4;11.8;14.2;10.1;7.5;8.8;7.5;9.0;10.4;8.1;13.2;36.1;23.8;27.6;41.9;131.1
1973;15.6;13.1;12.0;10.9;6.0;7.8;5.9;6.8;10.2;10.1;8.5;12.0;28.9;20.6;28.9;36.6;118.9
1974;11.1;13.5;11.8;15.7;9.2;6.4;4.7;7.4;9.8;11.8;12.0;8.2;36.7;18.5;33.5;27.8;121.6
1975;8.5;11.2;14.6;10.1;12.5;9.7;4.5;9.4;6.3;11.1;14.4;11.9;37.2;23.6;31.8;35.6;124.2
1976;11.0;12.6;11.8;12.1;10.6;8.1;9.1;9.4;8.0;14.0;16.1;13.7;34.5;26.6;38.1;38.8;136.6
1977;13.9;11.1;9.8;12.2;10.7;9.1;6.7;9.9;7.6;8.6;10.8;11.8;32.7;25.7;27.0;40.3;122.1
1978;15.5;13.0;12.4;16.4;11.8;7.2;4.6;6.4;7.9;11.8;9.4;11.8;40.6;18.2;29.1;39.9;128.2
1979;13.9;14.1;13.3;14.7;6.2;8.0;5.6;8.5;9.7;12.6;14.3;12.2;34.2;22.1;36.7;33.3;133.2
1980;13.8;7.4;15.8;10.9;13.5;8.7;4.5;6.6;4.4;12.6;13.5;12.4;40.3;19.9;30.4;33.5;124.1
1981;11.2;9.8;9.8;9.5;9.3;7.0;6.0;5.5;9.6;9.6;6.9;14.3;28.7;18.5;26.1;33.1;108.7
1982;8.9;9.9;13.1;10.7;9.5;6.1;5.1;7.6;8.2;12.2;14.3;13.3;33.3;18.8;34.6;31.3;118.8
1983;7.2;10.9;13.1;8.8;9.1;8.8;4.5;8.5;8.4;9.3;10.4;14.8;31.0;21.7;28.1;39.5;113.7
1984;11.8;12.9;12.3;11.4;12.2;7.0;3.1;10.2;9.4;10.5;12.9;14.4;35.8;20.3;32.8;38.0;127.9
1985;15.0;8.6;15.0;10.3;10.7;6.1;3.4;5.2;5.1;10.1;13.8;9.3;36.1;14.7;29.0;38.3;112.6
1986;14.9;14.1;13.1;12.2;7.6;10.2;8.1;4.7;8.0;8.6;12.5;10.7;32.9;23.0;29.1;39.3;124.7
1987;14.7;13.8;11.7;6.6;12.6;10.5;6.2;4.2;5.0;11.5;16.6;9.9;31.0;20.9;33.1;36.5;123.3
1988;14.7;12.0;12.5;13.4;10.5;10.4;4.4;5.4;7.8;10.9;11.2;9.2;36.4;20.1;30.0;21.5;122.3
1989;4.7;7.5;8.1;17.2;8.7;11.4;9.0;5.8;12.2;7.8;11.5;9.2;34.0;26.2;31.4;23.1;113.1
1990;7.5;6.4;8.3;16.9;8.5;7.4;7.4;5.9;6.4;14.1;14.0;16.9;33.8;20.7;34.5;36.7;119.7
1991;8.7;11.0;10.4;14.0;14.7;7.8;5.8;3.9;8.9;13.1;14.5;7.4;39.1;17.5;36.5;22.5;120.2
1992;9.3;5.8;10.1;13.6;9.2;11.0;7.7;4.7;7.5;14.3;10.5;12.4;32.9;23.4;32.4;25.9;116.1
1993;5.7;7.9;10.1;12.2;9.0;5.9;4.8;5.0;11.2;12.1;15.8;12.5;31.3;15.7;39.1;36.8;112.1
