Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Latvia               : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;15.2;17.2;12.5;14.3;6.8;14.4;9.3;14.1;11.6;12.2;19.5;22.8;33.7;37.8;43.3;59.5;170.0
1902;23.5;13.1;15.9;9.5;14.4;14.8;15.7;16.2;14.5;15.9;10.8;18.8;39.7;46.7;41.2;55.0;183.0
1903;17.6;18.6;12.1;16.7;14.5;13.3;14.6;19.6;10.6;17.5;19.1;14.9;43.3;47.6;47.2;49.9;189.2
1904;15.4;19.7;8.6;14.7;13.3;12.6;11.5;17.0;10.2;16.4;19.6;23.6;36.6;41.1;46.2;57.9;182.6
1905;20.5;13.7;14.6;13.4;10.0;9.9;14.5;15.4;16.3;20.8;17.3;16.0;37.9;39.7;54.4;50.8;182.3
1906;19.5;15.4;17.2;11.6;12.2;14.9;13.3;18.6;12.0;12.8;20.2;20.8;41.0;46.8;45.0;53.9;188.3
1907;18.7;14.5;13.0;12.4;10.5;13.8;16.0;15.3;14.3;10.7;12.4;19.4;36.0;45.2;37.4;58.8;171.2
1908;21.4;18.0;15.2;12.2;12.5;11.3;11.5;18.4;16.7;12.0;16.9;14.1;39.9;41.2;45.6;40.8;180.1
1909;13.9;12.8;14.6;13.7;8.8;10.7;16.5;12.9;10.7;11.9;19.5;22.2;37.1;40.2;42.1;57.5;168.3
1910;19.7;15.7;12.3;11.5;11.2;11.2;15.6;17.1;14.4;11.2;19.7;21.5;35.0;43.9;45.4;60.2;181.3
1911;20.5;18.2;11.3;11.1;9.9;12.8;13.6;12.6;13.1;17.9;18.6;17.1;32.3;39.1;49.5;46.8;176.7
1912;14.8;14.9;18.0;12.9;13.9;12.8;11.2;15.8;17.6;16.4;18.2;23.2;44.8;39.7;52.2;55.1;189.6
1913;15.4;16.5;15.4;14.3;8.9;11.2;16.2;14.3;14.5;15.0;19.7;24.4;38.6;41.7;49.1;56.7;185.7
