Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Macedonia            : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;11.2;11.8;11.3;9.6;14.2;15.9;6.9;8.2;5.7;10.1;10.7;12.5;35.1;31.1;26.5;35.6;128.2
1902;9.9;13.2;11.4;10.8;14.8;8.9;4.8;5.7;7.6;8.5;9.0;11.8;36.9;19.5;25.1;28.0;116.3
1903;8.9;7.4;10.9;15.1;13.4;12.4;7.2;5.7;4.0;8.2;8.9;11.9;39.4;25.2;21.2;33.1;113.9
1904;10.2;11.0;9.2;11.6;13.3;13.5;4.7;5.8;7.7;10.1;8.3;10.4;34.1;24.0;26.2;29.3;115.9
1905;10.4;8.5;10.9;10.3;13.0;11.4;7.7;8.0;6.4;11.1;9.0;8.4;34.2;27.1;26.5;30.4;115.0
1906;11.1;11.0;10.2;8.8;15.3;16.7;5.2;5.1;6.7;8.6;8.9;13.2;34.3;27.0;24.1;35.9;120.7
1907;11.5;11.2;9.8;11.7;9.3;12.2;4.2;5.8;3.6;7.2;9.5;10.7;30.7;22.2;20.3;30.7;106.7
1908;9.4;10.5;9.4;12.6;10.1;7.2;7.1;4.5;4.4;7.4;9.8;11.9;32.1;18.7;21.6;33.6;104.2
1909;11.1;10.6;11.8;8.2;16.9;6.4;9.5;8.3;7.8;7.2;12.4;12.4;36.9;24.2;27.4;33.1;122.6
1910;10.6;10.1;10.1;13.6;12.6;7.3;6.0;4.7;7.4;6.9;10.6;11.3;36.3;18.0;24.9;29.2;111.2
1911;9.5;8.4;10.5;12.8;14.3;10.2;9.1;8.5;8.1;7.3;7.5;10.7;37.6;27.8;22.9;29.2;116.9
1912;10.6;7.9;10.6;12.9;13.3;10.5;9.3;4.5;8.9;7.9;12.7;10.2;36.8;24.3;29.4;29.7;119.3
1913;11.6;7.9;8.6;10.9;15.3;12.9;11.2;9.7;6.5;5.3;8.8;11.0;34.7;33.7;20.6;30.9;119.5
1914;12.1;7.8;11.6;8.9;14.5;11.2;10.0;8.0;6.3;9.0;10.3;11.5;35.0;29.2;25.6;33.8;121.2
1915;13.4;9.0;12.0;11.0;16.6;14.8;12.1;7.4;7.1;12.3;9.8;9.4;39.6;34.3;29.3;27.0;134.9
1916;7.4;10.3;11.3;11.9;12.2;8.2;7.7;8.7;8.8;8.5;10.1;11.6;35.4;24.7;27.5;32.7;116.9
1917;12.2;8.9;12.8;12.1;12.6;9.0;5.3;4.1;4.0;8.6;11.2;11.1;37.5;18.3;23.8;30.0;111.9
1918;9.7;9.2;11.0;10.8;12.1;10.4;9.8;6.9;5.2;11.1;11.5;11.7;33.9;27.1;27.8;35.6;119.3
1919;12.4;11.5;12.6;13.4;15.8;9.6;8.8;5.7;6.1;11.3;10.2;11.0;41.8;24.1;27.7;29.6;128.5
1920;10.6;8.0;11.1;15.0;12.6;12.2;6.6;6.2;4.8;10.5;9.3;9.6;38.7;25.1;24.6;26.6;116.5
1921;8.9;8.1;8.5;11.2;10.3;12.0;5.3;4.7;5.7;6.5;11.1;12.4;30.0;21.9;23.3;31.6;104.7
1922;10.9;8.3;8.9;12.1;14.4;8.2;4.4;4.9;4.9;10.6;10.9;9.3;35.4;17.4;26.4;32.0;107.8
1923;10.9;11.8;12.3;12.6;11.4;11.8;6.7;6.6;4.9;7.0;9.4;12.8;36.4;25.1;21.4;32.6;118.5
1924;9.6;10.2;10.0;10.5;11.5;12.3;7.5;11.0;6.0;9.9;10.8;9.3;32.1;30.8;26.6;25.4;118.6
1925;6.7;9.4;12.2;11.8;15.6;12.1;9.1;4.6;7.4;7.7;10.6;11.8;39.6;25.8;25.6;29.5;119.0
1926;11.4;6.3;10.6;10.7;13.3;13.2;9.2;6.7;5.2;6.9;6.6;13.1;34.6;29.1;18.6;34.8;113.1
1927;12.3;9.4;10.3;13.1;12.0;8.2;5.7;7.4;7.0;10.2;9.4;13.9;35.4;21.2;26.7;33.5;118.9
1928;10.8;8.8;12.1;13.9;12.9;6.8;3.8;5.2;6.4;8.1;13.0;12.6;38.9;15.8;27.4;34.1;114.4
1929;11.8;9.7;9.6;13.7;10.5;11.8;4.2;9.1;6.2;8.1;10.0;11.4;33.8;25.2;24.3;30.9;116.2
1930;9.7;9.8;9.2;12.9;14.6;10.3;7.4;8.4;6.4;8.7;8.0;12.5;36.8;26.1;23.2;36.4;118.0
