Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Moldova              : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;12.5;13.4;12.4;13.7;8.7;16.3;12.6;10.2;7.5;10.2;3.9;11.8;34.8;39.2;21.6;28.1;133.1
1902;7.1;9.3;10.6;9.5;13.2;10.8;10.8;8.6;7.5;10.3;1.8;13.1;33.4;30.2;19.7;26.2;112.7
1903;7.9;5.2;7.0;13.9;12.9;13.9;9.3;6.7;1.1;7.4;7.6;10.9;33.8;29.9;16.1;24.8;103.8
1904;6.3;7.7;10.6;7.3;11.5;10.9;6.6;8.9;12.4;8.3;11.2;7.2;29.4;26.4;31.8;25.7;108.7
1905;8.9;9.6;4.5;11.9;9.6;11.7;8.9;5.4;8.3;12.6;13.1;9.1;26.0;26.0;33.9;31.0;113.5
1906;12.6;9.3;9.3;11.3;14.0;13.2;14.6;8.7;6.2;6.4;8.7;13.9;34.7;36.5;21.3;31.7;128.3
1907;9.1;8.7;11.4;10.0;7.7;15.5;11.5;5.4;8.4;3.7;11.2;10.9;29.1;32.4;23.3;32.7;113.6
1908;9.8;11.9;8.2;9.1;7.7;11.2;13.4;9.5;10.7;8.9;10.2;10.2;25.0;34.1;29.8;33.7;120.8
1909;11.3;12.3;12.6;8.7;9.0;15.5;7.8;5.7;9.7;7.8;10.3;10.1;30.3;29.0;27.8;35.6;120.8
1910;13.5;11.9;5.8;11.9;10.7;12.8;15.3;10.1;4.4;10.4;11.9;7.9;28.4;38.2;26.7;29.1;126.8
1911;12.3;8.9;8.2;11.5;11.3;15.0;11.5;11.0;9.3;7.0;8.8;12.2;31.1;37.5;25.1;35.3;127.0
1912;12.9;10.2;10.0;12.3;14.7;12.2;14.5;11.4;14.2;11.8;11.6;9.8;37.0;38.0;37.6;25.4;145.5
1913;9.7;6.0;7.6;8.8;12.5;12.4;13.2;10.8;9.2;3.0;11.1;10.0;28.9;36.3;23.3;26.6;114.2
1914;12.0;4.6;13.1;9.5;13.6;14.2;14.6;10.8;12.2;11.0;9.9;8.8;36.2;39.6;33.1;33.3;134.3
1915;14.9;9.6;13.9;10.7;12.8;11.0;12.6;10.7;6.4;9.4;10.5;7.4;37.4;34.2;26.3;31.0;129.9
1916;10.5;13.1;10.4;10.4;14.5;11.0;12.6;5.9;4.6;12.1;9.5;11.1;35.4;29.5;26.3;34.9;125.9
1917;14.4;9.3;11.7;12.3;8.5;14.0;9.3;9.7;6.1;9.6;9.6;8.2;32.4;33.0;25.4;21.5;122.8
1918;5.8;7.4;6.2;5.9;8.7;12.3;14.0;11.0;7.9;10.7;12.8;13.2;20.8;37.3;31.4;30.9;116.0
1919;8.0;9.7;11.1;10.1;15.6;15.1;14.0;9.8;4.9;11.9;12.4;12.6;36.8;38.9;29.2;34.6;135.2
1920;13.2;8.7;10.9;8.1;10.9;14.6;8.0;8.2;6.6;5.7;6.9;8.2;29.8;30.8;19.2;28.0;110.0
1921;9.6;10.2;2.5;10.2;10.6;12.3;10.8;7.1;6.5;4.7;14.2;7.7;23.3;30.1;25.4;30.2;106.4
1922;13.7;8.8;10.4;13.7;14.0;13.8;7.2;8.9;11.6;12.4;12.7;10.1;38.1;29.9;36.6;35.8;137.3
1923;13.6;12.0;12.8;10.2;11.2;12.4;9.6;6.4;8.0;6.1;7.1;15.1;34.2;28.4;21.2;33.7;124.6
1924;8.2;10.4;9.2;15.0;7.3;10.4;10.4;10.0;6.6;5.3;10.2;5.2;31.4;30.8;22.1;21.1;108.1
1925;7.3;8.6;7.7;10.1;10.8;13.4;10.6;10.0;9.6;6.0;11.6;12.1;28.5;34.1;27.3;30.0;118.0
1926;8.8;9.1;8.7;8.7;15.3;15.5;14.2;9.3;6.6;8.0;1.9;12.3;32.8;39.1;16.5;29.4;118.5
1927;10.9;6.1;8.7;9.5;12.0;10.0;11.6;12.0;7.6;7.4;9.1;11.5;30.2;33.7;24.1;27.8;116.5
1928;6.5;9.9;5.6;10.1;11.2;12.7;6.6;10.7;7.6;9.0;12.2;15.7;27.0;30.0;28.8;37.2;117.8
1929;12.9;8.6;6.2;11.8;11.2;10.6;10.5;5.7;8.7;7.9;10.4;7.7;29.2;26.8;27.0;20.8;112.2
1930;5.8;7.4;9.1;13.6;15.3;11.3;9.8;10.1;6.8;8.6;9.7;14.0;37.9;31.3;25.1;33.0;121.4
1931;11.7;7.3;11.7;12.2;9.9;12.1;9.4;11.6;9.7;7.9;11.2;9.0;33.8;33.1;28.9;31.6;123.8
1932;10.1;12.6;11.5;9.7;14.5;17.0;11.0;8.9;5.6;11.5;7.1;9.0;35.7;36.8;24.2;31.9;128.4
1933;12.1;10.7;10.2;13.5;14.0;13.2;14.5;10.9;9.2;9.8;11.2;9.9;37.6;38.6;30.2;27.4;139.2
1934;10.4;7.2;5.5;5.6;9.8;10.7;12.4;11.0;9.0;7.7;9.9;5.5;21.0;34.0;26.6;27.3;104.6
1935;11.9;9.9;6.1;12.1;9.3;10.6;10.2;8.4;7.1;5.2;8.5;12.0;27.6;29.2;20.8;32.2;111.4
1936;8.6;11.5;6.5;11.5;6.2;15.6;9.1;10.8;8.2;11.1;10.8;9.3;24.3;35.5;30.1;33.8;119.4
1937;13.0;11.5;8.0;14.2;6.8;10.3;11.6;14.3;5.9;8.9;11.8;14.3;28.9;36.2;26.7;34.0;130.6
1938;9.5;10.2;7.2;11.4;11.5;10.6;9.2;9.4;9.0;12.2;7.9;12.8;30.2;29.2;29.0;29.8;120.9
1939;8.9;8.2;12.4;8.1;11.4;8.9;8.0;8.7;8.7;14.5;7.7;13.1;31.9;25.6;30.9;37.9;118.5
1940;12.4;12.4;9.2;12.3;15.1;15.7;11.9;11.2;7.0;11.0;9.6;14.2;36.6;38.8;27.5;44.2;141.9
1941;15.7;14.3;11.5;13.1;13.7;15.6;15.6;9.6;10.2;8.7;8.0;9.8;38.3;40.8;26.9;32.2;145.7
1942;13.6;8.8;6.3;12.3;11.0;13.6;11.4;4.1;5.1;7.0;13.5;7.1;29.6;29.1;25.7;28.3;113.8
1943;11.9;9.4;6.0;7.2;14.8;10.7;15.4;5.5;9.7;6.7;12.6;13.8;28.0;31.6;29.0;37.2;123.7
1944;9.5;13.9;13.2;11.4;12.2;10.3;10.6;7.7;5.7;6.7;10.8;7.1;36.7;28.6;23.2;24.1;118.9
1945;9.3;7.7;9.3;13.8;11.5;9.0;9.4;10.3;5.2;8.4;6.6;8.3;34.7;28.8;20.3;23.2;109.0
1946;5.4;9.5;7.2;5.4;9.1;7.2;8.0;5.6;5.9;12.8;11.0;11.7;21.7;20.8;29.8;32.8;98.9
1947;11.9;9.2;10.8;7.0;4.4;14.4;7.7;14.1;5.6;7.6;13.0;11.3;22.2;36.2;26.2;30.4;116.9
1948;10.4;8.7;10.5;2.6;13.9;18.2;12.4;6.4;7.0;7.7;7.9;2.8;27.0;37.0;22.7;19.8;108.6
1949;6.7;10.3;9.0;7.1;9.5;18.2;14.9;6.3;8.4;2.0;10.3;12.0;25.7;39.3;20.6;27.8;114.5
1950;9.4;6.4;9.3;10.2;8.3;8.3;10.4;11.8;6.8;11.4;7.9;12.0;27.8;30.5;26.1;27.7;112.3
1951;7.5;8.2;10.1;10.6;12.8;9.0;9.4;7.8;7.0;4.6;8.5;7.5;33.5;26.2;20.1;30.1;102.9
1952;9.4;13.2;8.3;4.7;10.5;13.0;7.1;5.6;6.9;11.8;13.0;11.3;23.6;25.7;31.7;36.5;115.0
1953;12.3;12.9;4.6;9.9;13.6;10.1;6.4;7.5;7.1;2.9;5.3;7.1;28.1;24.0;15.3;25.4;99.7
1954;11.0;7.2;3.1;10.0;12.8;10.0;10.8;9.1;6.7;8.2;12.0;12.0;25.8;29.9;26.9;35.1;112.8
1955;11.2;12.0;8.6;11.2;13.3;12.6;14.9;12.3;9.7;5.6;7.9;10.9;33.1;39.7;23.2;34.4;130.0
1956;10.3;13.2;8.3;9.9;11.0;13.0;9.7;9.8;9.1;6.2;9.2;13.1;29.3;32.6;24.5;30.7;123.0
1957;8.9;8.6;6.2;9.9;12.2;8.9;9.5;8.3;10.3;6.8;8.6;7.0;28.3;26.8;25.7;27.7;105.3
1958;9.5;11.2;10.8;15.4;6.3;15.7;8.7;11.8;7.6;8.4;9.0;9.2;32.5;36.2;25.0;26.6;123.7
1959;10.4;7.0;4.8;6.3;11.9;11.4;7.7;11.4;9.1;4.1;12.0;15.4;22.9;30.5;25.2;36.7;111.4
1960;12.4;8.9;5.2;7.3;14.8;10.3;10.8;8.8;7.8;9.0;12.4;12.6;27.3;29.9;29.2;30.1;120.3
1961;11.1;6.3;6.9;10.3;15.0;9.7;10.1;7.5;3.4;4.6;11.7;10.9;32.2;27.4;19.7;33.1;107.6
1962;8.6;13.6;13.3;11.1;10.1;11.4;11.9;5.6;11.5;4.0;13.7;9.7;34.5;29.0;29.3;36.3;124.7
1963;14.0;12.6;10.5;8.8;9.2;12.2;10.2;9.0;4.3;5.1;6.1;13.8;28.5;31.4;15.5;33.0;115.7
1964;6.7;12.5;10.7;9.1;11.3;9.2;12.7;9.3;10.7;8.8;10.0;8.8;31.1;31.2;29.6;29.9;119.9
1965;9.3;11.8;8.2;13.4;13.1;12.7;10.5;7.7;5.6;4.9;11.6;11.4;34.7;30.9;22.1;46.0;120.2
1966;20.2;14.4;14.1;12.7;10.7;15.8;14.5;11.5;9.1;9.0;14.4;13.8;37.4;41.8;32.6;41.5;160.3
1967;14.5;13.2;11.9;8.6;11.7;14.0;8.1;10.9;6.1;6.3;9.7;14.0;32.2;33.0;22.1;45.4;129.0
1968;18.1;13.3;10.4;4.9;10.3;8.6;15.9;8.5;13.1;10.5;10.2;11.2;25.6;33.0;33.7;39.6;134.9
1969;14.0;14.4;11.2;10.3;9.1;17.2;13.7;7.8;5.8;4.5;7.0;17.9;30.6;38.7;17.3;43.5;132.8
1970;11.5;14.1;11.4;13.3;17.4;15.2;10.9;11.1;7.9;10.3;9.0;15.5;42.0;37.3;27.2;36.1;147.5
1971;9.1;11.5;13.4;8.9;13.9;13.8;13.1;5.5;13.9;7.0;11.4;14.3;36.1;32.5;32.3;29.4;135.9
1972;8.8;6.3;6.3;12.8;11.7;13.0;11.7;12.4;12.0;13.0;11.5;4.6;30.8;37.1;36.5;24.7;124.0
1973;7.8;12.2;11.5;8.1;12.5;9.3;13.7;6.7;5.3;7.5;9.6;7.9;32.1;29.7;22.4;23.9;112.3
1974;9.0;6.9;3.8;11.0;15.0;15.0;15.5;7.1;9.6;9.2;8.4;12.4;29.8;37.7;27.2;29.8;123.1
1975;8.5;8.9;5.3;14.8;12.8;12.2;12.1;7.0;3.9;11.7;7.3;8.7;32.9;31.3;22.9;31.2;113.1
1976;16.9;5.6;11.9;12.0;9.5;11.6;10.8;13.6;13.8;8.6;13.7;10.4;33.4;36.0;36.1;31.5;138.4
1977;8.9;12.2;7.2;15.2;10.7;15.3;12.4;11.5;9.2;4.7;9.4;9.3;33.1;39.2;23.3;29.3;126.1
1978;6.5;13.5;13.0;12.2;15.8;13.6;12.2;9.6;13.0;5.9;4.4;12.7;41.1;35.3;23.3;36.6;132.4
1979;14.4;9.5;10.8;12.2;10.7;12.5;14.7;10.7;5.0;8.3;11.6;9.9;33.7;37.9;24.9;27.7;130.2
1980;9.4;8.3;13.8;13.6;14.4;17.8;14.4;8.5;9.5;10.8;14.2;15.4;41.8;40.7;34.5;37.7;150.2
1981;12.6;9.7;9.8;9.5;12.3;11.1;9.7;8.1;8.5;9.9;14.2;12.3;31.6;28.9;32.6;29.7;127.6
1982;8.2;9.3;7.2;13.8;5.7;14.7;13.4;8.6;2.4;5.4;5.2;9.9;26.8;36.7;13.0;26.9;103.8
1983;8.8;8.3;6.9;8.3;10.9;13.8;13.2;9.6;4.2;5.7;5.9;7.4;26.1;36.7;15.7;34.0;103.0
1984;12.2;14.4;12.7;13.3;12.1;15.7;11.9;6.9;7.9;6.7;10.3;10.9;38.1;34.6;24.9;36.8;135.1
1985;13.5;12.4;5.8;11.5;11.5;18.4;12.6;8.2;9.0;6.2;11.4;9.2;28.8;39.2;26.6;33.8;129.7
1986;12.5;12.1;6.5;9.4;5.0;13.9;12.8;8.3;4.8;8.3;5.8;11.1;20.9;35.0;18.9;31.2;110.5
1987;14.4;5.6;7.5;10.0;12.1;10.7;9.8;12.3;5.5;8.7;11.7;11.5;29.5;32.8;25.8;31.8;119.8
1988;11.5;8.8;15.6;12.7;13.5;12.2;13.1;7.0;11.1;7.4;7.4;13.5;41.8;32.3;25.9;25.1;133.8
1989;4.6;7.1;8.7;8.8;8.9;15.1;9.0;8.4;13.6;8.2;8.1;5.9;26.4;32.6;29.9;20.2;106.4
1990;5.9;8.3;3.9;14.3;10.4;13.0;8.1;6.7;10.1;7.9;6.9;13.7;28.5;27.8;24.9;30.3;109.3
1991;6.9;9.7;4.4;11.2;14.9;13.8;12.9;11.7;6.3;11.0;4.9;9.3;30.5;38.3;22.3;24.4;117.0
1992;7.1;8.0;11.7;9.8;13.3;15.6;8.8;5.0;7.9;10.1;10.7;11.1;34.8;29.5;28.7;27.6;119.2
1993;6.9;9.6;14.0;13.1;11.8;13.9;12.7;8.5;10.3;4.4;9.6;9.7;38.9;35.1;24.2;25.1;124.4
1994;10.0;5.4;8.4;8.1;11.1;10.8;9.1;10.7;3.2;9.2;7.3;12.1;27.6;30.6;19.7;34.1;105.3
1995;13.5;8.5;11.3;12.0;13.2;13.3;6.4;9.5;13.5;5.1;12.6;11.0;36.5;29.1;31.2;34.6;129.9
1996;12.2;11.5;9.4;9.0;9.6;7.2;9.0;9.2;17.9;8.4;9.1;11.9;28.0;25.3;35.5;22.4;124.4
1997;4.6;5.9;7.0;12.6;8.7;14.9;16.0;11.0;9.4;10.4;8.7;12.9;28.3;41.9;28.5;25.8;122.0
1998;8.2;4.7;11.8;9.1;11.1;12.2;15.9;6.7;8.9;10.5;9.1;4.8;31.9;34.9;28.5;22.6;113.1
1999;7.8;9.9;9.6;14.4;10.0;9.6;8.6;7.2;6.4;8.9;5.7;11.0;34.0;25.4;21.0;29.3;109.1
2000;11.7;6.6;9.6;8.5;4.5;8.7;14.9;5.9;11.2;1.6;7.8;7.3;22.6;29.5;20.6;22.4;98.4
2001;7.6;7.5;10.4;9.5;10.8;17.5;10.1;4.0;11.3;5.3;11.8;8.0;30.7;31.6;28.4;18.9;113.8
2002;6.0;4.8;7.7;7.7;8.3;11.3;12.5;9.5;11.4;11.3;10.5;4.2;23.7;33.3;33.1;21.9;105.2
