Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Montenegro           : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;11.4;13.5;15.2;10.8;12.6;13.5;10.2;8.9;12.3;14.6;10.8;16.3;38.7;32.6;37.7;43.0;150.2
1902;10.0;16.7;16.7;16.1;16.6;12.6;5.8;5.6;11.5;15.0;10.2;12.0;49.3;24.0;36.8;33.0;148.9
1903;10.8;10.2;12.9;17.3;12.0;12.3;9.1;5.6;6.0;11.9;14.7;15.6;42.2;26.9;32.6;43.2;138.3
1904;12.8;14.9;14.0;11.3;10.6;10.8;7.2;7.5;10.3;15.0;10.9;12.7;35.9;25.5;36.2;38.7;138.1
1905;12.0;14.0;14.1;15.0;13.3;13.1;8.3;6.1;8.7;16.6;16.3;7.6;42.3;27.5;41.6;35.9;145.0
1906;14.2;14.1;13.6;11.0;14.4;13.1;8.7;7.9;10.2;9.3;13.0;17.2;39.0;29.7;32.5;44.4;146.8
1907;12.9;14.3;8.8;17.8;11.9;11.6;7.6;5.8;6.3;10.7;12.4;17.1;38.5;25.0;29.5;44.0;137.2
1908;13.8;13.1;15.0;18.5;6.3;8.3;9.8;7.7;5.3;10.0;14.7;14.9;39.8;25.7;30.0;37.7;137.3
1909;11.4;11.4;16.9;11.8;16.7;10.5;8.3;12.0;12.6;10.7;16.2;14.8;45.5;30.8;39.5;45.8;153.5
1910;16.1;14.9;12.4;18.7;13.6;12.6;12.5;7.5;12.3;13.6;16.7;14.0;44.6;32.6;42.5;37.2;164.8
1911;13.0;10.1;8.4;15.4;16.9;10.4;8.3;6.5;10.7;10.8;11.8;14.1;40.7;25.2;33.2;41.3;136.4
1912;15.1;12.1;16.2;17.5;14.3;9.6;9.2;8.7;10.8;11.5;14.9;11.1;48.0;27.5;37.2;34.0;151.0
1913;13.9;9.0;8.5;12.9;14.8;12.9;14.3;11.6;10.4;7.9;10.4;14.5;36.2;38.7;28.8;38.7;141.1
1914;14.0;10.3;17.7;11.8;14.9;13.2;11.3;6.9;10.2;11.7;14.5;16.1;44.4;31.5;36.3;50.3;152.6
1915;18.3;15.9;16.3;15.2;12.8;15.7;14.4;10.9;11.1;16.6;14.8;14.6;44.4;40.9;42.4;34.9;176.5
1916;9.5;10.8;16.3;12.4;12.4;7.5;8.9;10.4;12.5;13.6;14.7;18.2;41.0;26.7;40.8;47.3;147.2
1917;18.1;11.0;15.7;13.6;9.4;4.7;8.1;7.4;4.3;13.6;15.4;14.8;38.6;20.1;33.2;32.7;135.9
1918;10.8;7.1;12.2;14.9;14.1;12.2;9.2;9.4;7.0;14.4;10.4;13.9;41.2;30.9;31.9;42.6;135.8
1919;15.1;13.5;14.4;16.9;13.7;10.5;10.8;7.0;9.3;14.0;17.0;11.4;45.0;28.3;40.2;35.6;153.7
1920;15.7;8.6;13.4;14.7;10.1;14.6;10.1;9.4;7.9;10.4;9.7;14.6;38.2;34.1;28.1;38.1;139.2
1921;11.4;12.2;9.6;16.4;13.4;15.6;6.5;9.3;5.8;7.6;13.4;12.1;39.5;31.4;26.8;40.5;133.3
1922;15.2;13.2;15.2;17.9;9.7;10.7;4.8;2.8;11.8;16.9;12.5;11.4;42.9;18.3;41.2;42.0;142.3
1923;15.1;15.4;12.6;15.3;10.1;13.7;7.6;8.5;8.9;10.6;18.4;16.6;38.1;29.8;38.0;47.5;153.0
1924;14.8;16.1;12.8;18.0;13.4;12.2;10.3;10.9;9.6;13.6;7.7;11.1;44.1;33.3;30.9;31.7;150.4
1925;6.8;13.8;12.5;15.5;14.5;13.4;9.4;7.2;11.2;10.1;20.1;16.0;42.5;30.0;41.4;39.9;150.4
1926;14.2;9.8;11.4;12.6;15.1;17.0;12.9;8.6;6.5;10.0;14.2;17.2;39.1;38.5;30.8;42.9;149.5
1927;16.9;8.7;16.4;8.5;15.1;9.1;5.1;7.8;10.2;11.8;13.0;18.7;40.0;22.0;35.0;36.2;141.3
1928;8.9;8.7;15.7;16.2;16.5;8.2;3.6;5.9;11.8;12.3;14.9;13.6;48.4;17.7;39.0;40.4;136.3
1929;15.3;11.4;6.0;17.2;12.0;12.9;3.5;11.7;7.2;12.9;16.8;11.8;35.3;28.0;36.9;41.7;138.8
1930;13.4;16.4;12.4;15.5;15.2;11.3;11.4;9.5;6.4;12.6;10.3;15.3;43.2;32.2;29.3;43.2;149.9
1931;13.9;14.1;15.1;16.4;11.5;8.2;7.9;6.2;12.7;13.0;15.1;11.0;43.0;22.3;40.8;29.1;145.0
1932;8.1;10.0;17.6;17.7;13.2;11.0;11.1;6.1;5.1;15.1;13.7;13.0;48.5;28.2;34.0;42.5;141.8
1933;15.2;14.3;13.0;13.2;15.2;12.5;8.3;5.4;8.6;12.5;15.6;18.0;41.4;26.2;36.7;37.2;151.8
1934;11.9;7.3;14.5;11.5;12.5;12.5;10.6;11.0;11.5;10.5;15.1;13.9;38.5;34.2;37.1;43.6;143.0
1935;14.6;15.1;11.7;13.2;9.7;6.9;6.5;8.8;7.2;12.3;13.7;17.5;34.7;22.2;33.2;48.2;137.3
1936;12.8;17.9;12.9;14.6;14.3;12.3;8.3;7.0;11.4;14.6;11.2;10.9;41.8;27.6;37.2;39.6;148.2
1937;14.3;14.4;16.6;19.6;13.0;12.0;8.2;12.1;11.7;13.1;17.3;17.6;49.2;32.3;42.1;42.6;169.9
1938;12.3;12.7;8.1;12.8;15.2;6.7;7.5;11.8;9.7;12.2;11.3;13.3;36.1;26.0;33.3;35.6;133.6
1939;13.4;8.8;17.0;10.5;19.0;13.8;6.9;9.6;11.2;16.1;12.2;15.6;46.5;30.4;39.5;45.5;154.3
1940;15.6;14.2;10.1;13.7;15.5;13.3;10.0;9.5;8.9;16.7;15.3;11.8;39.3;32.9;40.9;44.4;154.7
1941;14.7;17.9;11.4;14.9;16.0;12.1;8.6;9.2;9.3;14.7;15.5;11.9;42.4;29.8;39.5;49.4;156.3
1942;18.1;19.4;13.3;14.9;14.1;10.6;8.6;5.6;6.6;8.6;14.4;12.0;42.3;24.9;29.6;38.7;146.3
1943;16.4;10.4;10.3;9.9;14.7;14.4;8.9;3.8;9.3;9.1;16.9;16.1;34.9;27.1;35.2;40.1;140.1
1944;10.2;13.8;13.4;12.0;8.8;14.5;10.9;7.2;11.8;16.3;15.0;13.5;34.1;32.6;43.1;36.3;147.4
1945;17.5;5.3;7.5;12.2;9.5;6.4;6.2;5.8;9.7;9.6;14.6;16.1;29.3;18.4;33.9;39.0;120.5
1946;12.7;10.1;9.6;9.8;11.0;8.2;5.6;6.9;4.7;13.4;17.4;15.4;30.4;20.7;35.5;45.2;125.0
1947;13.1;16.7;12.4;7.9;11.7;11.0;5.5;7.9;5.0;11.9;11.2;16.6;31.9;24.4;28.0;44.5;130.7
1948;15.6;12.3;4.3;16.8;12.9;14.1;9.6;7.8;9.5;12.4;11.7;5.5;34.0;31.5;33.5;24.0;132.4
1949;13.3;5.2;13.7;6.6;16.9;14.2;6.3;8.1;8.8;10.2;18.4;13.6;37.1;28.5;37.3;39.0;135.2
1950;12.3;13.1;10.3;13.9;7.7;6.3;5.8;5.0;9.7;12.4;15.4;18.5;31.8;17.1;37.5;47.1;130.3
1951;13.7;14.9;16.1;14.3;15.2;9.9;9.4;8.0;11.4;11.6;13.7;11.0;45.6;27.2;36.7;39.2;149.2
1952;15.4;12.7;10.1;8.7;11.6;7.5;8.3;3.3;10.9;13.5;17.0;18.2;30.5;19.1;41.3;44.4;137.1
