Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Norway               : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;19.7;17.5;17.0;14.2;13.5;15.7;12.3;21.5;14.1;21.7;21.1;17.9;44.7;49.5;56.9;59.6;206.3
1902;24.2;17.4;17.7;10.1;14.0;11.1;17.9;19.7;18.7;19.5;16.8;19.7;41.8;48.7;55.1;62.8;206.9
1903;19.9;23.2;20.2;16.0;14.8;15.5;17.5;21.6;16.6;19.4;21.1;16.3;50.9;54.6;57.0;48.9;221.9
1904;18.8;13.8;14.1;16.3;14.7;15.1;15.2;16.9;14.8;19.7;18.7;22.8;45.2;47.2;53.2;66.0;201.0
1905;21.8;21.3;13.7;16.7;15.0;14.4;18.6;17.0;20.7;17.8;17.8;20.8;45.4;50.0;56.3;58.8;215.7
1906;20.9;17.1;21.1;15.6;16.5;14.0;16.9;20.3;16.7;18.0;20.9;19.8;53.2;51.2;55.6;63.2;217.8
1907;22.6;20.8;17.5;14.0;14.4;17.5;16.9;19.6;19.6;19.2;16.0;17.9;45.9;54.0;54.8;61.9;216.1
1908;22.7;21.3;12.4;12.8;13.9;14.8;17.7;17.5;16.9;16.6;20.6;19.8;39.1;50.0;54.2;59.0;207.0
1909;22.8;16.4;14.0;15.2;14.4;13.7;17.4;23.3;18.0;23.5;19.3;21.5;43.6;54.4;60.8;62.3;219.6
1910;23.0;17.8;16.8;18.9;14.1;16.4;13.8;13.9;18.1;18.4;16.5;19.4;49.8;44.1;53.1;63.2;207.2
1911;22.8;21.0;16.4;18.6;10.0;16.7;15.8;16.8;21.0;19.9;18.7;17.5;44.9;49.2;59.6;51.9;215.0
1912;17.9;16.5;16.3;13.2;15.4;15.3;13.1;18.9;18.9;17.9;22.3;22.2;44.9;47.3;59.1;59.3;208.0
1913;17.0;20.2;20.2;15.5;14.4;14.4;15.8;17.1;14.1;20.2;21.6;24.5;50.1;47.3;55.8;67.3;214.8
1914;23.4;19.4;16.4;19.2;16.1;14.8;14.0;17.0;21.3;15.5;19.7;22.3;51.8;45.7;56.5;59.0;219.1
1915;20.9;15.8;17.2;16.9;14.1;14.2;19.3;18.1;17.3;10.0;21.1;16.8;48.2;51.6;48.4;57.8;201.6
1916;24.9;16.1;15.3;15.5;14.5;15.2;17.2;16.7;18.6;20.7;23.2;17.8;45.2;49.2;62.4;49.8;215.6
1917;14.1;17.9;15.3;15.9;14.7;17.7;14.3;19.0;22.5;21.0;22.8;21.6;45.9;51.0;66.3;63.0;216.8
1918;23.2;18.2;15.3;10.3;13.1;18.2;15.6;18.3;22.7;19.8;18.4;18.8;38.8;52.1;61.0;49.9;212.1
1919;16.5;14.7;17.1;18.6;9.8;17.0;13.2;20.4;24.0;17.4;14.7;16.1;45.4;50.7;56.1;61.9;199.4
1920;23.7;22.1;21.7;16.4;16.4;15.7;21.6;18.5;18.2;12.0;18.2;17.0;54.5;55.8;48.4;59.8;221.4
1921;24.2;18.6;20.6;15.1;18.6;18.3;18.1;21.2;19.5;23.1;15.4;22.9;54.3;57.6;58.0;56.1;235.7
1922;16.2;17.0;17.2;15.4;17.9;16.8;17.6;19.7;18.5;17.1;21.3;22.8;50.4;54.2;57.0;59.6;217.5
1923;23.9;12.9;12.4;11.4;17.6;16.2;16.1;18.6;23.2;23.0;20.7;20.0;41.4;50.9;67.0;59.7;216.0
1924;20.5;19.2;17.6;15.1;16.0;16.4;16.1;19.7;21.4;20.0;19.5;22.3;48.7;52.1;60.9;66.8;223.7
1925;24.0;20.5;17.6;15.5;14.9;15.9;16.9;18.9;20.7;21.7;19.2;20.7;48.0;51.7;61.7;54.4;226.5
1926;17.0;16.7;19.5;16.8;15.6;15.4;17.2;18.7;19.8;19.8;21.7;22.6;51.9;51.3;61.2;66.1;220.8
1927;24.7;18.8;18.1;17.2;16.0;17.9;15.5;18.9;19.7;23.1;16.6;13.2;51.4;52.3;59.4;55.0;219.8
1928;21.1;20.7;13.8;13.5;12.8;18.0;19.6;19.3;17.9;21.4;20.5;19.7;40.1;56.9;59.9;51.8;218.4
1929;19.0;13.1;18.4;14.3;15.8;15.1;15.5;22.5;19.5;24.8;21.3;23.2;48.5;53.1;65.6;62.0;222.5
1930;23.4;15.3;19.1;15.1;14.2;16.0;16.5;18.0;17.5;21.2;22.9;20.8;48.4;50.5;61.6;56.5;219.9
1931;18.7;17.1;14.9;13.6;17.2;18.6;18.2;18.2;16.2;22.9;17.3;23.1;45.7;55.0;56.5;66.4;216.0
1932;26.0;17.4;16.1;15.9;14.3;14.5;19.3;18.5;24.9;19.7;20.4;20.9;46.3;52.3;65.0;60.0;227.8
1933;19.0;20.1;17.6;15.7;10.1;11.6;19.3;19.5;14.4;22.0;15.5;19.4;43.4;50.5;52.0;64.9;204.4
1934;23.4;22.1;16.4;16.7;16.7;15.9;15.3;20.7;19.7;23.3;21.5;18.5;49.7;51.9;64.6;65.7;230.2
1935;24.0;23.2;16.6;17.1;12.2;18.3;17.5;15.7;20.4;23.7;18.4;21.0;45.9;51.4;62.5;58.7;228.1
