Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Poland               : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;14.5;12.4;17.0;14.6;10.6;14.9;12.0;13.4;11.1;13.2;17.9;21.4;42.3;40.2;42.2;54.1;173.1
1902;20.4;12.3;16.6;12.7;13.1;13.7;14.9;13.1;11.8;14.2;6.9;18.2;42.4;41.8;32.9;51.8;168.0
1903;18.0;15.7;11.0;17.0;12.9;13.7;15.3;14.6;9.9;16.3;16.7;14.7;40.9;43.7;42.9;45.6;175.8
1904;13.3;17.6;9.3;14.0;12.0;11.0;10.2;12.2;10.1;15.6;17.6;19.6;35.2;33.5;43.4;51.7;162.6
1905;17.8;14.3;12.5;14.9;12.9;12.6;15.7;13.8;14.3;17.1;18.3;15.2;40.3;42.1;49.7;44.5;179.4
1906;17.1;12.2;17.8;10.2;13.8;15.2;11.8;13.3;14.9;10.4;16.0;18.9;41.8;40.3;41.3;50.7;171.7
1907;18.0;13.8;15.0;12.4;10.8;14.1;17.2;13.2;12.1;8.9;12.5;22.1;38.2;44.5;33.5;56.8;170.2
1908;17.4;17.2;16.0;13.9;14.7;12.0;15.2;14.1;13.0;8.5;13.1;13.9;44.6;41.2;34.6;44.7;168.9
1909;15.2;15.7;14.4;13.4;11.5;13.2;16.5;11.0;12.2;8.8;18.3;19.3;39.2;40.7;39.3;50.2;169.5
1910;17.5;13.4;10.2;13.4;12.7;13.2;16.4;14.8;14.1;8.8;18.3;16.8;36.4;44.5;41.2;53.7;169.8
1911;18.9;18.0;13.8;12.2;13.1;12.2;11.2;11.1;11.8;12.6;14.5;17.3;39.1;34.5;38.9;51.6;166.7
1912;17.7;16.6;15.6;14.0;12.5;13.0;10.8;16.6;15.3;14.7;16.7;20.6;42.2;40.4;46.7;46.1;184.2
1913;14.0;11.5;15.0;14.0;11.8;12.5;15.5;15.1;14.2;11.9;16.5;22.7;40.8;43.1;42.6;48.7;174.8
1914;16.5;9.5;18.4;11.9;12.7;12.6;14.8;9.7;16.5;15.1;11.6;18.4;43.0;37.1;43.2;53.7;167.6
1915;21.5;13.8;17.3;12.8;10.4;9.4;15.5;13.3;15.0;13.9;17.2;22.6;40.5;38.2;46.1;60.1;182.7
1916;23.0;14.5;13.5;14.5;10.5;15.4;15.5;14.0;12.6;17.0;13.1;19.9;38.4;44.9;42.8;49.4;183.6
1917;18.4;11.1;16.0;16.2;8.7;9.8;14.1;12.6;10.4;15.8;17.4;17.0;41.0;36.4;43.5;51.2;167.5
1918;18.7;15.4;9.2;10.9;8.9;12.9;16.2;14.6;13.0;13.6;12.3;20.0;28.9;43.6;38.8;46.7;165.6
1919;15.5;11.1;15.6;14.8;11.8;14.4;16.8;13.0;11.5;14.1;17.0;20.0;42.1;44.2;42.5;55.1;175.5
1920;20.4;14.7;12.4;13.1;13.0;13.5;14.9;13.8;13.5;7.0;8.2;14.3;38.5;42.2;28.6;49.9;158.8
1921;22.9;12.7;9.6;14.0;11.8;12.9;9.3;12.3;10.7;13.1;15.1;19.8;35.3;34.5;38.9;51.3;164.0
1922;18.8;12.7;16.7;12.7;10.5;11.5;16.0;13.1;15.4;15.0;14.6;18.2;40.0;40.6;45.0;51.5;175.3
1923;18.2;15.1;9.2;13.0;12.5;14.1;12.1;13.0;11.8;17.8;17.8;18.6;34.6;39.2;47.3;49.4;173.0
1924;15.3;15.5;12.8;14.5;14.2;13.6;14.1;14.1;14.3;11.3;12.7;13.1;41.6;41.8;38.3;43.8;165.7
1925;16.4;14.3;14.4;13.3;11.2;15.7;13.6;16.5;14.8;14.8;15.0;18.8;38.8;45.8;44.6;50.0;178.6
1926;16.5;14.7;14.8;13.1;13.6;16.8;15.1;13.6;14.1;16.4;13.9;18.3;41.5;45.4;44.4;46.1;180.9
1927;16.5;11.4;15.0;16.9;12.8;15.8;16.5;14.0;14.8;14.0;16.8;11.9;44.7;46.3;45.6;46.9;176.3
1928;18.5;16.5;9.7;13.1;15.0;12.9;10.4;13.0;13.3;13.1;17.1;16.6;37.9;36.3;43.4;43.0;169.2
1929;14.9;11.5;10.1;12.2;12.8;13.3;14.1;12.1;11.3;15.6;16.7;17.2;35.0;39.5;43.6;39.6;161.7
1930;12.2;10.2;15.1;14.9;14.4;8.5;15.5;15.2;15.3;17.9;19.1;14.3;44.4;39.2;52.3;48.1;172.5
1931;19.8;14.0;12.8;14.3;11.3;13.5;15.4;14.9;17.3;14.4;10.2;17.6;38.4;43.8;41.9;43.1;175.5
1932;13.3;12.2;9.7;12.3;15.1;12.3;13.9;13.6;13.0;18.2;11.8;11.5;37.1;39.8;43.0;41.6;156.9
1933;13.8;16.3;10.5;12.2;13.3;16.0;14.0;13.1;12.7;14.8;15.4;14.2;36.0;43.2;42.9;40.2;166.4
1934;13.3;12.6;14.1;10.8;11.4;11.5;15.7;13.7;12.6;16.3;17.5;13.5;36.3;41.0;46.4;46.1;163.2
1935;14.7;17.8;13.1;14.6;13.5;13.3;15.3;11.6;14.8;18.2;11.3;15.6;41.2;40.2;44.3;47.8;173.8
1936;17.5;14.8;12.3;14.8;12.2;13.3;16.2;13.1;13.4;17.8;14.0;14.7;39.3;42.6;45.2;45.6;174.1
1937;14.2;16.7;18.5;13.6;9.9;13.3;14.2;14.2;13.6;10.1;16.8;19.4;41.9;41.7;40.5;51.3;174.5
1938;20.0;11.9;14.5;14.3;13.6;11.3;14.9;14.0;13.2;15.2;14.2;15.5;42.3;40.2;42.7;48.7;172.5
1939;19.5;13.7;16.0;12.0;14.1;11.3;15.3;11.8;13.8;17.5;15.2;17.6;42.1;38.3;46.5;48.8;177.8
1940;17.1;14.2;17.1;10.8;13.4;10.6;15.5;14.2;15.6;11.7;16.7;15.4;41.2;40.3;44.0;48.9;172.2
1941;17.9;15.6;16.3;15.1;13.6;12.1;14.4;15.2;11.1;16.4;13.6;19.7;45.0;41.7;41.1;47.1;181.0
1942;14.4;13.0;10.6;12.5;14.3;12.0;15.6;10.2;12.1;14.1;14.2;16.4;37.4;37.8;40.3;45.6;159.3
1943;15.8;13.4;9.8;11.7;10.5;14.2;14.9;12.7;14.0;6.3;15.3;15.3;32.0;41.9;35.6;49.5;154.0
1944;19.4;14.9;16.5;11.5;13.1;15.1;12.1;11.0;10.8;12.4;17.2;13.8;41.1;38.2;40.4;44.9;167.7
1945;15.6;15.5;14.5;14.1;12.1;14.7;14.6;16.1;12.9;14.6;15.2;17.4;40.8;45.4;42.7;49.2;177.5
1946;13.1;18.7;12.5;9.7;10.6;16.8;13.2;14.1;12.6;14.2;13.1;13.0;32.8;44.1;40.0;41.8;161.6
1947;16.3;12.5;17.2;13.4;6.4;12.4;13.9;13.6;9.2;8.9;20.0;20.9;37.0;39.9;38.0;56.3;164.7
1948;20.8;14.5;11.6;9.7;13.2;15.4;13.6;15.1;10.6;14.1;15.1;11.4;34.5;44.1;39.9;41.7;165.2
1949;15.9;14.3;13.4;13.6;12.4;15.0;15.1;12.9;8.3;6.9;18.1;18.7;39.4;43.0;33.3;50.6;164.6
1950;16.3;15.5;8.8;15.7;9.5;11.5;12.9;12.3;15.2;16.4;18.3;16.4;34.0;36.6;49.9;47.1;168.8
1951;16.7;14.1;17.2;12.4;12.4;12.2;13.0;10.1;9.4;3.0;16.0;14.3;42.0;35.3;28.4;48.7;150.7
1952;17.9;16.6;12.7;10.6;13.8;14.6;9.8;12.8;18.4;18.4;19.9;15.7;37.1;37.2;56.7;50.3;181.2
1953;19.5;15.0;9.1;9.3;11.1;14.1;14.6;11.6;12.1;7.7;12.4;10.1;29.5;40.3;32.1;35.4;146.6
1954;15.8;9.5;10.1;15.4;11.8;11.7;19.0;11.7;12.6;13.0;12.2;22.4;37.3;42.4;37.8;52.5;165.2
1955;15.8;14.3;12.4;13.9;12.9;13.0;16.1;10.4;13.2;12.6;13.3;22.1;39.3;39.5;39.1;52.9;170.0
1956;15.3;15.5;12.3;14.1;8.7;15.0;13.8;14.6;11.9;17.2;14.3;17.4;35.1;43.4;43.5;49.4;170.3
1957;14.9;17.1;13.3;9.9;11.1;11.1;17.3;14.3;17.8;9.1;10.5;15.4;34.2;42.6;37.4;51.0;161.7
1958;17.2;18.4;15.2;13.1;14.3;15.7;14.9;13.8;12.7;16.2;12.9;19.0;42.5;44.4;41.8;44.7;183.3
1959;16.8;9.0;10.9;13.0;9.6;13.0;14.8;11.2;8.9;9.5;11.3;20.6;33.5;39.0;29.8;51.2;148.6
1960;17.5;13.1;11.7;12.8;12.2;14.5;17.4;14.8;12.6;17.8;16.4;17.9;36.7;46.7;46.8;47.0;178.6
1961;15.5;13.6;14.8;11.8;14.7;14.3;16.1;13.0;9.9;9.6;16.7;17.4;41.3;43.4;36.3;49.9;167.4
1962;15.9;16.6;15.6;12.7;16.2;12.5;13.2;13.4;15.0;8.1;16.2;15.0;44.5;39.1;39.3;41.6;170.4
1963;13.6;13.0;11.0;9.5;13.1;11.5;10.1;13.6;14.8;13.2;18.2;12.6;33.6;35.2;46.2;37.8;154.2
1964;10.4;14.8;12.1;11.6;10.5;12.0;10.2;15.0;12.3;15.5;18.3;15.9;34.2;37.3;46.1;47.5;158.6
1965;17.3;14.4;13.7;13.7;15.0;13.6;17.4;12.4;13.5;7.3;16.5;19.8;42.4;43.4;37.3;56.8;174.5
1966;18.4;18.6;16.4;13.3;13.2;14.3;17.3;14.1;13.0;16.2;17.0;22.5;43.0;45.8;46.2;59.4;194.5
1967;19.9;17.0;17.8;13.6;13.6;15.2;11.5;12.3;13.7;14.8;14.2;22.0;45.0;38.9;42.8;56.7;185.6
1968;20.7;13.9;13.4;11.1;15.5;13.8;13.5;11.8;14.5;16.8;16.3;12.8;40.0;39.0;47.6;41.2;174.0
1969;13.8;14.6;11.7;13.3;12.9;13.1;9.6;14.4;8.3;11.4;17.7;14.0;37.9;37.0;37.5;48.4;154.8
1970;17.4;16.9;17.1;17.6;14.0;11.7;15.8;11.3;14.2;16.5;20.4;19.7;48.7;38.9;51.1;47.4;192.8
1971;12.9;14.7;13.3;11.9;11.1;15.8;9.3;9.9;13.7;13.5;15.8;17.9;36.3;35.0;43.0;37.1;159.8
1972;12.0;7.2;12.1;14.7;15.4;15.3;14.0;14.3;14.8;11.4;16.9;8.4;42.2;43.6;43.2;38.8;156.6
1973;12.9;17.5;10.3;14.5;12.2;14.4;16.8;8.3;13.4;15.4;16.9;17.2;36.9;39.5;45.7;47.6;169.7
1974;15.6;14.8;6.1;8.2;13.7;16.3;16.9;11.6;13.0;24.8;15.6;24.0;28.0;44.8;53.5;49.0;180.6
1975;16.2;8.8;13.0;13.8;11.5;13.9;15.1;10.1;10.0;14.5;11.2;16.3;38.3;39.2;35.7;46.7;154.5
1976;24.5;5.9;13.4;9.9;12.8;9.4;13.2;10.8;14.0;12.1;16.9;18.3;36.1;33.4;43.0;52.2;161.2
1977;16.4;17.5;15.3;15.4;12.5;11.6;16.8;14.6;13.7;8.9;17.9;16.5;43.3;43.0;40.5;44.2;177.2
1978;15.7;12.0;14.8;12.6;12.0;13.2;14.0;16.3;18.9;15.3;12.8;18.6;39.4;43.5;47.0;51.2;176.2
1979;19.8;12.8;17.7;12.4;9.9;12.0;15.6;13.8;14.0;8.8;17.6;19.5;40.0;41.5;40.3;45.2;173.9
1980;13.8;11.9;12.9;15.2;9.7;17.3;18.5;13.1;13.6;20.1;15.7;17.5;37.8;48.9;49.4;48.4;179.3
