Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Portugal             : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;15.1;14.2;18.7;12.1;9.0;3.9;1.5;1.5;11.3;11.8;10.8;14.5;39.8;6.9;33.9;41.1;124.4
1902;5.7;20.9;12.0;15.4;8.8;7.9;5.7;6.6;6.6;12.7;17.7;11.9;36.2;20.2;37.0;32.4;132.0
1903;13.4;7.0;11.1;12.6;15.0;10.3;6.6;3.1;10.4;11.6;7.9;18.5;38.7;20.1;29.8;50.6;127.6
1904;15.1;17.0;15.2;8.8;7.0;6.8;2.0;2.0;9.1;9.5;12.9;14.3;31.1;10.8;31.5;30.7;119.6
1905;11.4;5.0;11.8;12.5;8.8;9.4;5.3;3.0;7.8;11.1;17.5;12.2;33.1;17.7;36.3;35.9;115.8
1906;11.4;12.3;12.0;10.9;12.2;7.3;1.4;1.6;9.7;12.9;14.1;8.0;35.2;10.2;36.8;25.5;113.9
1907;8.0;9.5;2.8;13.6;15.7;2.2;5.2;3.7;11.9;17.9;16.8;16.9;32.1;11.1;46.6;37.3;124.2
1908;14.5;5.9;12.2;11.0;7.6;10.0;1.6;3.9;5.4;10.5;15.6;14.0;30.8;15.5;31.5;33.9;112.2
1909;11.7;8.3;18.2;9.8;12.5;7.3;1.7;3.3;8.4;10.5;16.9;18.2;40.4;12.3;35.9;38.7;126.8
1910;9.1;11.4;11.4;12.5;13.3;7.4;3.2;2.1;6.7;14.7;14.2;22.3;37.2;12.7;35.5;40.1;128.1
1911;10.5;7.3;16.3;14.2;11.2;9.1;4.0;6.0;7.0;17.0;14.4;16.6;41.7;19.1;38.4;53.9;133.5
1912;16.8;20.6;13.4;9.3;6.9;6.2;5.2;5.1;9.5;13.3;7.8;8.7;29.5;16.5;30.6;37.9;122.7
1913;17.6;11.7;14.4;10.0;9.0;5.5;1.4;3.3;10.5;19.2;11.8;9.9;33.4;10.2;41.5;39.1;124.2
1914;11.9;17.3;12.0;13.0;7.2;7.6;5.4;1.7;4.1;12.1;13.0;19.4;32.2;14.7;29.2;52.3;124.6
1915;16.9;16.1;17.8;8.8;10.6;3.8;3.2;2.1;5.9;8.6;15.5;17.4;37.3;9.1;29.9;42.0;126.7
1916;8.5;16.0;20.3;8.9;11.2;5.7;5.3;2.6;7.7;7.4;16.0;19.0;40.4;13.6;31.1;52.8;128.6
1917;16.2;17.5;15.6;11.2;11.8;6.1;1.0;3.4;3.4;7.6;2.4;10.6;38.7;10.6;13.4;37.9;107.0
1918;19.1;8.2;14.4;14.2;9.4;3.7;3.9;4.3;8.6;7.0;13.7;10.9;38.0;11.9;29.3;44.9;117.5
1919;15.5;18.5;13.7;12.8;8.4;5.4;5.2;1.6;7.1;10.3;17.0;11.6;34.8;12.2;34.4;35.1;127.0
1920;10.5;13.1;12.6;12.1;12.6;5.2;0.8;1.3;6.0;15.0;12.5;13.3;37.4;7.3;33.4;35.2;115.0
1921;9.6;12.3;10.0;8.4;10.1;4.7;3.9;2.3;9.0;12.1;14.0;9.9;28.4;11.0;35.0;34.1;106.2
1922;15.2;8.9;15.4;9.6;7.7;8.3;3.2;5.5;6.9;15.8;8.4;14.6;32.7;17.1;31.1;36.4;119.6
1923;6.6;15.2;9.3;17.0;7.4;6.9;2.6;1.6;6.6;12.6;16.4;8.9;33.7;11.2;35.7;37.9;111.2
1924;14.8;14.2;19.3;13.2;9.3;3.5;2.8;3.5;8.0;10.3;14.6;14.1;41.9;9.9;32.9;37.4;127.8
1925;7.8;15.5;8.0;11.2;11.4;7.3;6.4;3.9;4.2;11.7;15.9;18.0;30.6;17.6;31.7;45.5;121.2
1926;11.5;16.0;13.9;12.8;10.3;3.9;1.5;2.2;1.1;15.6;16.5;8.1;37.0;7.7;33.2;35.8;113.5
1927;13.8;14.0;13.5;6.5;11.3;6.7;5.2;4.8;5.9;11.5;13.5;19.6;31.4;16.6;31.0;42.9;126.4
1928;9.7;13.5;17.5;16.8;12.0;8.5;2.4;5.2;11.6;9.4;10.6;11.8;46.3;16.1;31.7;37.5;129.1
1929;10.2;15.5;9.5;11.2;7.9;5.6;6.1;1.5;7.0;9.5;13.9;12.9;28.7;13.2;30.4;40.0;111.0
1930;15.9;11.2;13.4;15.9;7.8;9.0;5.7;3.1;5.1;10.9;11.2;12.6;37.0;17.8;27.2;32.9;121.7
1931;13.2;7.1;18.5;10.6;11.1;5.3;3.1;5.8;5.9;12.6;12.6;3.7;40.2;14.2;31.2;26.8;109.6
1932;12.6;10.4;14.7;11.3;9.9;7.9;5.0;3.6;11.4;10.3;12.1;18.7;35.9;16.5;33.8;42.6;128.0
1933;15.4;8.5;15.4;7.1;8.8;5.9;2.2;1.6;5.8;15.0;13.5;14.4;31.3;9.7;34.3;28.0;113.6
1934;8.3;5.3;15.8;16.5;7.8;2.6;2.9;3.5;3.5;4.8;12.8;19.1;40.0;9.0;21.1;33.2;102.9
1935;3.9;10.1;10.8;10.7;12.7;7.7;1.0;3.4;3.7;8.2;15.8;17.5;34.3;12.1;27.7;57.1;105.6
1936;19.5;20.1;20.3;16.3;12.5;6.3;4.0;1.4;4.3;8.8;10.8;9.8;49.1;11.7;23.9;40.7;134.0
1937;19.5;11.4;19.3;12.4;8.5;4.5;2.0;0.6;5.2;16.4;17.1;15.0;40.3;7.1;38.7;33.3;131.9
