Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Romania              : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;14.8;13.5;13.8;13.8;10.0;16.9;13.0;12.3;7.1;11.5;7.3;13.2;37.6;42.2;25.9;33.7;147.3
1902;9.8;10.8;12.0;11.7;15.0;13.8;11.4;10.5;8.0;10.4;3.7;15.5;38.7;35.6;22.1;34.5;132.4
1903;10.4;8.6;7.9;14.9;14.2;14.6;11.4;8.2;2.3;9.0;9.5;9.8;37.0;34.1;20.9;29.9;120.8
1904;7.6;12.5;10.1;7.8;11.3;11.7;8.3;9.4;12.3;9.4;12.4;9.4;29.2;29.4;34.1;30.9;122.1
1905;10.4;11.1;6.7;13.5;12.6;14.1;9.8;7.1;8.8;13.6;11.3;10.9;32.8;30.9;33.7;32.2;129.8
1906;11.7;9.6;12.2;11.6;16.7;14.7;12.4;10.4;9.0;7.2;10.9;15.5;40.5;37.5;27.0;37.9;141.8
1907;11.2;11.1;13.1;11.3;10.0;14.5;11.2;6.1;7.4;3.8;11.3;12.5;34.3;31.8;22.5;37.5;123.4
1908;11.1;13.9;9.1;12.0;9.9;12.7;13.8;9.4;9.5;8.0;12.4;11.1;31.0;36.0;29.9;36.1;133.0
1909;12.3;12.7;13.1;9.9;12.1;14.3;9.8;7.6;11.6;7.1;11.5;13.0;35.1;31.7;30.2;38.4;135.0
1910;13.7;11.7;6.8;13.3;12.4;13.7;13.4;9.7;6.8;10.3;14.0;10.2;32.6;36.8;31.2;32.7;136.1
1911;11.9;10.7;8.9;12.6;13.0;14.7;10.9;10.8;9.2;7.2;8.7;13.5;34.5;36.4;25.2;40.4;132.1
1912;14.5;12.5;13.1;13.6;15.9;12.2;12.7;11.2;14.2;10.8;13.8;10.6;42.6;36.2;38.8;28.6;155.2
1913;11.5;6.4;9.4;11.0;14.8;14.3;13.7;11.9;10.3;4.5;11.8;11.2;35.2;39.9;26.5;29.7;130.7
1914;12.9;5.6;16.0;10.6;16.1;16.1;13.6;9.7;10.8;10.9;7.6;10.1;42.7;39.5;29.4;35.6;140.2
1915;15.2;10.3;16.3;12.7;15.3;12.4;14.5;10.9;7.9;11.3;12.2;10.3;44.3;37.7;31.5;35.5;149.2
1916;11.6;13.7;12.1;12.1;15.7;11.3;12.8;8.3;6.5;11.4;10.6;12.4;40.0;32.4;28.5;37.6;138.5
1917;15.5;9.8;13.2;12.6;10.0;12.2;9.9;9.0;6.0;9.4;10.5;9.5;35.8;31.2;25.9;28.0;127.6
1918;8.9;9.6;7.8;7.8;11.6;13.0;13.5;11.1;6.8;12.5;14.4;14.2;27.1;37.7;33.7;36.2;131.2
1919;11.1;10.9;13.1;13.3;16.2;13.6;13.9;9.8;6.8;12.2;12.1;13.5;42.6;37.3;31.1;39.6;146.5
1920;14.5;11.5;12.5;10.4;14.1;15.7;10.7;9.2;8.4;6.6;9.7;10.2;37.0;35.7;24.7;35.4;133.6
