Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Serbia               : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;11.1;11.8;12.5;11.6;10.3;14.2;12.3;9.7;8.4;12.6;9.2;13.2;34.4;36.2;30.1;36.0;136.8
1902;9.1;13.6;12.5;12.7;14.1;12.1;8.7;9.5;8.6;11.8;5.7;12.4;39.4;30.3;26.0;28.3;130.8
1903;9.0;7.0;8.6;14.8;12.7;13.0;10.8;5.9;6.7;11.2;11.0;10.1;36.1;29.7;28.9;32.5;120.7
1904;9.4;12.9;9.7;9.8;9.9;11.1;7.6;7.7;10.2;11.4;10.2;10.3;29.3;26.4;31.8;29.3;120.2
1905;9.6;9.5;10.5;13.6;13.8;14.0;9.4;6.2;7.9;15.5;11.8;6.9;37.9;29.6;35.2;27.6;128.6
1906;10.5;10.2;12.1;9.5;14.1;13.7;9.6;9.2;10.6;6.9;11.7;15.0;35.7;32.5;29.2;35.4;133.1
1907;10.2;10.2;8.8;13.6;8.8;12.1;8.2;5.6;5.7;5.4;10.8;12.7;31.2;26.0;21.9;36.5;112.2
1908;10.9;12.9;10.6;14.2;8.1;8.8;9.3;9.0;6.5;7.0;12.8;10.1;33.0;27.1;26.3;30.4;120.2
1909;9.9;10.4;12.8;9.1;15.2;10.8;9.7;9.9;11.1;7.8;13.6;14.1;37.0;30.3;32.4;38.7;134.2
1910;13.3;11.2;7.4;14.9;12.9;12.7;11.8;8.9;10.3;9.3;14.4;10.7;35.2;33.4;34.0;29.5;137.9
1911;10.3;8.4;7.6;12.5;13.7;10.8;8.3;8.5;10.6;8.8;8.4;11.3;33.8;27.7;27.8;35.6;119.4
1912;13.4;10.9;14.3;14.6;14.5;10.6;10.1;9.2;12.1;10.4;14.0;11.0;43.4;29.9;36.5;28.8;145.0
1913;10.9;6.9;6.9;11.0;14.8;13.4;13.0;12.1;9.7;5.8;10.5;11.3;32.8;38.5;26.1;29.9;126.5
1914;11.6;7.0;15.6;10.4;14.7;13.9;13.0;6.7;10.4;10.2;9.8;11.8;40.7;33.6;30.4;37.3;135.2
1915;14.7;10.9;13.9;12.7;15.0;14.5;13.7;9.9;9.1;14.1;11.9;10.9;41.6;38.1;35.2;29.7;151.3
1916;8.4;10.4;11.5;12.9;14.1;9.4;9.4;8.9;10.2;10.9;11.4;13.1;38.5;27.7;32.5;37.6;130.6
1917;14.5;10.0;13.2;11.9;9.2;8.3;8.9;7.0;5.5;10.4;11.5;11.5;34.4;24.2;27.3;29.6;122.0
1918;9.8;8.3;9.5;10.1;12.4;11.7;10.2;9.2;6.1;11.6;11.7;12.7;32.0;31.1;29.3;34.8;123.2
1919;11.2;11.0;13.1;14.5;14.5;10.9;12.0;8.0;8.1;12.0;13.9;12.2;42.1;30.9;34.0;33.2;141.2
1920;12.3;8.8;12.1;11.7;12.1;14.2;10.7;8.6;8.1;7.3;7.7;12.0;35.9;33.5;23.2;31.7;125.6
1921;9.7;10.1;7.0;12.4;12.5;14.6;7.7;9.1;5.5;6.6;13.4;11.9;31.9;31.4;25.5;35.8;120.4
1922;13.2;10.7;11.2;14.6;11.9;11.9;7.4;5.7;10.8;14.5;11.5;8.6;37.7;25.0;36.9;32.9;132.1
1923;11.6;12.7;11.6;11.5;10.1;12.2;9.2;8.2;6.7;9.3;13.0;14.1;33.1;29.6;29.0;37.1;130.1
1924;10.2;12.8;10.5;15.2;12.6;14.0;9.8;10.9;8.8;10.1;9.4;7.8;38.3;34.7;28.3;25.3;132.1
1925;6.0;11.5;10.6;12.8;13.9;13.8;11.1;8.5;11.3;8.2;15.6;15.1;37.3;33.4;35.0;36.1;138.3
1926;12.7;8.3;10.6;10.5;15.0;14.6;12.9;9.9;5.6;8.7;8.1;13.9;36.1;37.4;22.4;35.5;130.7
1927;13.2;8.5;13.3;9.9;14.0;10.7;7.7;10.2;9.7;10.0;11.7;15.1;37.1;28.6;31.4;32.7;133.9
1928;8.5;9.0;9.7;12.6;14.8;9.9;4.1;7.9;9.0;9.8;12.8;12.1;37.1;21.9;31.6;35.2;120.2
1929;13.6;9.5;6.6;15.2;13.5;12.7;6.3;12.1;6.7;10.3;11.5;11.2;35.2;31.1;28.5;31.0;129.1
1930;8.3;11.5;9.1;13.8;14.0;10.4;10.2;9.7;7.9;10.5;8.7;14.2;37.0;30.3;27.1;37.7;128.3
1931;12.7;10.8;13.3;12.1;11.5;10.8;9.5;6.8;12.4;12.0;11.1;9.1;36.9;27.0;35.5;27.9;132.0
1932;9.5;9.3;14.1;14.0;13.5;11.7;11.0;7.2;5.6;12.1;9.2;9.7;41.7;30.0;26.8;32.9;127.0
1933;11.6;11.6;11.3;13.5;15.9;12.1;8.7;7.7;7.0;11.0;12.3;14.0;40.7;28.4;30.2;30.9;136.6
1934;10.5;6.4;9.4;8.1;10.9;14.1;11.4;11.0;11.0;9.5;11.3;10.0;28.4;36.6;31.8;36.2;123.7
1935;13.0;13.1;10.8;13.1;11.4;9.7;7.1;8.4;6.7;8.7;10.2;14.4;35.3;25.1;25.6;39.4;126.6
1936;10.1;14.9;11.1;11.4;14.4;12.1;9.1;9.2;9.6;11.8;9.5;7.4;36.8;30.4;31.0;31.3;130.6
1937;11.9;12.1;12.9;16.4;14.0;12.1;9.8;12.3;9.7;10.4;15.3;14.9;43.4;34.2;35.4;34.8;151.8
1938;11.0;8.9;7.9;11.8;15.4;7.5;9.7;10.7;8.6;9.7;9.5;14.0;35.1;27.9;27.9;32.9;124.9
1939;11.0;8.0;14.3;8.6;17.0;13.8;8.8;10.2;8.1;13.9;12.1;12.9;40.0;32.8;34.2;36.3;138.7
1940;11.5;11.9;10.1;12.7;15.0;15.3;10.7;9.6;7.9;11.9;12.8;12.0;37.9;35.6;32.6;38.4;141.5
1941;11.3;15.1;8.7;13.9;13.8;12.5;10.8;10.1;9.9;11.9;12.3;11.3;36.3;33.4;34.1;38.3;141.5
1942;13.9;13.1;11.4;15.6;12.5;12.4;9.5;7.5;6.2;7.2;13.5;8.4;39.6;29.5;26.9;29.4;131.4
1943;13.0;8.0;6.0;8.8;13.9;13.9;8.7;4.8;7.7;6.5;14.2;14.3;28.7;27.5;28.4;38.1;119.9
1944;9.8;13.9;13.3;11.9;10.2;12.1;11.0;6.8;11.6;13.3;13.2;12.3;35.4;30.0;38.1;29.6;139.5
1945;11.7;5.6;6.2;11.3;8.8;9.2;7.6;8.3;9.5;8.2;12.0;14.1;26.3;25.1;29.8;36.2;112.6
1946;10.9;11.2;9.2;8.3;12.9;10.5;6.0;6.5;4.6;11.3;14.9;12.7;30.3;23.0;30.9;38.0;118.9
1947;12.5;12.8;10.6;7.8;11.1;12.3;8.2;7.4;2.9;7.4;10.6;15.1;29.5;27.8;20.9;37.4;118.7
1948;11.7;10.7;7.0;12.7;12.8;15.8;8.4;7.4;7.7;8.5;10.5;5.7;32.4;31.5;26.6;21.8;118.6
1949;10.8;5.3;12.8;7.8;14.6;13.5;10.1;10.2;6.8;6.2;14.3;12.4;35.3;33.8;27.3;32.6;125.0
1950;10.7;9.5;8.3;12.0;10.5;8.5;8.1;5.8;7.8;10.3;14.9;14.7;30.8;22.4;33.0;36.5;121.1
1951;10.3;11.6;13.7;13.3;12.9;12.3;11.0;8.2;10.6;6.6;11.0;9.5;39.9;31.5;28.2;34.5;131.0
1952;12.7;12.2;9.4;8.4;13.1;11.3;5.4;4.8;9.3;12.2;14.3;15.8;31.0;21.5;35.8;39.6;129.0
1953;11.5;12.3;5.2;11.5;14.4;15.5;10.2;10.9;5.5;7.3;6.2;8.5;31.2;36.5;19.0;31.9;119.1
1954;12.8;10.6;12.0;12.8;16.6;13.7;8.4;9.1;8.0;9.5;12.2;12.8;41.5;31.2;29.7;40.7;138.6
1955;12.6;15.3;11.9;11.4;9.8;10.8;12.7;11.7;10.5;11.8;11.5;12.8;33.1;35.2;33.7;37.3;142.8
1956;10.7;13.7;10.4;11.5;13.7;15.0;7.8;7.1;4.3;8.8;13.1;11.8;35.6;29.9;26.2;32.7;128.0
1957;9.4;11.5;6.4;11.6;17.0;10.9;12.1;8.3;9.6;9.4;9.2;11.2;35.1;31.2;28.2;33.7;126.7
1958;11.6;10.9;14.2;14.0;9.6;13.4;8.0;7.7;6.3;9.6;11.8;12.5;37.8;29.1;27.7;31.9;129.5
1959;13.0;6.5;9.8;11.1;14.5;14.7;10.4;9.4;7.5;5.0;11.6;13.4;35.5;34.6;24.2;36.1;127.0
1960;11.2;11.5;11.1;12.5;11.9;10.1;11.7;7.7;8.8;10.2;14.0;14.0;35.4;29.5;32.9;31.5;134.6
1961;8.8;8.7;7.8;12.1;14.2;12.4;9.1;6.4;3.2;5.3;13.1;12.8;34.0;27.9;21.5;35.1;113.7
1962;10.3;12.1;16.2;13.6;10.6;8.5;9.7;4.7;7.0;6.3;14.8;12.1;40.4;23.0;28.2;41.7;126.0
1963;16.6;13.0;11.3;10.4;11.7;11.7;9.4;9.1;8.6;6.5;9.1;14.3;33.4;30.2;24.2;28.0;131.7
1964;2.8;10.8;13.5;12.3;12.1;11.9;10.1;8.3;10.1;12.2;11.1;14.5;37.8;30.2;33.4;37.9;129.5
1965;12.4;11.0;11.0;13.5;11.7;14.3;9.1;7.8;7.8;2.5;14.0;14.2;36.2;31.2;24.4;40.3;129.4
1966;14.8;11.3;11.2;11.8;13.9;11.8;11.7;8.8;7.3;10.4;14.9;13.8;36.9;32.3;32.6;33.1;141.8
1967;11.4;7.8;11.1;13.4;13.8;13.2;10.0;5.8;11.6;6.6;9.5;14.0;38.4;29.0;27.7;38.8;128.3
1968;14.0;10.8;10.0;8.1;11.6;11.4;9.1;12.6;9.9;5.4;13.9;13.5;29.7;33.1;29.2;39.7;130.3
1969;9.8;16.4;11.3;10.4;11.2;15.8;10.6;10.1;7.8;3.8;11.4;17.7;32.9;36.4;23.0;45.4;136.3
1970;12.6;15.1;14.0;14.0;14.2;12.4;12.7;10.2;5.1;9.1;11.2;11.1;42.2;35.3;25.4;34.0;141.6
1971;12.3;10.6;12.1;11.8;14.1;12.4;10.7;8.3;10.2;5.6;10.9;7.8;37.9;31.4;26.7;27.6;126.7
1972;9.7;10.1;6.2;14.3;12.8;9.5;13.4;12.1;10.2;11.1;11.9;3.0;33.4;35.0;33.2;24.3;124.4
1973;9.3;12.0;9.2;13.9;9.3;12.2;9.8;7.7;8.5;8.7;10.3;10.1;32.4;29.7;27.5;29.5;120.9
1974;9.5;9.9;7.4;11.9;15.2;14.4;7.9;8.9;10.5;14.8;11.4;12.5;34.4;31.1;36.7;26.5;134.1
1975;7.8;6.1;10.5;11.7;14.0;13.1;12.0;11.0;5.5;10.2;10.0;6.7;36.1;36.1;25.7;26.3;118.6
1976;13.3;6.3;10.3;13.8;12.4;12.5;9.9;9.7;10.5;8.9;12.9;12.6;36.5;32.1;32.2;39.2;133.1
1977;12.4;14.2;12.2;13.6;10.8;9.6;9.6;10.4;9.0;6.4;12.1;12.2;36.5;29.7;27.5;38.2;132.5
1978;10.8;15.2;12.5;12.6;16.8;14.1;9.9;6.8;11.8;7.2;7.6;12.0;41.9;30.9;26.6;39.6;137.4
1979;14.8;12.8;11.3;14.0;11.0;13.6;10.5;11.2;6.3;9.5;12.8;11.4;36.4;35.3;28.5;34.3;139.2
1980;12.9;10.0;13.5;13.8;16.0;12.3;10.6;8.6;6.6;11.9;15.4;13.7;43.2;31.5;33.9;33.6;145.3
1981;10.9;9.0;15.2;11.5;11.7;13.3;8.6;8.9;9.7;10.5;11.7;15.7;38.5;30.8;31.8;34.0;136.7
1982;10.3;8.1;13.4;11.7;7.2;11.2;11.7;10.4;6.9;10.1;8.9;14.0;32.2;33.3;26.0;32.9;123.7
1983;8.5;10.4;9.6;10.1;12.3;13.9;8.0;6.3;8.6;6.9;9.5;10.5;32.0;28.2;25.0;37.6;114.7
1984;13.8;13.3;11.4;10.5;15.3;9.4;10.1;8.3;10.4;6.9;12.0;9.2;37.3;27.9;29.3;31.8;130.7
1985;11.6;11.0;11.3;11.0;11.9;13.1;5.9;11.0;4.4;5.1;16.1;10.2;34.3;30.0;25.6;38.8;122.6
1986;14.0;14.7;11.5;11.8;12.6;13.0;10.0;6.1;3.8;7.9;5.0;11.0;35.8;29.1;16.8;36.6;121.4
1987;18.3;7.3;12.4;13.3;17.9;10.4;9.2;9.0;4.7;7.0;14.6;12.9;43.6;28.7;26.3;38.1;137.1
