Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Slovenia             : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;9.8;10.5;15.4;13.6;12.3;15.9;13.6;15.0;16.4;12.5;10.9;14.4;41.2;44.5;39.9;40.8;160.3
1902;11.6;14.8;14.0;11.8;19.5;17.5;16.9;11.9;10.2;15.6;7.2;10.8;45.3;46.3;33.0;29.4;161.7
1903;10.2;8.4;11.0;18.0;13.4;16.4;20.3;12.5;12.2;13.4;15.7;15.5;42.4;49.1;41.3;40.5;167.0
1904;9.9;15.1;13.4;13.9;14.2;14.7;8.1;17.3;13.7;14.9;10.9;11.4;41.4;40.1;39.6;31.5;157.4
1905;9.0;11.2;13.2;15.1;17.2;15.3;14.2;15.6;13.4;16.9;18.8;7.3;45.5;45.1;49.1;29.8;167.2
1906;11.2;11.4;13.6;13.9;15.7;16.7;17.0;12.9;15.9;10.3;14.1;16.5;43.2;46.6;40.3;38.4;169.1
1907;13.1;8.7;8.8;19.2;14.1;14.2;17.3;10.6;10.5;15.0;9.2;14.8;42.1;42.2;34.7;35.6;155.5
1908;9.0;11.8;11.7;18.5;11.6;11.9;14.6;17.3;9.5;6.7;9.4;10.8;41.8;43.8;25.6;33.0;142.8
1909;11.2;11.0;13.8;12.1;15.2;14.3;15.6;16.7;12.5;11.9;10.7;15.6;41.1;46.6;35.1;44.4;160.6
1910;15.6;13.3;9.4;13.9;18.0;18.6;16.7;14.4;15.4;11.2;17.5;12.6;41.3;49.7;44.1;29.6;176.6
1911;9.6;7.4;12.1;12.5;18.0;16.0;10.9;11.7;12.7;13.8;9.5;14.5;42.6;38.7;36.0;38.0;148.8
1912;10.8;12.7;15.2;15.5;16.8;16.8;14.3;14.6;16.0;13.8;12.1;9.6;47.5;45.6;41.9;27.7;168.1
1913;10.9;7.2;9.3;14.1;15.3;15.9;20.6;16.3;14.1;9.9;13.5;13.7;38.7;52.9;37.5;31.5;160.8
1914;10.5;7.4;15.0;11.7;19.9;15.9;19.6;11.8;15.3;9.5;9.7;13.7;46.6;47.3;34.5;44.8;160.0
1915;17.6;13.5;13.7;13.3;14.0;17.1;19.3;17.3;13.3;16.3;13.3;12.8;41.0;53.6;42.8;35.4;181.4
1916;8.8;13.8;14.8;17.8;14.3;14.5;15.2;13.8;17.0;12.1;14.2;16.3;46.9;43.5;43.3;41.9;172.6
1917;17.0;8.5;14.1;16.8;9.8;8.6;15.2;13.2;9.0;17.9;14.3;12.2;40.7;37.0;41.2;29.2;156.7
1918;8.7;8.4;9.9;14.2;14.2;18.3;15.1;17.1;12.0;16.4;9.4;14.2;38.2;50.5;37.9;38.0;157.9
1919;13.9;9.9;13.4;18.6;13.2;17.8;18.6;12.5;13.1;14.3;16.6;10.1;45.1;48.8;44.0;30.1;171.8
1920;13.1;6.9;9.5;15.4;14.7;18.3;16.7;14.7;11.1;6.4;4.9;14.7;39.6;49.7;22.4;36.3;146.4
1921;10.7;10.9;5.5;18.0;15.8;16.4;10.9;12.0;7.4;11.9;11.2;10.0;39.3;39.3;30.5;35.1;140.7
1922;14.7;10.4;13.5;17.7;11.2;14.6;12.2;11.1;17.6;16.8;11.6;10.1;42.4;37.8;46.0;33.8;161.4
1923;12.3;11.3;11.6;16.1;11.8;18.8;12.0;13.4;11.8;12.8;16.0;14.3;39.5;44.2;40.5;37.1;162.2
1924;11.1;11.6;11.6;15.6;17.4;18.3;16.5;15.9;12.2;9.4;4.6;10.0;44.6;50.7;26.2;30.6;154.2
1925;7.1;13.5;11.9;16.6;17.3;18.4;15.0;15.6;14.6;10.2;16.6;10.9;45.9;49.0;41.3;31.6;167.7
1926;11.0;9.7;11.9;13.6;16.1;18.9;19.8;15.0;12.9;15.5;11.8;12.8;41.6;53.7;40.2;35.0;169.0
1927;14.7;7.5;14.2;14.7;14.4;14.9;12.9;14.1;14.6;9.9;12.6;11.0;43.3;41.9;37.1;29.2;155.4
1928;9.0;9.3;12.5;13.0;19.0;14.6;9.8;14.7;15.6;12.4;13.2;12.2;44.5;39.1;41.1;35.2;155.2
1929;13.2;9.8;5.8;14.8;15.2;16.0;12.3;14.6;7.7;13.8;14.0;11.5;35.8;42.9;35.5;32.3;148.7
1930;10.1;10.7;12.9;15.5;16.6;9.3;16.2;15.7;14.2;17.4;11.1;12.4;45.0;41.2;42.7;37.7;162.2
1931;11.7;13.6;13.2;15.7;11.2;15.1;14.3;15.5;13.7;12.7;13.2;9.7;40.1;44.9;39.6;28.7;159.5
1932;11.0;7.9;12.8;14.2;17.5;13.4;15.3;11.1;9.1;16.0;11.3;9.0;44.5;39.8;36.4;31.6;148.6
1933;11.1;11.4;9.6;14.0;20.6;17.5;13.4;14.8;13.8;16.8;16.0;13.7;44.2;45.7;46.6;33.1;172.8
1934;12.2;7.1;11.5;11.3;15.6;19.9;15.9;16.1;12.0;12.7;13.4;12.1;38.4;51.9;38.1;36.8;159.9
1935;11.1;13.6;11.6;16.3;16.0;10.8;13.6;13.6;10.4;16.5;12.0;14.3;43.9;37.9;38.9;42.6;159.7
1936;13.7;14.6;10.6;14.4;19.6;16.6;16.3;11.0;12.6;16.3;8.4;10.2;44.6;43.8;37.4;35.8;164.4
1937;12.4;13.1;17.6;17.3;11.8;16.8;18.3;18.0;16.2;13.0;14.6;15.6;46.7;53.1;43.8;35.4;184.8
1938;12.0;7.8;9.8;13.6;17.4;13.3;14.0;17.9;10.5;12.0;9.2;12.2;40.7;45.2;31.7;32.3;149.6
1939;12.9;7.2;11.2;8.1;21.4;16.1;13.2;12.0;12.3;17.8;12.2;11.0;40.7;41.3;42.2;33.9;155.3
1940;11.6;11.3;10.6;11.9;19.6;16.3;16.8;16.7;13.9;15.2;13.0;8.9;42.0;49.8;42.1;35.0;165.8
1941;12.5;13.5;13.0;16.5;15.0;16.2;18.1;15.4;9.7;14.1;13.4;10.2;44.5;49.7;37.2;32.2;167.7
1942;10.1;11.9;8.6;15.7;15.7;15.2;14.9;11.4;9.9;11.0;9.4;9.9;40.0;41.5;30.3;31.1;143.7
1943;10.8;10.3;7.8;13.8;13.7;17.3;17.0;11.1;13.1;6.0;13.2;11.8;35.3;45.3;32.3;33.5;145.8
1944;9.4;12.2;14.0;10.9;15.1;17.7;15.4;10.3;11.8;16.9;16.1;12.0;40.0;43.5;44.8;33.8;162.0
1945;13.5;8.3;9.7;14.8;13.9;13.2;14.0;14.8;12.5;10.7;11.6;11.7;38.5;42.1;34.8;32.3;148.9
1946;10.3;10.3;8.4;6.3;13.7;16.5;16.1;12.3;7.5;12.5;14.3;12.1;28.5;44.9;34.4;36.9;140.5
1947;9.9;14.9;12.3;10.5;12.9;14.9;14.5;10.2;7.5;7.6;13.8;14.6;35.7;39.7;28.9;45.5;143.6
1948;17.5;13.4;7.3;13.3;14.1;20.0;20.3;14.1;10.0;13.4;10.5;8.4;34.7;54.5;33.9;24.4;162.4
1949;11.3;4.8;7.9;11.6;17.0;13.6;14.7;15.5;9.3;8.0;16.3;12.0;36.5;43.8;33.6;36.6;141.9
1950;13.3;11.3;7.6;16.0;11.0;10.7;14.7;12.3;14.5;13.9;15.4;15.0;34.7;37.8;43.8;42.9;155.8
1951;14.9;13.1;15.6;11.6;17.0;16.3;17.4;9.7;14.1;5.7;14.5;11.9;44.2;43.4;34.3;40.1;161.7
1952;14.1;14.2;10.2;9.5;13.0;13.6;12.5;13.3;14.5;15.9;11.0;13.2;32.8;39.5;41.4;33.2;155.1
