Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Spain                : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;15.2;14.5;16.1;13.0;11.7;8.0;7.4;5.0;10.3;13.1;11.6;13.4;40.8;20.4;35.0;34.5;139.2
1902;5.0;16.0;11.7;14.1;11.7;10.0;6.4;8.4;8.7;12.1;15.4;13.5;37.5;24.9;36.2;33.2;133.1
1903;14.4;5.3;12.1;11.2;13.3;10.4;5.6;3.8;9.3;9.7;9.4;17.8;36.5;19.8;28.4;49.8;122.2
1904;17.3;14.6;15.4;10.5;8.6;10.2;3.5;4.4;10.1;9.0;12.1;13.3;34.6;18.1;31.2;32.9;129.1
1905;13.0;6.6;8.6;11.4;11.3;9.1;8.0;4.3;9.9;10.2;16.2;13.0;31.3;21.3;36.3;36.1;121.5
1906;11.9;11.2;13.6;14.5;11.6;7.9;5.6;1.7;11.6;12.4;12.0;13.6;39.7;15.1;36.1;32.5;127.6
1907;8.5;10.5;4.6;12.7;13.6;4.3;5.0;4.9;12.1;16.7;12.9;13.9;30.9;14.2;41.6;38.4;119.5
1908;15.1;9.5;14.1;12.1;10.0;12.7;3.3;5.2;8.8;11.4;13.3;15.5;36.2;21.2;33.6;35.5;131.0
1909;10.2;9.8;15.0;9.8;13.6;9.7;2.6;5.6;8.6;10.4;15.0;15.6;38.4;18.0;34.1;35.1;126.1
1910;9.1;10.4;11.8;12.3;14.8;9.0;3.8;3.6;9.6;12.5;10.8;18.3;38.9;16.4;32.9;38.7;126.0
1911;12.5;7.9;16.0;11.0;14.1;11.1;5.3;5.7;6.9;14.4;12.9;12.8;41.1;22.2;34.2;42.4;130.7
1912;15.0;14.6;11.0;12.5;7.3;8.3;6.2;4.5;9.7;11.3;8.9;7.5;30.9;19.0;29.9;35.3;116.8
1913;14.4;13.4;13.1;11.7;10.9;8.4;3.5;5.2;11.5;13.7;8.7;9.3;35.7;17.2;33.8;32.8;123.8
1914;10.5;13.0;11.7;13.0;12.6;9.7;8.2;5.1;4.6;12.7;12.9;15.3;37.3;23.1;30.2;45.1;129.4
1915;15.8;14.0;15.7;11.6;15.3;9.0;6.0;3.3;7.8;10.8;14.7;14.8;42.6;18.4;33.3;37.2;138.8
1916;6.4;15.9;16.7;11.8;11.3;5.4;5.5;2.3;9.2;7.1;14.8;17.8;39.7;13.1;31.1;49.5;124.1
1917;15.7;16.0;14.5;11.0;13.8;9.9;3.8;4.9;6.7;8.4;6.7;15.1;39.3;18.6;21.8;35.5;126.5
