Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Sweden               : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;14.8;12.8;12.7;11.2;8.9;14.7;9.2;14.1;10.2;16.7;13.7;16.5;32.9;37.9;40.5;46.2;155.4
1902;17.8;11.9;14.7;6.4;11.8;10.6;15.7;17.9;14.7;14.9;9.7;13.9;32.9;44.2;39.3;44.4;160.0
1903;16.2;14.3;14.1;14.1;10.6;12.2;15.2;19.2;13.9;17.2;12.7;14.2;38.8;46.7;43.8;43.4;174.0
1904;14.8;14.4;11.7;13.0;13.2;12.7;10.1;15.9;12.2;15.2;13.7;16.8;37.8;38.7;41.1;43.2;163.7
1905;14.6;11.8;12.6;13.2;10.6;11.2;15.0;16.5;15.7;16.3;14.9;10.5;36.4;42.7;46.9;41.8;162.9
1906;16.5;14.7;15.4;11.4;13.7;12.0;12.2;14.6;10.5;12.5;17.2;15.3;40.5;38.8;40.2;47.9;166.0
1907;17.5;15.0;12.5;12.4;11.7;14.3;15.1;17.6;12.1;14.6;12.4;15.9;36.7;47.0;39.2;47.7;171.3
1908;15.6;16.2;13.3;10.5;10.8;13.5;13.4;14.1;14.5;9.1;13.9;14.8;34.6;41.0;37.5;41.3;159.6
1909;15.7;10.8;16.4;11.7;11.4;10.5;14.5;16.8;14.1;17.8;13.7;19.1;39.5;41.9;45.7;52.3;172.6
1910;17.7;15.5;11.4;13.9;12.3;12.9;14.6;11.4;14.0;12.7;18.9;15.8;37.6;38.9;45.6;47.2;171.2
1911;15.5;16.0;10.7;13.6;7.1;12.4;12.9;12.8;14.7;17.2;16.6;15.7;31.4;38.1;48.5;42.1;165.1
1912;12.8;13.5;14.5;8.6;12.7;14.6;9.0;18.6;14.4;15.9;18.0;19.9;35.9;42.2;48.2;45.0;172.5
1913;12.0;13.1;14.8;11.6;9.0;11.9;15.4;15.8;11.7;13.0;16.6;18.4;35.4;43.2;41.4;47.2;163.5
1914;15.6;13.2;14.1;11.9;12.8;11.1;12.2;12.1;14.6;10.9;14.2;19.4;38.8;35.4;39.7;50.4;162.1
1915;17.2;13.8;11.1;11.3;12.7;9.7;17.2;13.2;15.4;8.6;17.5;16.7;35.1;40.1;41.6;48.4;164.5
1916;18.6;13.1;14.1;12.4;12.7;13.4;14.5;14.0;12.5;17.4;17.3;18.6;39.2;41.9;47.2;41.8;178.6
1917;12.3;11.0;12.2;12.9;8.9;11.8;13.0;13.7;15.4;18.0;17.5;15.7;33.9;38.5;50.9;47.2;162.3
1918;18.3;13.1;9.3;10.6;7.8;13.8;12.3;14.1;19.1;13.2;13.7;17.3;27.7;40.2;46.1;45.2;162.8
1919;16.4;11.5;11.7;13.7;9.0;15.1;12.8;15.7;16.9;13.2;13.9;16.1;34.4;43.6;43.9;51.5;165.9
1920;18.9;16.5;13.9;14.9;13.2;11.8;16.3;15.1;14.4;8.3;11.3;12.7;42.0;43.2;34.0;43.8;167.2
1921;20.5;10.6;13.5;11.8;11.2;14.9;14.7;17.3;13.2;16.8;12.1;18.8;36.5;46.9;42.1;47.1;175.5
1922;14.3;13.9;14.2;12.9;11.9;13.8;13.9;16.2;14.7;10.6;13.4;16.6;39.0;43.9;38.7;45.0;166.4
1923;17.5;10.9;8.5;9.9;13.4;13.5;12.8;16.6;18.2;18.0;16.9;15.8;31.7;42.9;53.2;45.8;172.0
1924;16.0;14.0;14.8;12.4;14.4;13.8;12.8;14.6;17.3;15.9;13.3;15.8;41.7;41.1;46.5;48.8;175.2
1925;17.3;15.7;12.0;12.4;11.3;12.5;15.1;14.0;15.6;15.4;14.7;18.5;35.7;41.6;45.7;48.5;174.4
1926;15.0;15.1;13.0;12.0;14.3;12.3;12.9;13.5;14.6;16.2;17.1;16.0;39.3;38.7;47.9;50.0;172.0
