Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Switzerland          : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;11.6;11.3;19.6;21.6;12.9;18.9;18.3;16.8;18.0;16.0;10.1;16.6;54.0;53.9;44.0;46.7;191.5
1902;15.0;15.2;18.5;15.3;20.0;16.4;16.5;18.8;13.2;15.9;10.6;16.8;53.9;51.7;39.7;41.2;192.2
1903;13.8;10.6;13.4;17.9;16.6;18.1;19.6;18.0;11.0;18.4;16.2;13.6;47.9;55.7;45.6;45.5;187.2
1904;11.9;20.1;15.9;17.9;20.0;17.0;11.0;15.5;16.2;12.1;12.3;14.1;53.7;43.5;40.5;41.8;183.8
1905;15.4;12.3;19.5;18.9;18.9;15.5;16.1;21.9;17.2;15.3;17.2;11.0;57.3;53.5;49.8;42.1;199.2
1906;15.3;15.8;17.5;15.5;18.2;14.6;18.2;14.3;11.1;10.3;16.2;16.7;51.2;47.2;37.5;45.1;183.7
1907;16.5;11.9;16.9;18.5;15.9;17.0;16.7;13.2;12.7;15.2;10.1;18.8;51.3;46.9;38.1;44.7;183.5
1908;10.3;15.6;14.0;17.4;20.7;15.8;20.1;16.6;16.3;6.1;12.1;12.8;52.1;52.5;34.5;37.2;177.7
1909;12.2;12.2;17.0;15.6;13.2;21.4;17.7;16.8;13.7;15.5;13.1;19.3;45.9;55.9;42.4;56.5;187.9
1910;20.1;17.1;12.1;19.0;19.4;21.8;19.5;19.6;14.2;12.1;20.0;17.9;50.4;60.8;46.3;42.3;212.6
1911;10.5;13.9;15.5;14.5;16.2;19.4;9.1;14.5;14.2;15.6;15.0;18.9;46.2;43.0;44.7;51.2;177.3
1912;17.5;14.8;20.2;15.1;20.0;18.3;17.9;21.9;13.4;17.7;13.3;13.3;55.3;58.2;44.4;40.0;203.5
1913;16.6;10.0;18.0;18.0;18.3;17.9;19.3;17.8;15.8;11.8;19.0;15.5;54.3;55.0;46.6;45.4;198.0
1914;16.4;13.5;21.3;16.1;23.1;18.0;21.2;18.5;14.7;13.7;12.9;16.7;60.5;57.7;41.3;53.2;206.1
1915;19.7;16.8;18.2;17.2;17.5;16.9;19.1;16.3;14.9;9.4;14.7;18.4;52.9;52.3;39.0;54.5;199.2
1916;16.3;19.9;19.1;18.3;17.3;19.7;18.6;16.8;16.1;16.8;17.4;20.7;54.6;55.2;50.3;45.4;216.9
1917;15.9;8.8;17.1;17.9;16.7;15.5;18.9;20.7;12.2;19.9;13.5;11.5;51.7;55.1;45.6;34.4;188.5
1918;13.2;9.7;13.5;18.4;14.5;20.2;15.7;15.3;17.9;13.7;12.2;20.3;46.4;51.2;43.8;50.6;184.6
1919;15.0;15.3;19.0;19.9;12.9;15.9;18.7;12.3;11.7;13.4;18.7;20.4;51.8;47.0;43.9;49.9;193.4
1920;19.6;9.8;16.3;19.5;17.4;15.5;18.3;15.3;17.5;7.0;6.6;14.2;53.2;49.1;31.1;39.3;177.0
1921;17.5;7.6;9.8;15.9;18.0;16.0;11.9;17.3;11.7;9.4;13.5;12.5;43.7;45.2;34.6;50.0;161.1
1922;21.1;16.4;19.0;23.2;15.2;18.5;18.6;17.9;17.4;16.3;14.2;20.0;57.5;55.0;47.8;54.1;217.7
1923;16.2;17.9;13.5;17.8;17.9;16.9;12.2;14.3;14.1;17.4;18.3;19.7;49.2;43.4;49.7;44.9;196.1
1924;13.6;11.6;13.7;19.5;20.8;19.5;19.7;19.7;14.5;14.1;9.1;12.2;54.0;59.0;37.7;40.6;188.2
1925;12.1;16.4;15.2;19.7;17.1;13.1;18.0;18.8;15.9;12.0;15.1;19.1;51.9;49.9;43.1;50.9;192.4
1926;16.7;15.1;18.1;15.4;22.4;21.1;17.9;13.8;10.7;17.1;16.2;13.9;55.9;52.7;44.0;47.4;198.4
1927;18.8;14.6;19.7;19.4;16.1;19.1;18.5;20.2;17.8;9.2;16.0;12.5;55.2;57.8;43.0;42.7;201.9
