Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = United_Kingdom       : parameter = Rain Days                      : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;17.2;14.2;17.8;17.9;12.8;14.6;14.1;16.8;14.9;18.7;18.1;23.2;48.5;45.6;51.7;54.4;200.4
1902;17.0;14.2;17.3;15.0;17.7;14.5;15.4;16.4;15.0;17.6;17.3;19.2;50.1;46.3;49.9;59.7;196.7
1903;22.4;18.1;22.9;16.0;17.4;14.3;18.0;20.3;18.1;26.1;18.3;17.7;56.2;52.6;62.5;58.1;229.5
1904;20.7;19.8;16.7;17.2;17.0;12.4;15.3;17.9;15.4;14.4;17.1;19.0;50.9;45.6;46.9;49.5;202.8
1905;15.7;14.9;21.4;17.3;11.7;14.0;13.6;18.9;15.3;17.3;21.2;14.2;50.5;46.5;53.8;55.4;195.5
1906;23.2;18.0;17.5;13.6;19.1;12.8;13.3;16.8;11.8;22.4;20.7;20.0;50.2;43.0;54.9;52.1;209.3
1907;16.0;16.1;17.2;17.1;18.9;18.6;14.7;17.4;10.9;22.6;18.4;21.6;53.2;50.8;52.0;56.3;209.5
1908;18.0;16.7;21.5;17.3;16.0;13.6;15.9;17.2;18.2;14.5;16.6;19.7;54.8;46.7;49.3;49.7;205.1
1909;17.6;12.4;20.4;18.0;14.8;15.2;18.2;16.1;15.4;22.4;14.6;23.2;53.2;49.4;52.3;64.3;208.1
1910;20.8;20.3;13.9;18.8;16.4;14.7;16.3;19.6;9.8;17.5;22.4;22.1;49.1;50.5;49.7;55.2;212.6
1911;15.3;17.8;16.0;16.2;14.0;15.7;11.7;14.3;15.1;18.4;21.7;25.3;46.1;41.7;55.2;63.1;201.3
1912;21.0;16.9;21.9;10.7;15.3;19.1;16.5;21.2;13.2;20.0;19.4;22.2;47.8;56.8;52.6;57.8;217.4
1913;22.1;13.5;22.3;19.4;17.5;13.8;10.4;12.1;15.7;18.7;20.4;18.2;59.2;36.2;54.7;54.5;203.9
1914;17.4;18.8;22.3;14.2;15.2;12.9;17.1;15.8;14.4;15.5;21.8;26.1;51.6;45.8;51.8;69.0;211.6
1915;22.0;20.9;15.4;15.5;14.2;11.7;19.1;15.4;13.3;16.3;17.7;25.9;45.0;46.1;47.3;65.9;207.3
1916;18.6;21.4;19.3;16.6;18.8;15.7;14.4;16.3;14.0;23.2;21.2;20.8;54.8;46.4;58.3;51.1;220.2
1917;17.8;12.4;18.1;16.0;16.3;15.2;13.9;20.9;15.5;23.5;19.7;16.2;50.5;50.0;58.7;55.0;205.7
1918;20.7;18.1;14.3;13.9;15.9;12.3;18.9;16.3;23.7;18.5;18.2;22.8;44.1;47.5;60.3;60.2;213.4
1919;22.5;14.9;21.8;17.6;11.2;14.3;12.5;16.7;16.3;16.4;19.2;24.7;50.6;43.5;51.8;64.0;208.0
1920;22.7;16.6;20.6;19.8;18.9;14.5;19.1;14.7;15.8;16.4;17.0;20.1;59.4;48.3;49.2;52.6;216.2
1921;22.9;9.6;19.2;13.2;15.3;8.0;13.2;17.6;13.7;16.8;17.1;20.6;47.7;38.8;47.6;62.6;187.3
1922;22.3;19.6;17.6;18.3;14.6;13.6;18.6;17.6;16.7;13.2;15.9;21.6;50.5;49.7;45.8;63.8;209.6
1923;19.5;22.7;15.2;17.5;17.4;10.7;16.9;19.3;18.8;22.2;20.5;21.9;50.1;46.9;61.5;55.3;222.6
1924;20.9;12.5;13.7;17.5;20.8;15.6;19.2;18.4;20.3;20.5;17.9;23.1;52.0;53.2;58.6;64.1;220.2
1925;19.6;21.4;14.8;18.5;20.1;6.5;15.7;16.0;18.4;19.8;16.7;20.5;53.3;38.2;54.9;62.1;208.0
1926;22.9;18.7;14.5;16.4;17.0;15.2;15.7;15.9;16.4;20.7;23.6;13.7;47.9;46.8;60.7;51.9;210.7
1927;21.6;16.6;19.8;17.7;14.1;18.3;16.9;19.1;22.1;18.8;20.8;16.4;51.6;54.4;61.7;61.7;222.3
1928;26.8;18.4;19.7;14.2;13.0;18.5;14.7;17.6;13.8;23.0;22.1;20.3;46.9;50.8;58.9;48.4;222.1
1929;15.4;12.7;8.8;13.4;16.2;14.4;15.7;18.1;12.0;22.5;24.7;26.9;38.4;48.2;59.2;60.4;200.7
1930;23.5;10.0;18.1;16.7;14.7;13.5;16.7;20.2;18.9;21.2;22.3;21.1;49.5;50.4;62.4;60.2;216.9
1931;20.3;18.7;11.4;17.3;18.3;17.5;16.5;14.5;13.6;14.7;22.7;16.9;47.0;48.4;51.0;44.3;202.4
1932;21.0;6.4;17.5;18.9;17.7;10.3;17.4;13.7;18.0;22.6;16.8;17.9;54.0;41.4;57.4;55.7;198.1
1933;18.9;18.9;17.4;13.9;13.5;12.4;14.5;12.8;11.4;18.9;15.0;12.9;44.9;39.7;45.2;42.1;180.5
1934;20.3;8.9;17.4;17.3;14.9;12.3;13.0;16.8;17.5;19.4;15.1;24.2;49.5;42.1;51.9;59.2;197.0
1935;16.2;18.7;14.0;18.7;11.4;16.7;11.4;14.3;20.2;21.9;22.1;19.2;44.1;42.4;64.2;58.1;204.8
1936;22.9;16.0;16.4;13.1;10.9;14.1;18.5;12.0;17.2;16.5;19.1;20.3;40.4;44.6;52.8;64.6;197.1
1937;23.9;20.4;18.5;15.9;15.3;13.5;14.5;13.0;15.1;17.1;14.2;19.3;49.7;41.0;46.5;55.3;200.8
